"Genus","Species","Kingdom","Phylum","Class","Order","Family","limit_type","Tpref","ref_Tpref","n_Tpref","ref_from_ref","notes_Tpref"
"Rana","cascadae","Animalia","Chordata","Amphibia","Anura","Ranidae","max, min",NA,NA,NA,NA,NA
"Rana","pretiosa","Animalia","Chordata","Amphibia","Anura","Ranidae","max, min",NA,NA,NA,NA,NA
"Scinax","staufferi","Animalia","Chordata","Amphibia","Anura","Hylidae","min",NA,NA,NA,NA,NA
"Spea","hammondii","Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","max, min",NA,NA,NA,NA,NA
"Ambystoma","jeffersonianum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","max",NA,NA,NA,NA,NA
"Ambystoma","macrodactylum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","max",NA,NA,NA,NA,NA
"Ambystoma","maculatum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","max",NA,NA,NA,NA,NA
"Desmognathus","fuscus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max, min",NA,NA,NA,NA,NA
"Desmognathus","ochrophaeus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max",NA,NA,NA,NA,NA
"Desmognathus","quadramaculatus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max",NA,NA,NA,NA,NA
"Eurycea","bislineata","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max, min",NA,NA,NA,NA,NA
"Eurycea","longicauda","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max",NA,NA,NA,NA,NA
"Eurycea","lucifuga","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max",NA,NA,NA,NA,NA
"Eurycea","multiplicata","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max",NA,NA,NA,NA,NA
"Eurycea","nana","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max",NA,NA,NA,NA,NA
"Notophthalmus","viridescens","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max",NA,NA,NA,NA,NA
"Plethodon","glutinosus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max",NA,NA,NA,NA,NA
"Pseudotriton","ruber","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","max",NA,NA,NA,NA,NA
"Acanthodactylus","erythrurus","Animalia","Chordata","Reptilia","Squamata","Lacertidae","max",NA,NA,NA,NA,NA
"Acontias","meleagris","Animalia","Chordata","Reptilia","Squamata","Scincidae","max",NA,NA,NA,NA,NA
"Agkistrodon","contortrix","Animalia","Chordata","Reptilia","Squamata","Viperidae","max, min",NA,NA,NA,NA,NA
"Ameiva","festiva","Animalia","Chordata","Reptilia","Squamata","Teiidae","max, min",NA,NA,NA,NA,NA
"Amphibolurus","muricatus","Animalia","Chordata","Reptilia","Squamata","Agamidae","max, min",NA,NA,NA,NA,NA
"Anniella","pulchra","Animalia","Chordata","Reptilia","Squamata","Anniellidae","max",NA,NA,NA,NA,NA
"Anolis","barbouri","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","max, min",NA,NA,NA,NA,NA
