"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset","acc_name"
"Barbatia","pistachia","max",36.87,"lt",-17,17,122,0,NA,NA,NA,24,"Mollusca","Bivalvia","Arcoida","Arcidae","Intertidal","ectotherm","Barbatia_pistachia","Compton_et_al2007",31.47999954,NA,"Barbatia pistachia"
"Barbatia","pistachia","min",6.01,"lt",-17,17,122,0,NA,NA,NA,24,"Mollusca","Bivalvia","Arcoida","Arcidae","Intertidal","ectotherm","Barbatia_pistachia","Compton_et_al2007",23.37999916,NA,"Barbatia pistachia"
"Basiliscus","vittatus","max",43.1,"ct",10.58,10.58,-83.52,0,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Basiliscus_vittatus","Hirth_1963",31.07708168,NA,"Basiliscus vittatus"
"Bassiana","duperreyi","max",43.5,"ct",-35.4,35.4,148.73,784,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Bassiana_duperreyi","Spellerberg_1972a",28.33738327,NA,"Bassiana duperreyi"
"Bassiana","duperreyi","min",3,"ct",-35.4,35.4,148.73,784,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Bassiana_duperreyi","Spellerberg_1972a",-0.096595027,NA,"Bassiana duperreyi"
"Bassiana","platynota","max",43.6,"ct",-33.78,33.78,150.98,34,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Bassiana_platynota","Greer_1980",25.52132607,NA,"Bassiana platynota"
"Boreogadus","saida","min",-2,"lt",71,71,-156.47,0,1,NA,NA,5,"Chordata","Actinopteri","Gadiformes","Gadidae","Marine","ectotherm","Boreogadus_saida","Scholander_et_al_1953",-1.75999999,2.75999999,"Boreogadus saida"
"Bullia","rhodostoma","max",34.7,"lt",-33.9,33.9,25.6,0,20,NA,NA,12,"Mollusca","Gastropoda","Neogastropoda","Nassariidae","Marine","ectotherm","Bullia_rhodostoma","Ansell_&_McLachlan_1980",25.38999939,-5.38999939,"Bullia rhodostoma"
"Calathus","melanocephalus","min",-3.8,"ct",60.6,60.6,NA,1200,13,13,1,NA,"Arthropoda","Insecta","Coleoptera","Carabidae","Terrestrial","ectotherm","Calathus_melanocephalus","Nylund_1991",NA,NA,"Calathus melanocephalus"
"Calyptotis","temporalis","max",34.5,"ct",-22.55,22.55,150.29,567,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Calyptotis_temporalis","Greer_1980",31.77608681,NA,"Calyptotis temporalis"
"Camponotus","americanus","max",42.8,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_americanus","Diamond_et_al_2012",32.19478226,-7.19478226,"Camponotus americanus"
"Camponotus","castaneus","max",40.5,"ct",35.78,35.78,-78.8,146,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_castaneus","Diamond_et_al_2012",32.93321609,-7.93321609,"Camponotus castaneus"
"Camponotus","chromaiodes","max",44,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_chromaiodes","Diamond_et_al_2012",32.19478226,-7.19478226,"Camponotus chromaiodes"
"Camponotus","novaeboracensis","max",40,"ct",42.51,42.51,-72.21,232,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_novaeboracensis","Diamond_et_al_2012",27.61415291,-2.61415291,"Camponotus novaeboracensis"
"Camponotus","pennsylvanicus","max",40,"ct",42.51,42.51,-72.21,232,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_pennsylvanicus","Diamond_et_al_2012",27.61415291,-2.61415291,"Camponotus pennsylvanicus"
"Carlia","longipes","max",40.3,"ct",-15.7,15.7,145.24,156,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Carlia_longipes","Greer_1980",32.1547966,NA,"Carlia longipes"
