"genus_species","limit_type","Tpref","ref_Tpref","ref_from_ref","notes_Tpref","Tb","ref_Tb","notes_Tb"
"Eulamprus_quoyii","max, min","29.42","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 "," Vernon and Heatwole, 1970 Spellerberg, 1972c ","   ",NA,"",""
"Eulamprus_tympanum","max, min","29.48","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986"," Spellerberg, 1972c Vernon and Heatwole, 1970","  ",NA,"",""
"Gehyra_variegata","max, min","34.41","Light_et_al_1966 Angilletta_and_Werner_1998"," "," ",NA,"",""
"Heloderma_suspectum","max","29.43","Boggert_and_del_Campo_1956 Boggert_and_del_Campo_1956 Boggert_and_del_Campo_1956","  ","  ",NA,"",""
"Hemidactylus_frenatus","max, min","29.68","Lapwong_et_al_2020 Lapwong_et_al_2020 Lapwong_et_al_2020 Lapwong_et_al_2020 Lapwong_et_al_2020 Lapwong_et_al_2020 Lapwong_et_al_2020 Lapwong_et_al_2020 Lapwong_et_al_2020 Lapwong_et_al_2020 Lapwong_et_al_2020 Lapwong_et_al_2020","           ","           ",NA,"",""
"Hemiergis_peroni","max, min","21.9","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986"," "," ",NA,"",""
"Hoplodactylus_maculatus","min","24.72","Rock_and_Cree_2008 Tocher_1992 Tocher_1992 Besson_and_Cree_2011 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000 Rock_et_al_2000","               ","average of values before and after implantation, across times of day different populations different populations             ",NA,"",""
"Lampropholis_delicata","max, min","28.44","Merritt_et_al_2013 Goulet_et_al_2016 Goulet_et_al_2016 Mathews_et_al_2016 Downes_and_Hoefer_2008","    ","    ",NA,"",""
"Limnodynastes_tasmaniensis","max","23.75","Whitehead_et_al_1988 Whitehead_et_al_1988"," "," ",NA,"",""
"Liolaemus_abaucan","max, min","35.01","Cruz_et_al_2011 Cruz_et_al_2014"," "," ",NA,"Meiri_et_al_2018",""
"Liolaemus_abaucan","max, min","35.01","Cruz_et_al_2011 Cruz_et_al_2014"," "," ",NA,"",""
"Liolaemus_albiceps","max, min","35.64","Cruz_et_al_2011 Cruz_et_al_2014 Valdecantosa_et_al_2013","  ","  ",NA,"",""
"Liolaemus_alticolor","min","32.92","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_bibronii","max, min","27.46","Labra_et_al_2018 Medina_et_al_2009 Cruz_et_al_2014","Labra_et_al_2009  ","  ",NA,"",""
"Liolaemus_boulengeri","max, min","33.37","Medina_et_al_2011 Medina_et_al_2011"," "," ",NA,"",""
"Liolaemus_chacoensis","max, min","32.82","Astudillo_et_al_2019 Cruz_et_al_2011 Cruz_et_al_2014","  ","  ",NA,"",""
"Liolaemus_cuyanus","max, min","33.73","Cruz_et_al_2011 Azocar_et_al_2013"," "," ",NA,"",""
"Liolaemus_darwinii","max, min","34.65","Cruz_et_al_2011 Cruz_et_al_2014 Cruz_et_al_2014","  ","  ",NA,"",""
"Liolaemus_elongatus","max, min","33.12","Ibarguengoytia_2005 Cruz_et_al_2014 Duran_et_al_2018","  ","  ",NA,"",""
"Liolaemus_fabiani","min","31.98","Labra_et_al_2008 Labra_et_al_2008","Labra_et_al_2001 "," ",NA,"",""
"Liolaemus_fitzingerii","max, min","34.39","Azocar_et_al_2013 Cruz_et_al_2014"," "," ",NA,"",""
"Liolaemus_fuscus","min","35.15","Labra_and_Bozinovic_2002 Labra_and_Bozinovic_2002"," "," ",NA,"",""
"Liolaemus_irregularis","max, min","36.07","Cruz_et_al_2011 Cruz_et_al_2014 Valdecantosa_et_al_2013 Valdecantosa_et_al_2013 Valdecantosa_et_al_2013 Valdecantosa_et_al_2013","     ","     ",NA,"",""
"Liolaemus_jamesi","min","32.94","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_koslowskyi","max, min","34.56","Cruz_et_al_2011 Cruz_et_al_2014"," "," ",NA,"",""
"Liolaemus_kriegi","max, min","35.17","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_laurenti","max, min","35.12","Cruz_et_al_2011 Cruz_et_al_2014"," "," ",NA,"",""
"Liolaemus_lemniscatus","min","35.24","Labra_1998 Labra_and_Bozinovic_2002"," "," pregnant",NA,"",""
"Liolaemus_monticola","min","36.7","Labra_and_Bozinovic_2002 Labra_and_Bozinovic_2002"," ","not pregnant pregnant",NA,"",""
"Liolaemus_multicolor","max, min","35.13","Cruz_et_al_2014 Valdecantosa_et_al_2013"," "," ",NA,"",""
"Liolaemus_multimaculatus","max, min","36.83","Stellatelli_et_al_2013 Stellatelli_et_al_2020 Cruz_et_al_2014","  "," multiple populations ",NA,"",""
"Liolaemus_olongasta","max, min","34.17","Cruz_et_al_2011 Cruz_et_al_2014"," "," ",NA,"",""
"Liolaemus_ornatus","min","35.87","Labra_et_al_2008 Cruz_et_al_2011 Cruz_et_al_2014","Labra_et_al_2009  ","  ",NA,"",""
"Liolaemus_pictus","min","36.7","Labra_1998 Kubisch_et_al_2016 Kubisch_et_al_2016 Kubisch_et_al_2016 Artacho_et_al_2017 Artacho_et_al_2017 Artacho_et_al_2017 Artacho_et_al_2017 Artacho_et_al_2017 Artacho_et_al_2017"," Gutierrez et al. 2010        ","  different acclimation temperatures different acclimation temperatures different populations and sexes different populations and sexes different populations and sexes different populations and sexes different populations and sexes different populations and sexes",NA,"",""
"Liolaemus_quilmes","max, min","35.15","Cruz_et_al_2011 Cruz_et_al_2014"," "," ",NA,"",""
"Liolaemus_tenuis","min","35.93","Labra_1998 Labra_et_al_2008"," Labra_et_al_2009","subspecies: tenuis subspecies: punctatisimus",NA,"",""
"Liolaemus_xanthoviridis","max, min","36.2","Azocar_et_al_2013 Cruz_et_al_2014"," "," ",NA,"",""
"Niveoscincus_ocellatus","max, min","28.44","Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018 Yuni_et_al_2018","                 ","mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile mean of lower and upper values in 25th percentile",NA,"",""
"Notechis_scutatus","max, min","26.03","Ladyman_and_Bradshaw_2003 Ladyman_and_Bradshaw_2003 Ladyman_and_Bradshaw_2003 Ladyman_and_Bradshaw_2003 Lillywhite_1980","    ","    ",NA,"",""
"Notophthalmus_viridescens","max","21.41","Berner_and_Bessay_2006 Berner_and_Bessay_2006 Sherman_2008 Sherman_2008","   ","  infected ",NA,"",""
"Oligosoma_maccanni","min","26.16","Hare_et_al_2009 Besson_and_Cree_2011","pregnant "," ",NA,"",""
"Phrynosoma_cornutum","max, min","34.73","Russel_1997 Prieto_and_Whitford_1971 Lara-Reséndiz_et_al_2015","  ","  ",NA,"",""
"Phrynosoma_platyrhinos","max","35.88","Pianka_and_Parker_1975 Kitchell_1969"," "," ",NA,"",""
"Phymaturus_dorsimaculatus","max, min","35.97","Cruz_et_al_2011 Cruz_et_al_2009"," "," ",NA,"",""
"Phymaturus_tenebrosus","max, min","33.71","Cabezas-Cartes_et_al_2019 Cruz_et_al_2009"," "," ",NA,"",""
