"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset","acc_name","parameter_tmax_or_tmin","realm_mean_ARR","realm_sd_ARR","realm_n_ARR","class_mean_ARR","class_sd_ARR","class_n_ARR","class_specific","ARR_equ_slope","ARR_equ_int","mean_int_class","mean_int_realm","int"
"Ctenotus","taeniolatus","min",11.4,"ct",-30.52,30.52,151.65,1013,15,15,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Ctenotus_taeniolatus","Bennett_&_John-Alder_1986",1.229507804,13.7704922,"Ctenotus taeniolatus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,8.5625,2.78138764044944,1.13734758558321,2.78138764044944
"Ctenotus","uber","max",45.5,"ct",-34.57,34.57,139.58,11,35,35,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Ctenotus_uber","Bennett_&_John-Alder_1986",32.29346466,2.70653534,"Ctenotus uber","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.7282894736842,39.5340918339664,37.2276849039965,39.5340918339664
"Ctenotus","uber","min",9.1,"ct",-34.57,34.57,139.58,11,15,15,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Ctenotus_uber","Bennett_&_John-Alder_1986",4.161160469,10.83883953,"Ctenotus uber","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,6.2625,2.78138764044944,1.13734758558321,2.78138764044944
"Cyclorana","alboguttatus","max",33.8,"ct",-20,20,146.8,304.8,5,20,1,NA,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Cyclorana_alboguttatus","Brattstrom_1970",34.60328674,-29.60328674,"Ranoidea alboguttata","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,33.0121381742017,31.5985265134056,37.2276849039965,31.5985265134056
"Cyclorana","brevipes","max",40,"ct",21,21,145.9,304.8,30,20,1,NA,"Chordata","Amphibia","Anura","Hylidae","Terrestrial","ectotherm","Cyclorana_brevipes","Brattstrom_1970",NA,NA,"Ranoidea brevipes","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,35.2728290452102,31.5985265134056,37.2276849039965,31.5985265134056
"Cyrtodactylus","philippinicus","max",34.6,"ct",14.09,14.09,121.49,1100,22,22,0.5,NA,"Chordata","Lepidosauria","Squamata","Gekkonidae","Terrestrial","ectotherm","Cyrtodactylus_philippinicus","Scheffers_et_al_2014",32.4418602,-10.4418602,"Cyrtodactylus philippinicus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,32.2292105263158,39.5340918339664,37.2276849039965,39.5340918339664
"Dascyllus","aruanus","max",40.5,"ct",-5.45,5.45,123.77,0,30,30,0.31,NA,"Chordata","Actinopteri","Perciformes","Pomacentridae","Marine","ectotherm","Dascyllus_aruanus","Eme_&_Bennett_2009",31.20999908,-1.20999908,"Dascyllus aruanus","tmax",0.327634847626389,0.227531873483291,371,0.300624422823022,0.146207033599519,40,"TRUE",0.300624422823022,31.4812673153093,23.5717496237145,24.0662256604722,23.5717496237145
"Dascyllus","aruanus","min",12,"ct",-5.45,5.45,123.77,0,17.5,17.5,0.31,NA,"Chordata","Actinopteri","Perciformes","Pomacentridae","Marine","ectotherm","Dascyllus_aruanus","Eme_&_Bennett_2009",26.23999977,-8.73999977,"Dascyllus aruanus","tmin",0.328281949870445,0.145860630180451,40,0.299,0.0837973746605465,6,"TRUE",0.299,6.7675,3.06775,3.06775,3.06775
"Dendrobates","auratus","max",34.8,"ct",10,10,-83.5,304.8,26,23,1,NA,"Chordata","Amphibia","Anura","Dendrobatidae","Terrestrial","ectotherm","Dendrobates_auratus","Brattstrom_1968",30.38962555,-4.38962555,"Dendrobates auratus","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,30.7031185058488,31.5985265134056,37.2276849039965,31.5985265134056
"Dendrobates","auratus","min",9.5,"lt",10,10,-83.5,304.8,23,NA,NA,24,"Chordata","Amphibia","Anura","Dendrobatidae","Terrestrial","ectotherm","Dendrobates_auratus","Brattstrom_1968",18.74819756,4.25180244,"Dendrobates auratus","tmin",0.1573876403802,0.112913726528327,50,0.182013888883333,0.123963049028441,8,"TRUE",0.182013888883333,5.31368055568333,-0.927581699231373,1.13734758558321,-0.927581699231373
"Desmognathus","fuscus","max",34.9,"ct",39.7,39.7,-84.7,300,25,25,0.75,NA,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","ectotherm","Desmognathus_fuscus","Layne_&_Claussen_1982a",30.03699303,-5.03699303,"Desmognathus fuscus","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,30.9606908710085,31.5985265134056,37.2276849039965,31.5985265134056
"Desmognathus","fuscus","min",-2.3,"ct",39.7,39.7,-84.7,300,5,5,0.75,NA,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","ectotherm","Desmognathus_fuscus","Layne_&_Claussen_1982a",-8.12097168,13.12097168,"Desmognathus fuscus","tmin",0.1573876403802,0.112913726528327,50,0.182013888883333,0.123963049028441,8,"TRUE",0.182013888883333,-3.21006944441667,-0.927581699231373,1.13734758558321,-0.927581699231373
"Desmognathus","ochrophaeus","max",31.5,"ct",37.4,37.4,-80.5,1432,21.5,21.5,NA,NA,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","ectotherm","Desmognathus_ochrophaeus","Zweifel_1957",30.00385284,-8.50385284,"Desmognathus ochrophaeus","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,28.1121941490673,31.5985265134056,37.2276849039965,31.5985265134056
"Desmognathus","quadramaculatus","max",31.9,"ct",37.4,37.4,-80.5,1158,21.5,21.5,NA,NA,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","ectotherm","Desmognathus_quadramaculatus","Zweifel_1957",30.00385284,-8.50385284,"Desmognathus quadramaculatus","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,28.5121941490673,31.5985265134056,37.2276849039965,31.5985265134056
"Diplodus","bellottii","max",27.38,"ct",38,38,-9,0,24,24,0.017,NA,"Chordata","Actinopteri","Spariformes","Sparidae","Marine","ectotherm","Diplodus_bellottii","Madeira_et_al_2012",22.84000015,1.15999985,"Diplodus bellottii","tmax",0.327634847626389,0.227531873483291,371,0.300624422823022,0.146207033599519,40,"TRUE",0.300624422823022,20.1650138522475,23.5717496237145,24.0662256604722,23.5717496237145
"Diplodus","sargus","max",33.8,"ct",38,38,-9,0,24,24,0.017,NA,"Chordata","Actinopteri","Spariformes","Sparidae","Marine","ectotherm","Diplodus_sargus","Madeira_et_al_2012",22.84000015,1.15999985,"Diplodus sargus","tmax",0.327634847626389,0.227531873483291,371,0.300624422823022,0.146207033599519,40,"TRUE",0.300624422823022,26.5850138522475,23.5717496237145,24.0662256604722,23.5717496237145
"Diplodus","vulgaris","max",31.1,"ct",38,38,-9,0,24,24,0.017,NA,"Chordata","Actinopteri","Spariformes","Sparidae","Marine","ectotherm","Diplodus_vulgaris","Madeira_et_al_2012",22.84000015,1.15999985,"Diplodus vulgaris","tmax",0.327634847626389,0.227531873483291,371,0.300624422823022,0.146207033599519,40,"TRUE",0.300624422823022,23.8850138522475,23.5717496237145,24.0662256604722,23.5717496237145
"Distaplia","occidentalis","max",21.9,"lt",38.33,38.33,-123.06,0,12,0.067,NA,24,"Chordata","Ascidiacea","Enterogona","Clavelinidae","Marine","ectotherm","Distaplia_occidentalis","Zerebecki_&_Sorte_2011",17.40999985,-5.40999985,"Distaplia occidentalis","tmax",0.327634847626389,0.227531873483291,371,NA,NA,NA,NA,0.327634847626389,17.9683818284833,19.2249378950986,24.0662256604722,19.2249378950986
"Divaricella","irpex","max",36.94,"lt",-17,17,122,0,25,NA,NA,24,"Mollusca","Bivalvia","Lucinoida","Lucinidae","Intertidal","ectotherm","Divaricella_irpex","Compton_et_al2007",31.47999954,-6.47999954,"Divaricella irpex","tmax",0.327634847626389,0.227531873483291,371,0.14,0.114017542509914,5,"TRUE",0.14,33.44,27.8706666666667,30.0833830033931,27.8706666666667
"Divaricella","irpex","min",5.51,"lt",-17,17,122,0,25,NA,NA,24,"Mollusca","Bivalvia","Lucinoida","Lucinidae","Intertidal","ectotherm","Divaricella_irpex","Compton_et_al2007",23.37999916,1.62000084,"Divaricella irpex","tmin",0.328281949870445,0.145860630180451,40,NA,NA,NA,NA,0.328281949870445,-2.69704874676111,-5.05172924805667,-4.98774849899235,-5.05172924805667
"Donax","serra","max",33,"lt",-33.9,33.9,25.6,0,20,NA,NA,12,"Mollusca","Bivalvia","Veneroida","Donacidae","Marine","ectotherm","Donax_serra","Ansell_&_McLachlan_1980",25.38999939,-5.38999939,"Donax serra","tmax",0.327634847626389,0.227531873483291,371,0.14,0.114017542509914,5,"TRUE",0.14,30.2,27.8706666666667,24.0662256604722,27.8706666666667
"Echinometra","lucunter","max",37.1,"ct",-7.89,7.89,-14.38,0,26,26.1,0.017,NA,"Echinodermata","Echinoidea","Echinoida","Echinometridae","Marine","ectotherm","Echinometra_lucunter","Morley_et_al_2016",29.18999863,-3.18999863,"Echinometra lucunter","tmax",0.327634847626389,0.227531873483291,371,0.225,0.0353553390593274,2,"TRUE",0.225,31.25,23.95,24.0662256604722,23.95
"Egernia","striolata","max",44.2,"ct",-34.57,34.57,139.58,11,35,35,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_striolata","Bennett_&_John-Alder_1986",32.29346466,2.70653534,"Egernia striolata","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,40.4282894736842,39.5340918339664,37.2276849039965,39.5340918339664
"Egernia","striolata","min",6.1,"ct",-34.57,34.57,139.58,11,15,15,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_striolata","Bennett_&_John-Alder_1986",4.161160469,10.83883953,"Egernia striolata","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,3.2625,2.78138764044944,1.13734758558321,2.78138764044944
"Eleutherodactylus","coqui","min",7.5,"ct",18.4,18.4,-65.8,15,20,20,0.5,NA,"Chordata","Amphibia","Anura","Eleutherodactylidae","Terrestrial","ectotherm","Eleutherodactylus_coqui","Christian_et_al_1988",18.81883621,1.18116379,"Eleutherodactylus coqui","tmin",0.1573876403802,0.112913726528327,50,0.182013888883333,0.123963049028441,8,"TRUE",0.182013888883333,3.85972222233333,-0.927581699231373,1.13734758558321,-0.927581699231373
"Elgaria","multicarinata","max",41.4,"ct",34,34,-118.9,8,21.4,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Anguidae","Terrestrial","ectotherm","Elgaria_multicarinata","Cunningham_1966",30.25820732,-8.85820732,"Elgaria multicarinata","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,39.0938684210526,39.5340918339664,37.2276849039965,39.5340918339664
"Elgaria","multicarinata","min",2.2,"ct",34,34,-118.9,8,21.4,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Anguidae","Terrestrial","ectotherm","Elgaria_multicarinata","Cunningham_1966",3.336201668,18.06379833,"Elgaria multicarinata","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,-1.84816666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Engraulis","japonicus","min",8,"lt",34.9,34.9,138.6,0,22,NA,NA,3,"Chordata","Actinopteri","Clupeiformes","Engraulidae","Marine","ectotherm","Engraulis_japonicus","Suehiro1951_in_Brett_1970",15.48999977,6.51000023,"Engraulis japonicus","tmin",0.328281949870445,0.145860630180451,40,0.299,0.0837973746605465,6,"TRUE",0.299,1.422,3.06775,3.06775,3.06775
"Engystomops","pustulosus","min",6,"lt",9.15,9.15,NA,304.8,23,NA,NA,24,"Chordata","Amphibia","Anura","Leptodactylidae","Terrestrial","ectotherm","Engystomops_pustulosus","Brattstrom_1968",NA,NA,"Engystomops pustulosus","tmin",0.1573876403802,0.112913726528327,50,0.182013888883333,0.123963049028441,8,"TRUE",0.182013888883333,1.81368055568333,-0.927581699231373,1.13734758558321,-0.927581699231373
"Ensis","macha","max",25,"lt",-36.5,36.5,-73.9,0,13,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Pharidae","Marine","ectotherm","Ensis_macha","Urban_1994",18.27000046,-5.27000046,"Ensis macha","tmax",0.327634847626389,0.227531873483291,371,0.14,0.114017542509914,5,"TRUE",0.14,23.18,27.8706666666667,24.0662256604722,27.8706666666667
"Eremias","argus","max",44.9,"ct",35.59,35.59,112.25,802,28,NA,0.175,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Eremias_argus","Luo_et_al_2006",30.17569542,-2.17569542,"Eremias argus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.8826315789474,39.5340918339664,37.2276849039965,39.5340918339664
"Eremias","argus","min",1,"ct",35.59,35.59,112.25,802,28,NA,0.175,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Eremias_argus","Luo_et_al_2006",-8.526444435,36.52644444,"Eremias argus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,-4.29666666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Eremias","brenchleyi","max",43.6,"ct",33.6,33.6,117.02,4,28,28,0.1,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Eremias_brenchleyi","Xu_&_Ji_2006",31.75784874,-3.75784874,"Eremias brenchleyi","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,40.5826315789474,39.5340918339664,37.2276849039965,39.5340918339664
"Eremias","brenchleyi","min",3.4,"ct",33.6,33.6,117.02,4,28,NA,0.1,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Eremias_brenchleyi","Xu_et_al_2001",-3.046804428,31.04680443,"Eremias brenchleyi","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,-1.89666666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Eremias","multiocellata","max",41.1,"ct",41.45,41.45,106.98,1651,28,28,0.25,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Eremias_multiocellata","Li_et_al_2009",29.25745392,-1.25745392,"Eremias multiocellata","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,38.0826315789474,39.5340918339664,37.2276849039965,39.5340918339664
"Eremias","multiocellata","min",9,"ct",41.45,41.45,106.98,1651,28,28,0.25,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Eremias_multiocellata","Li_et_al_2009",-17.45931816,45.45931816,"Eremias multiocellata","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,3.70333333333333,2.78138764044944,1.13734758558321,2.78138764044944
"Eremiascincus","fasciolatus","max",41.2,"ct",-27.75,27.75,140.73,42,35,35,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Eremiascincus_fasciolatus","Bennett_&_John-Alder_1986",38.07003021,-3.07003021,"Eremiascincus fasciolatus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,37.4282894736842,39.5340918339664,37.2276849039965,39.5340918339664
"Eremiascincus","fasciolatus","min",9,"ct",-27.75,27.75,140.73,42,15,15,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Eremiascincus_fasciolatus","Bennett_&_John-Alder_1986",6.205281258,8.794718742,"Eremiascincus fasciolatus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,6.1625,2.78138764044944,1.13734758558321,2.78138764044944
"Eremiascincus","richardsoni","max",42,"ct",-34.57,34.57,139.58,11,35,35,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Eremiascincus_richardsoni","Bennett_&_John-Alder_1986",32.29346466,2.70653534,"Eremiascincus richardsoni","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,38.2282894736842,39.5340918339664,37.2276849039965,39.5340918339664
"Eremiascincus","richardsoni","min",7.3,"ct",-34.57,34.57,139.58,11,15,15,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Eremiascincus_richardsoni","Bennett_&_John-Alder_1986",4.161160469,10.83883953,"Eremiascincus richardsoni","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,4.4625,2.78138764044944,1.13734758558321,2.78138764044944
"Eucidaris","tribuloides","max",36,"ct",-7.89,7.89,-14.38,0,26,26.1,0.017,NA,"Echinodermata","Echinoidea","Cidaroida","Cidaridae","Marine","ectotherm","Eucidaris_tribuloides","Morley_et_al_2016",29.18999863,-3.18999863,"Eucidaris tribuloides","tmax",0.327634847626389,0.227531873483291,371,0.225,0.0353553390593274,2,"TRUE",0.225,30.15,23.95,24.0662256604722,23.95
"Eurycea","bislineata","max",35,"ct",39.7,39.7,-84.7,300,25,25,0.75,NA,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","ectotherm","Eurycea_bislineata","Layne_&_Claussen_1982ab",30.03699303,-5.03699303,"Eurycea bislineata","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,31.0606908710085,31.5985265134056,37.2276849039965,31.5985265134056
"Eurycea","bislineata","min",-2,"ct",39.7,39.7,-84.7,300,5,5,0.75,NA,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","ectotherm","Eurycea_bislineata","Layne_&_Claussen_1982ab",-8.12097168,13.12097168,"Eurycea bislineata","tmin",0.1573876403802,0.112913726528327,50,0.182013888883333,0.123963049028441,8,"TRUE",0.182013888883333,-2.91006944441667,-0.927581699231373,1.13734758558321,-0.927581699231373
"Eurycea","longicauda","max",37.6,"ct",36.11,36.11,-94.33,377,15,15,NA,NA,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","ectotherm","Eurycea_longicauda","Sealander_1969",33.15248489,-18.15248489,"Eurycea longicauda","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,35.2364145226051,31.5985265134056,37.2276849039965,31.5985265134056
"Eurycea","lucifuga","max",37.2,"ct",36.11,36.11,-94.33,377,15,15,NA,NA,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","ectotherm","Eurycea_lucifuga","Sealander_1969",33.15248489,-18.15248489,"Eurycea lucifuga","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,34.8364145226051,31.5985265134056,37.2276849039965,31.5985265134056
"Eurycea","multiplicata","max",37.5,"ct",36.1,36.1,-90.36,426.7,15,15,NA,NA,"Chordata","Amphibia","Caudata","Plethodontidae","Terrestrial","ectotherm","Eurycea_multiplicata","Sealander_1969",33.36065674,-18.36065674,"Eurycea multiplicata","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,35.1364145226051,31.5985265134056,37.2276849039965,31.5985265134056
"Floridichthys","carpio","max",42.2,"ct",16.8,16.8,-88.1,0,30,30,0.3,NA,"Chordata","Actinopteri","Cyprinodontiformes","Cyprinodontidae","Marine","ectotherm","Floridichthys_carpio","Heath_et_al_1993",30.96999931,-0.96999931,"Floridichthys carpio","tmax",0.327634847626389,0.227531873483291,371,0.300624422823022,0.146207033599519,40,"TRUE",0.300624422823022,33.1812673153093,23.5717496237145,24.0662256604722,23.5717496237145
"Formica","neogagates","max",40,"ct",38.57,38.57,-106.59,2895,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Formica_neogagates","Diamond_et_al_2012",24.21374702,0.78625298,"Formica neogagates","tmax",0.140537431829408,0.111211536764043,256,0.110290736577246,0.113804640745541,71,"TRUE",0.110290736577246,37.2427315855689,40.0134976045186,37.2276849039965,40.0134976045186
"Formica","obscuripes","max",40.93,"ct",38.57,38.57,-106.59,2895,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Formica_obscuripes","Diamond_et_al_2012",24.21374702,0.78625298,"Formica obscuripes","tmax",0.140537431829408,0.111211536764043,256,0.110290736577246,0.113804640745541,71,"TRUE",0.110290736577246,38.1727315855689,40.0134976045186,37.2276849039965,40.0134976045186
"Fundulus","parvipinnis","max",36.1,"lt",33,33,-117.5,0,20,NA,NA,0.5,"Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Marine","ectotherm","Fundulus_parvipinnis","Doudoroff_1945",23.90999985,-3.90999985,"Fundulus parvipinnis","tmax",0.327634847626389,0.227531873483291,371,0.300624422823022,0.146207033599519,40,"TRUE",0.300624422823022,30.0875115435396,23.5717496237145,24.0662256604722,23.5717496237145
"Fundulus","parvipinnis","min",2.2,"lt",33,33,-117.5,0,20,NA,NA,1,"Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Marine","ectotherm","Fundulus_parvipinnis","Doudoroff_1945",13.48999977,6.51000023,"Fundulus parvipinnis","tmin",0.328281949870445,0.145860630180451,40,0.299,0.0837973746605465,6,"TRUE",0.299,-3.78,3.06775,3.06775,3.06775
"Gemma","gemma","max",35,"lt",37.11,37.11,-76.13,0,25,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Veneridae","Marine","ectotherm","Gemma_gemma","Kennedy_&_Mihursky_1971",27.84000015,-2.84000015,"Gemma gemma","tmax",0.327634847626389,0.227531873483291,371,0.14,0.114017542509914,5,"TRUE",0.14,31.5,27.8706666666667,24.0662256604722,27.8706666666667
"Gobius","cobitis","max",33.7,"ct",38,38,-9,0,24,24,0.017,NA,"Chordata","Actinopteri","Perciformes","Gobiidae","Intertidal","ectotherm","Gobius_cobitis","Madeira_et_al_2012",22.84000015,1.15999985,"Gobius cobitis","tmax",0.327634847626389,0.227531873483291,371,0.300624422823022,0.146207033599519,40,"TRUE",0.300624422823022,26.4850138522475,23.5717496237145,30.0833830033931,23.5717496237145
"Gobius","niger","max",34.1,"ct",38,38,-9,0,24,24,0.017,NA,"Chordata","Actinopteri","Perciformes","Gobiidae","Marine","ectotherm","Gobius_niger","Madeira_et_al_2012",22.84000015,1.15999985,"Gobius niger","tmax",0.327634847626389,0.227531873483291,371,0.300624422823022,0.146207033599519,40,"TRUE",0.300624422823022,26.8850138522475,23.5717496237145,24.0662256604722,23.5717496237145
"Halichoeres","dispilus","max",35.8,"ct",2.96,2.96,-78.2,0,26.5,26.5,0.017,NA,"Chordata","Actinopteri","Perciformes","Labridae","Marine","ectotherm","Halichoeres_dispilus","Mora_&_Ospina_2001",29.89999962,-3.39999962,"Halichoeres dispilus","tmax",0.327634847626389,0.227531873483291,371,0.300624422823022,0.146207033599519,40,"TRUE",0.300624422823022,27.8334527951899,23.5717496237145,24.0662256604722,23.5717496237145
"Halichoeres","dispilus","min",15.6,"ct",2.96,2.96,-78.2,0,26.5,26.5,0.017,NA,"Chordata","Actinopteri","Perciformes","Labridae","Marine","ectotherm","Halichoeres_dispilus","Mora_&_Ospina_2002",24.36999893,2.13000107,"Halichoeres dispilus","tmin",0.328281949870445,0.145860630180451,40,0.299,0.0837973746605465,6,"TRUE",0.299,7.6765,3.06775,3.06775,3.06775
"Halozetes","belgicae","max",40.1,"lt",-46.9,46.9,37.9,0,15,NA,NA,1,"Arthropoda","Arachnida","Oribatida","Ameronothridae","Intertidal","ectotherm","Halozetes_belgicae","Deere_et_al_2006",9.5,5.5,"Halozetes belgicae","tmax",0.327634847626389,0.227531873483291,371,NA,NA,NA,NA,0.327634847626389,35.1854772856042,38.391400086146,30.0833830033931,38.391400086146
"Halozetes","belgicae","min",-4.7,"lt",-46.9,46.9,37.9,0,0,NA,NA,1,"Arthropoda","Arachnida","Oribatida","Ameronothridae","Intertidal","ectotherm","Halozetes_belgicae","Deere_et_al_2006",3.50999999,-3.50999999,"Halozetes belgicae","tmin",0.328281949870445,0.145860630180451,40,NA,NA,NA,NA,0.328281949870445,-4.7,-9.14163942759749,-4.98774849899235,-9.14163942759749
"Hemachatus","haemachatus","max",43.1,"ct",-26.14,26.14,28.25,1600,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Elapidae","Terrestrial","ectotherm","Hemachatus_haemachatus","Alexander_et_al_1999",28.06161499,-3.06161499,"Hemachatus haemachatus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,40.4059210526316,39.5340918339664,37.2276849039965,39.5340918339664
"Hemachatus","haemachatus","min",3.7,"ct",-26.14,26.14,28.25,1600,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Elapidae","Terrestrial","ectotherm","Hemachatus_haemachatus","Alexander_et_al_1999",1.422487617,23.57751238,"Hemachatus haemachatus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,-1.02916666666667,2.78138764044944,1.13734758558321,2.78138764044944
"Hemiergis","peroni","min",9.6,"ct",-34.15,34.15,138.42,72,15,15,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Hemiergis_peroni","Bennett_&_John-Alder_1986",5.258768559,9.741231441,"Hemiergis peroni","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,6.7625,2.78138764044944,1.13734758558321,2.78138764044944
"Hemigrapsus","nudus","max",33.6,"ct",48.8,48.8,-125.1,0,16,16,0.5,NA,"Arthropoda","Malacostraca","Decapoda","Varunidae","Intertidal","ectotherm","Hemigrapsus_nudus","Mcgaw_2003",16.93000031,-0.93000031,"Hemigrapsus nudus","tmax",0.327634847626389,0.227531873483291,371,0.305662878787879,0.157352590829053,44,"TRUE",0.305662878787879,28.7093939393939,28.1471105587121,30.0833830033931,28.1471105587121
"Hemigrapsus","nudus","min",3.5,"ct",48.8,48.8,-125.1,0,10,10,0.5,NA,"Arthropoda","Malacostraca","Decapoda","Varunidae","Intertidal","ectotherm","Hemigrapsus_nudus","Mcgaw_2003",6.659999847,3.340000153,"Hemigrapsus nudus","tmin",0.328281949870445,0.145860630180451,40,0.3425,0.104026095627148,8,"TRUE",0.3425,0.0749999999999997,-1.26666666666667,-4.98774849899235,-1.26666666666667
