Genus,Species,type,thermal_limit,metric,collection_latitude,absolute_latitude,collection_longitude,elevation,acclimation_temperature,start_temp,ramping_rate,exposure_duration,Phylum,Class,Order,Family,realm,thermy,genus_species,reference,extreme_enviro_temp,acclimation_offset
Alosa,pseudoharengus,max,32.8,ct,42.4,42.4,-87.8,180,25,25,0.3,NA,Chordata,Actinopteri,Clupeiformes,Clupeidae,Freshwater,ectotherm,Alosa_pseudoharengus,Otto_et_al_1976,28.52490807,-3.52490807
Alosa,pseudoharengus,min,6,LT50,42.4,42.4,-87.8,180,21,NA,NA,168,Chordata,Actinopteri,Clupeiformes,Clupeidae,Freshwater,ectotherm,Alosa_pseudoharengus,Otto_et_al_1976,-7.296603203,28.2966032
Alyxia,buxifolia,min,-7.8,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Gentianales,Apocynaceae,Terrestrial,plant,Alyxia_buxifolia,Bannister_&_Lord_2010,NA,NA
Amblyopone,pallipes,max,40,ct,35.78,35.78,-78.8,146,25,36,0.2,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,ectotherm,Amblyopone_pallipes,Diamond_et_al_2012,32.93321609,-7.93321609
Ambystoma,jeffersonianum,max,34,ct,40.23,40.23,-76.85,422.2,10,10,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,ectotherm,Ambystoma_jeffersonianum,Gatz_1971,30.18464661,-20.18464661
Ambystoma,macrodactylum,max,35,ct,44.9,44.9,-117.22,1140,20,20,0.5,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,ectotherm,Ambystoma_macrodactylum,Howard_et_al_1983,29.84904861,-9.84904861
Ambystoma,maculatum,max,38.4,ct,35.55,35.55,-91.62,184,15,15,NA,NA,Chordata,Amphibia,Caudata,Ambystomatidae,Terrestrial,ectotherm,Ambystoma_maculatum,Sealander_1969,33.84846115,-18.84846115
Ameiurus,melas,max,38.1,ct,39,39,-91,150,26,26,0.017,NA,Chordata,Actinopteri,Siluriformes,Ictaluridae,Freshwater,ectotherm,Ameiurus_melas,Smale_&_Rabeni_1995,31.94826889,-5.94826889
Ameiurus,natalis,max,37.9,ct,39.5,39.5,-91.5,200,26,26,0.017,NA,Chordata,Actinopteri,Siluriformes,Ictaluridae,Freshwater,ectotherm,Ameiurus_natalis,Smale_&_Rabeni_1995,31.94826889,-5.94826889
Ameiva,festiva,max,43.7,ct,10.5,10.5,-84,50,NA,NA,1,NA,Chordata,Lepidosauria,Squamata,Teiidae,Terrestrial,ectotherm,Ameiva_festiva,vanBerkum_1988,31.07708168,NA
Ameiva,festiva,min,15.5,ct,10.5,10.5,-84,50,NA,NA,1,NA,Chordata,Lepidosauria,Squamata,Teiidae,Terrestrial,ectotherm,Ameiva_festiva,vanBerkum_1988,21.64012527,NA
Ameiva,quadrilineata,max,45.1,ct,10.57,10.57,-83.53,27,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Teiidae,Terrestrial,ectotherm,Ameiva_quadrilineata,Hirth_1963,31.07708168,NA
Ammoperdix,heyi,min,30,TNZ,30.86,30.86,NA,476,NA,NA,NA,NA,Chordata,Aves,Galliformes,Phasianidae,Terrestrial,endotherm,Ammoperdix_heyi,Frumkin_et_al_1986,NA,NA
Ammospermophilus,leucurus,max,34,TNZ,34.6,34.6,-117.85,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Sciuridae,Terrestrial,endotherm,Ammospermophilus_leucurus,Dawson_1955,34.57215118,NA
Ammospermophilus,leucurus,min,31,TNZ,34.6,34.6,-117.85,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Sciuridae,Terrestrial,endotherm,Ammospermophilus_leucurus,Dawson_1955,1.797234893,NA
Amphibolurus,muricatus,max,42.3,ct,-30.52,30.52,151.65,1013,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Agamidae,Terrestrial,ectotherm,Amphibolurus_muricatus,Spellerberg_1972a,29.56103897,NA
Amphibolurus,muricatus,min,3,ct,-30.52,30.52,151.65,1013,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Agamidae,Terrestrial,ectotherm,Amphibolurus_muricatus,Spellerberg_1972a,1.229507804,NA
Amphispiza,belli,max,37,TNZ,43.5,43.5,-121.08,NA,20,NA,NA,NA,Chordata,Aves,Passeriformes,Fringillidae,Terrestrial,endotherm,Amphispiza_belli,Moldenhauer_1970,27.67756844,-7.67756844
Amphispiza,belli,min,28,TNZ,43.5,43.5,-121.08,NA,20,NA,NA,NA,Chordata,Aves,Passeriformes,Fringillidae,Terrestrial,endotherm,Amphispiza_belli,Moldenhauer_1970,-6.413408756,26.41340876
Amphispiza,bilineata,max,36,TNZ,38.33,38.33,-119.64,NA,25,NA,NA,NA,Chordata,Aves,Passeriformes,Fringillidae,Terrestrial,endotherm,Amphispiza_bilineata,Weathers_1981,31.0272522,-6.0272522
Anagyris,foetida,max,44.5,ct,40.3,40.3,-3.7,600,NA,27.5,0.5,NA,Streptophyta,Spermatophyta,Fabales,Fabaceae,Terrestrial,plant,Anagyris_foetida,Godoy_et_al_2011,32.68884659,NA
Anaptychia,leucomelaena,min,-7.5,ct,4.2,4.2,NA,2.00E+03,NA,NA,NA,NA,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Terrestrial,plant,Anaptychia_leucomelaena,Lange_1965,NA,NA
Anas,aucklandica,max,37,TNZ,-40.7,40.7,175.6,NA,NA,NA,NA,NA,Chordata,Aves,Anseriformes,Anatidae,Terrestrial,endotherm,Anas_aucklandica,McNab_2003,20.9448185,NA
