Genus,Species,type,thermal_limit,metric,collection_latitude,absolute_latitude,collection_longitude,elevation,acclimation_temperature,start_temp,ramping_rate,exposure_duration,Phylum,Class,Order,Family,realm,thermy,genus_species,reference,extreme_enviro_temp,acclimation_offset
Liolaemus,alticolor,min,13.12,ct,-18.17,18.17,NA,4350,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_alticolor,Labra_et_al_2009,NA,NA
Liolaemus,altissimus,min,3.99,ct,-33.4,33.4,NA,2850,20,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_altissimus,Carothers_et_al_1997,NA,NA
Liolaemus,bibronii,max,44.53,ct,-40.27,40.27,-68.23,0,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_bibronii,Cruz_et_al_2005,27.77931976,1.22068024
Liolaemus,bibronii,min,8.49,ct,-40.27,40.27,-68.23,0,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_bibronii,Cruz_et_al_2005,-2.894165277,31.89416528
Liolaemus,bisignatus,min,12.52,ct,-26.15,26.15,NA,710,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_bisignatus,Labra_et_al_2009,NA,NA
Liolaemus,boulengeri,max,43.99,ct,-42.39,42.39,-64.59,0,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_boulengeri,Cruz_et_al_2005,29.07946014,-0.07946014
Liolaemus,boulengeri,min,9.4,ct,-42.39,42.39,-64.59,0,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_boulengeri,Cruz_et_al_2005,0.697304547,28.30269545
Liolaemus,canqueli,max,44.6,ct,-44.04,44.04,-68.36,900,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_canqueli,Cruz_et_al_2005,25.18285942,3.81714058
Liolaemus,canqueli,min,6.99,ct,-44.04,44.04,-68.36,900,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_canqueli,Cruz_et_al_2005,-2.185246706,31.18524671
Liolaemus,capillitas,max,43.7,ct,-29.73,29.73,-67.75,2500,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_capillitas,Cruz_et_al_2005,31.93452835,-2.93452835
Liolaemus,capillitas,min,7.47,ct,-29.73,29.73,-67.75,2500,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_capillitas,Cruz_et_al_2005,-0.380450398,29.3804504
Liolaemus,chacoensis,max,44.1,ct,-28.8,28.8,-66.94,700,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_chacoensis,Cruz_et_al_2005,30.07898331,-1.07898331
Liolaemus,chacoensis,min,14.9,ct,-28.8,28.8,-66.94,700,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_chacoensis,Cruz_et_al_2005,-1.506476521,30.50647652
Liolaemus,chiliensis,min,3.68,ct,-33.4,33.4,NA,1500,20,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_chiliensis,Carothers_et_al_1997,NA,NA
Liolaemus,constanzae,min,11.33,ct,-26.77,26.77,NA,2400,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_constanzae,Labra_et_al_2001,NA,NA
Liolaemus,curis,min,11.7,ct,-34.95,34.95,NA,1768,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_curis,Labra_et_al_2009,NA,NA
Liolaemus,cuyanus,max,45.7,ct,-28.18,28.18,-67.11,400,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_cuyanus,Cruz_et_al_2005,27.44265747,1.55734253
Liolaemus,cuyanus,min,12,ct,-28.18,28.18,-67.11,400,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_cuyanus,Cruz_et_al_2005,-2.051629782,31.05162978
Liolaemus,cyanogaster,min,12.25,ct,-40.95,40.95,NA,700,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_cyanogaster,Labra_et_al_2009,NA,NA
Liolaemus,darwinii,max,44.68,ct,-29.51,29.51,-67.57,800,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_darwinii,Cruz_et_al_2005,31.93452835,-2.93452835
Liolaemus,darwinii,min,10.11,ct,-29.51,29.51,-67.57,800,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_darwinii,Cruz_et_al_2005,-0.380450398,29.3804504
Liolaemus,dorbignyi,max,43.91,ct,-24.14,24.14,-66.67,3200,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_dorbignyi,Cruz_et_al_2005,19.91906357,9.08093643
Liolaemus,dorbignyi,min,8.83,ct,-24.14,24.14,-66.67,3200,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_dorbignyi,Cruz_et_al_2005,-7.713224411,36.71322441
Liolaemus,eleodori,min,6.42,ct,-27.07,27.07,NA,3670,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_eleodori,Labra_et_al_2009,NA,NA
Liolaemus,elongatus,max,45.1,ct,-41.88,41.88,-69.37,700,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_elongatus,Cruz_et_al_2005,24.7057724,4.2942276
Liolaemus,elongatus,min,7.68,ct,-41.88,41.88,-69.37,700,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_elongatus,Cruz_et_al_2005,-5.264298439,34.26429844
Liolaemus,fabiani,min,7.9,ct,-26.77,26.77,NA,2400,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_fabiani,Labra_et_al_2001,NA,NA
Liolaemus,fitzgeraldi,min,10.04,ct,-32.83,32.83,NA,2901,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_fitzgeraldi,Labra_et_al_2009,NA,NA
Liolaemus,fitzingerii,max,44.45,ct,-43.49,43.49,-65.47,0,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_fitzingerii,Cruz_et_al_2005,25.87751007,3.12248993
Liolaemus,fitzingerii,min,8.24,ct,-43.49,43.49,-65.47,0,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_fitzingerii,Cruz_et_al_2005,2.020338535,26.97966147
Liolaemus,fuscus,min,3.99,ct,-33.4,33.4,NA,1200,20,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_fuscus,Carothers_et_al_1997,NA,NA
Liolaemus,hellmichi,min,14.6,ct,-23.53,23.53,NA,100,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_hellmichi,Labra_et_al_2009,NA,NA
Liolaemus,hernani,min,11.64,ct,-34.95,34.95,NA,1768,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_hernani,Labra_et_al_2009,NA,NA
Liolaemus,irregularis,max,44.98,ct,-24.25,24.25,-66.35,3060,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_irregularis,Cruz_et_al_2005,19.91906357,9.08093643
Liolaemus,irregularis,min,6.96,ct,-24.25,24.25,-66.35,3060,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_irregularis,Cruz_et_al_2005,-7.713224411,36.71322441
Liolaemus,jamesi,min,8.08,ct,-18.17,18.17,NA,4350,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_jamesi,Labra_et_al_2009,NA,NA
Liolaemus,kingii,max,44.5,ct,-45.41,45.41,-67.56,0,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_kingii,Cruz_et_al_2005,24.66710854,4.33289146
Liolaemus,kingii,min,7.01,ct,-45.41,45.41,-67.56,0,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_kingii,Cruz_et_al_2005,0.600426853,28.39957315
Liolaemus,koslowskyi,max,46.1,ct,-28.8,28.8,-66.56,800,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_koslowskyi,Cruz_et_al_2005,33.25374985,-4.25374985
Liolaemus,koslowskyi,min,13.22,ct,-28.8,28.8,-66.56,800,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_koslowskyi,Cruz_et_al_2005,3.15231657,25.84768343
Liolaemus,kriegi,max,43.67,ct,-42.08,42.08,-69.52,950,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_kriegi,Cruz_et_al_2005,23.17560577,5.82439423
Liolaemus,kriegi,min,7.6,ct,-42.08,42.08,-69.52,950,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_kriegi,Cruz_et_al_2005,-4.149082184,33.14908218
Liolaemus,laurenti,max,46.18,ct,-30.12,30.12,-67.4,800,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_laurenti,Cruz_et_al_2005,31.93452835,-2.93452835
Liolaemus,laurenti,min,12.2,ct,-30.12,30.12,-67.4,800,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_laurenti,Cruz_et_al_2005,-0.380450398,29.3804504
Liolaemus,lemniscatus,min,5.95,ct,-33.4,33.4,NA,1200,20,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_lemniscatus,Carothers_et_al_1997,NA,NA
Liolaemus,leopardinus,min,2.63,ct,-33.67,33.67,NA,2850,20,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_leopardinus,Carothers_et_al_1997,NA,NA
Liolaemus,lorenzmuelleri,min,10.13,ct,-29.85,29.85,NA,3206,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_lorenzmuelleri,Labra_et_al_2009,NA,NA
Liolaemus,melanops,max,44.94,ct,-42.27,42.27,-64.08,900,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_melanops,Cruz_et_al_2005,25.96515656,3.03484344
Liolaemus,melanops,min,5.65,ct,-42.27,42.27,-64.08,900,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_melanops,Cruz_et_al_2005,3.257247448,25.74275255
Liolaemus,monticola,min,4.54,ct,-33.4,33.4,NA,2200,20,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_monticola,Carothers_et_al_1997,NA,NA
Liolaemus,multicolor,max,44.7,ct,-40.44,40.44,-68.37,0,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_multicolor,Cruz_et_al_2005,27.77931976,1.22068024
Liolaemus,multicolor,min,8.06,ct,-40.44,40.44,-68.37,0,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_multicolor,Cruz_et_al_2005,-2.894165277,31.89416528
Liolaemus,multimaculatus,max,43.83,ct,-38.54,38.54,-58.55,0,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_multimaculatus,Cruz_et_al_2005,27.88147354,1.11852646
Liolaemus,multimaculatus,min,8.93,ct,-38.54,38.54,-58.55,0,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_multimaculatus,Cruz_et_al_2005,3.392099857,25.60790014
Liolaemus,nigromaculatus,min,8.4,ct,-29.57,29.57,NA,336,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_nigromaculatus,Labra_et_al_2009,NA,NA
Liolaemus,nigroroseus,min,11.64,ct,-23.33,23.33,NA,2300,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_nigroroseus,Labra_et_al_2001,NA,NA
Liolaemus,nigroviridis,min,3.3,ct,-33.4,33.4,NA,2675,20,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_nigroviridis,Carothers_et_al_1997,NA,NA
Liolaemus,nitidus,min,3.6,ct,-33.4,33.4,NA,2200,20,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_nitidus,Carothers_et_al_1997,NA,NA
Liolaemus,olongasta,max,44.58,ct,-29.82,29.82,-67.95,900,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_olongasta,Cruz_et_al_2005,31.93452835,-2.93452835
Liolaemus,olongasta,min,11.85,ct,-29.82,29.82,-67.95,900,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_olongasta,Cruz_et_al_2005,-0.380450398,29.3804504
Liolaemus,ornatus,min,6.91,ct,-19.25,19.25,NA,3710,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_ornatus,Labra_et_al_2009,NA,NA
Liolaemus,petrophilus,max,45.23,ct,-42.26,42.26,-68.41,900,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_petrophilus,Cruz_et_al_2005,24.7057724,4.2942276
Liolaemus,petrophilus,min,7.31,ct,-42.26,42.26,-68.41,900,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_petrophilus,Cruz_et_al_2005,-5.264298439,34.26429844
Liolaemus,pictus,min,8.47,ct,-40.95,40.95,NA,700,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_pictus,Labra_et_al_2009,NA,NA
Liolaemus,platei,min,11.98,ct,-27.05,27.05,NA,200,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_platei,Labra_et_al_2009,NA,NA
Liolaemus,poecilochromus,max,44.16,ct,-27.52,27.52,-68.13,3500,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_poecilochromus,Cruz_et_al_2005,20.92873192,8.07126808
Liolaemus,poecilochromus,min,9.35,ct,-27.52,27.52,-68.13,3500,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_poecilochromus,Cruz_et_al_2005,-8.259500504,37.2595005
Liolaemus,pseudoanomalus,max,45.93,ct,-28.8,28.8,-66.94,990,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_pseudoanomalus,Cruz_et_al_2005,30.07898331,-1.07898331
Liolaemus,pseudoanomalus,min,12.19,ct,-28.8,28.8,-66.94,990,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_pseudoanomalus,Cruz_et_al_2005,-1.506476521,30.50647652
Liolaemus,pseudolemniscatus,min,11.08,ct,-29.57,29.57,NA,336,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_pseudolemniscatus,Labra_et_al_2009,NA,NA
Liolaemus,punctatissimus,min,13.64,ct,-39.3,39.3,NA,430,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_punctatissimus,Labra_et_al_2009,NA,NA
Liolaemus,quilmes,max,44.69,ct,-26.59,26.59,-66.16,1600,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_quilmes,Cruz_et_al_2005,25.81286621,3.18713379
Liolaemus,quilmes,min,8.46,ct,-26.59,26.59,-66.16,1600,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_quilmes,Cruz_et_al_2005,-2.297008276,31.29700828
Liolaemus,riojanus,max,45.2,ct,-30.2,30.2,-67.67,500,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_riojanus,Cruz_et_al_2005,33.5852356,-4.5852356
Liolaemus,riojanus,min,10.7,ct,-30.2,30.2,-67.67,500,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_riojanus,Cruz_et_al_2005,1.363882303,27.6361177
Liolaemus,robertmertensi,max,43,ct,-28.81,28.81,-66.74,690,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_robertmertensi,Cruz_et_al_2005,33.25374985,-4.25374985
Liolaemus,robertmertensi,min,14.07,ct,-28.81,28.81,-66.74,690,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_robertmertensi,Cruz_et_al_2005,3.15231657,25.84768343
Liolaemus,rothi,max,43.8,ct,-40.29,40.29,-68.45,500,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_rothi,Cruz_et_al_2005,27.77931976,1.22068024
Liolaemus,rothi,min,5.5,ct,-40.29,40.29,-68.45,500,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_rothi,Cruz_et_al_2005,-2.894165277,31.89416528
Liolaemus,salinicola,max,48.21,ct,-27.48,27.48,-67.64,0,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_salinicola,Cruz_et_al_2005,27.44265747,1.55734253
Liolaemus,salinicola,min,14.2,ct,-27.48,27.48,-67.64,0,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_salinicola,Cruz_et_al_2005,-2.051629782,31.05162978
Liolaemus,scapularis,max,45.57,ct,-26.59,26.59,-66.16,1.00E+03,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_scapularis,Cruz_et_al_2005,25.81286621,3.18713379
Liolaemus,scapularis,min,9.39,ct,-26.59,26.59,-66.16,1.00E+03,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_scapularis,Cruz_et_al_2005,-2.297008276,31.29700828
Liolaemus,schroederi,min,5.4,ct,-33.4,33.4,NA,2350,20,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_schroederi,Carothers_et_al_1997,NA,NA
Liolaemus,sp.1,max,45,ct,-37.4,37.4,-67.11,1200,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_sp.1,Cruz_et_al_2005,32.4432106,-3.4432106
Liolaemus,sp.1,min,7.3,ct,-37.4,37.4,-67.11,1200,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_sp.1,Cruz_et_al_2005,0.588617623,28.41138238
Liolaemus,telsen,max,44.6,ct,-42.39,42.39,-64.59,400,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_telsen,Cruz_et_al_2005,29.07946014,-0.07946014
Liolaemus,telsen,min,8.98,ct,-42.39,42.39,-64.59,400,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_telsen,Cruz_et_al_2005,0.697304547,28.30269545
Liolaemus,tenuis,min,4.16,ct,-33.4,33.4,NA,1500,20,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_tenuis,Carothers_et_al_1997,NA,NA
Liolaemus,vallecurensis,min,8.2,ct,-29.85,29.85,NA,3206,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_vallecurensis,Labra_et_al_2009,NA,NA
Liolaemus,walkeri,min,12.9,ct,-22.6,22.6,NA,4250,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_walkeri,Labra_et_al_2009,NA,NA
Liolaemus,xanthoviridis,max,44.48,ct,-43.74,43.74,-65.58,0,29,18,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_xanthoviridis,Cruz_et_al_2005,25.87751007,3.12248993
Liolaemus,xanthoviridis,min,7.86,ct,-43.74,43.74,-65.58,0,29,20,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Liolaemus_xanthoviridis,Cruz_et_al_2005,2.020338535,26.97966147
Liomys,irroratus,max,34,TNZ,26.2,26.2,-98.4,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Heteromyidae,Terrestrial,endotherm,Liomys_irroratus,Hudson_&_Rummel_1966,37.46147156,NA
Liomys,irroratus,min,31,TNZ,26.2,26.2,-98.4,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Heteromyidae,Terrestrial,endotherm,Liomys_irroratus,Hudson_&_Rummel_1966,7.691681385,NA
Liomys,salvini,max,34,TNZ,12.08,12.08,-86.15,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Heteromyidae,Terrestrial,endotherm,Liomys_salvini,Hudson_&_Rummel_1966,33.21813965,NA
Liomys,salvini,min,31,TNZ,12.08,12.08,-86.15,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Heteromyidae,Terrestrial,endotherm,Liomys_salvini,Hudson_&_Rummel_1966,22.34283638,NA
Liothyrella,neozelanica,max,29.4,ct,-45.4,45.4,167.1,0,26,18.7,0.017,NA,Brachiopoda,Rhynchonellata,Terebratulida,Terebratulidae,Marine,ectotherm,Liothyrella_neozelanica,Morley_et_al_2016,18.27999878,7.72000122
Liothyrella,uva,max,4.5,DLT50,-60.9,60.9,-45.6,0,NA,NA,NA,NA,Brachiopoda,Rhynchonellata,Terebratulida,Terebratulidae,Marine,ectotherm,Liothyrella_uva,Peck_1989,2.659999847,NA
Lipinia,pulchella,max,35.1,ct,14.09,14.09,121.49,1100,22,22,0.5,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Lipinia_pulchella,Scheffers_et_al_2014,32.4418602,-10.4418602
Lipophrys,trigloides,max,33.8,ct,38,38,-9,0,24,24,0.017,NA,Chordata,Actinopteri,Perciformes,Blenniidae,Marine,ectotherm,Lipophrys_trigloides,Madeira_et_al_2012,22.84000015,1.15999985
Lithobates,sylvatica,max,33.9,ct,42.63,42.63,-83.22,67,15,15,0.75,NA,Chordata,Amphibia,Anura,Ranidae,Terrestrial,ectotherm,Lithobates_sylvatica,Manis_&_Claussen_1986,28.75920677,-13.75920677
Lithobates,sylvatica,min,0.1,ct,37.34,37.34,-83.22,326,15,15,0.75,NA,Chordata,Amphibia,Anura,Ranidae,Terrestrial,ectotherm,Lithobates_sylvatica,Manis_&_Claussen_1986,-4.857942104,19.8579421
Litoria,gracilenta,max,39,ct,-27.5,27.5,153,5,25,25,0.33,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,ectotherm,Litoria_gracilenta,Johnson_1972,31.01422119,-6.01422119
Littorina,fabalis,max,29.9,LT50,55.75,55.75,-4.9,0,NA,NA,NA,24,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Intertidal,ectotherm,Littorina_fabalis,Davenport_&_Davenport_2005,16.82999992,NA
Littorina,fabalis,min,-13.3,LT50,55.75,55.75,-4.9,0,NA,NA,NA,24,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Intertidal,ectotherm,Littorina_fabalis,Davenport_&_Davenport_2005,5.670000076,NA
Littorina,littorea,max,35.3,LT50,55.75,55.75,-4.9,0,NA,NA,NA,24,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Intertidal,ectotherm,Littorina_littorea,Davenport_&_Davenport_2005,16.82999992,NA
Littorina,littorea,min,-13,LT50,55.75,55.75,-4.9,0,NA,NA,NA,24,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Intertidal,ectotherm,Littorina_littorea,Davenport_&_Davenport_2005,5.670000076,NA
Littorina,obtusata,max,29.6,LT50,55.75,55.75,-4.9,0,NA,NA,NA,24,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Intertidal,ectotherm,Littorina_obtusata,Davenport_&_Davenport_2005,16.82999992,NA
Littorina,obtusata,min,-13,LT50,55.75,55.75,-4.9,0,NA,NA,NA,24,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Intertidal,ectotherm,Littorina_obtusata,Davenport_&_Davenport_2005,5.670000076,NA
Littorina,saxatilis,max,35,LT50,55.75,55.75,-4.9,0,NA,NA,NA,24,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Intertidal,ectotherm,Littorina_saxatilis,Davenport_&_Davenport_2005,16.82999992,NA
Littorina,saxatilis,min,-16.4,LT50,55.75,55.75,-4.9,0,NA,NA,NA,24,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Intertidal,ectotherm,Littorina_saxatilis,Davenport_&_Davenport_2005,5.670000076,NA
Liza,ramada,max,38,ct,38,38,-9,0,24,24,0.017,NA,Chordata,Actinopteri,Mugiliformes,Mugilidae,Marine,ectotherm,Liza_ramada,Madeira_et_al_2012,22.84000015,1.15999985
Lobaria,pulmonaria,max,46.7,ct,58.6,58.6,8.7,340,NA,NA,NA,NA,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Terrestrial,plant,Lobaria_pulmonaria,Gauslaa_&_Solhaug_1999,19.70396614,NA
Lobaria,pulmonaria,min,-22.8,LT50,51,51,8.7,50,NA,NA,NA,2,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Terrestrial,plant,Lobaria_pulmonaria,Rutten_&_Santarius_1992,-1.976384282,NA
