data gatherer,habitat data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,genus_species,coastal_or_oceanic,notes/logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,upper_elevation_limit_meters,lower_elevation_limit_meters,elevational_range_source,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes
Jenn,Sarah,Protothaca,thaca,Veneridae,Marine,Animalia,Molusca,Bivalvia,Veneroida,Leukoma_thaca,coastal,,sealifebase,0,20,,sealifebase,,,,benthic,FAO species fact sheet,Changed from Protothaca to Leukoma
Jenn,Sarah,Semele,solida,Samelidae,Marine,Animalia,Molusca,Bivalvia,Veneroida,Semele_solida,coastal,,sealifebase,0,11,,sealifebase,,,,benthic,sealifebase,NA
Susana,Sarah,Agroeca,proxima,Liocranidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Agroeca_proxima,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Clubiona,diversa,Clubionidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Clubiona_diversa,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Crustulina,guttata,Theridiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Crustulina_guttata,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Oedothorax,apicatus,Linyphiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Oedothorax_apicatus,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Pardosa,nigriceps,Lycosidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Pardosa_nigriceps,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Philodromus,aureolus,Philodromidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Philodromus_aureolus,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Phrurolithus,festivus,Corinnidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Phrurolithus_festivus,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Prinerigone,vagans,Linyphiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Prinerigone_vagans,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Scotina,gracilipes,Liocranidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Scotina_gracilipes,,,,,,,,,,,NA,terrestrial,NA
Susana,Sarah,Stemonyphantes,lineatus,Linyphiidae,Terrestrial,Animalia,Arthropoda,Arachnida,Araneae,Stemonyphantes_lineatus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Calathus,melanocephalus,Carabidae,Terrestrial,Animalia,Arthropoda,Insecta,Coleoptera,Calathus_melanocephalus,,,,,,,,1000,543,IUCN,NA,terrestrial,NA
Piero,Sarah,Aphaenogaster,fulva,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Aphaenogaster_fulva,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Camponotus,americanus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Camponotus_americanus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Camponotus,castaneus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Camponotus_castaneus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Camponotus,chromaiodes,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Camponotus_chromaiodes,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Camponotus,novaeboracensis,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Camponotus_novaeboracensis,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Camponotus,pennsylvanicus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Camponotus_pennsylvanicus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Crematogaster,lineolata,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Crematogaster_lineolata,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Formica,neogagates,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Formica_neogagates,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Formica,obscuripes,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Formica_obscuripes,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Linepithema,humile,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Linepithema_humile,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Myrmecocystus,mimicus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Myrmecocystus_mimicus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Pogonomyrmex,barbatus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Pogonomyrmex_barbatus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Pogonomyrmex,californicus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Pogonomyrmex_californicus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Pogonomyrmex,rugosus,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Pogonomyrmex_rugosus,,,,,,,,,,,NA,terrestrial,NA
Piero,Sarah,Proceratium,silaceum,Formicidae,Terrestrial,Animalia,Arthropoda,Insecta,Hymenoptera,Proceratium_silaceum,,,,,,,,,,,NA,terrestrial,NA
