data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,"maximum body size (SVL, HBL, cm)",Source for maximum body size,notes on body size (e.g. type of metric),Trophic position,Source/logic for trophic position,migratory?,source/logic for migration info,dispersal distance category,logic/source for dispersal distance,dispersal type (walking may need to be reworded to something that encaptures slithering),logic/source for dispersal type,cold season dormancy?,source/logic for cold season dormancy,notes for cold season dormancy,hot season dormancy?,source/logic for hot season dormancy,notes for hot season dormancy,highland specialist,source/logic for highland specialist,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes,genus_species,limit_type
Jenn,Cottus,cognatus,Cottidae,Freshwater,Animalia,Chordata,Actinopterygii,Scorpaeniformes,12.1,fishbase,,omnivore,fishbase,no?,Anadromous? (Biology description on Fishbase),NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,NA,NA,demersal,,NA,Cottus_cognatus,"max, min"
Jenn,Ameiurus,melas,Ictaluridae,Freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,66,fishbase,,omnivore,fishbase,no,NA,NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,NA,NA,demersal,,NA,Ameiurus_melas,max
Jenn,Ameiurus,natalis,Ictaluridae,Freshwater,Animalia,Chordata,Actinopterygii,Siluriformes,60,fishbase,,carnivore,fishbase,no,NA,NA,NA,swimming,NA,no,unheard of for fish,,no,unheard of for fish,,NA,NA,demersal,,NA,Ameiurus_natalis,max
Susana,Halozetes,belgicae,Ameronothridae,Intertidal,Animalia,Arthropoda,Arachnida,Acarina,0.07,Cannon and Schenker (1985) Brit Antarct Surv Bull 67: 1-5,Body size is mean length,herbivore,"Deere and Chown (2006) The American Naturalist 168: 630-644; Hawes et al. (2007). J. Exp. Biol. 210.; Feeds on lichens and/or algea.
593-601.",Non-migratory,taxa,0-1,oribatid mites have low dispersal ability generally - Stary and Block (1998) Journal of Natural History 32: 861-894,walking,mite,No,no info - based on taxa,,No,no info - based on taxa,,non-highland specialist,Mercer et al (2000) Polar Biology 23: 775-784,intertidal,,NA,Halozetes_belgicae,"max, min"
Jenn,Hemigrapsus,nudus,Varunidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,0.1342,Oliver and Schmelter (2018),mean carapace width,omnivore,Yamada and Boulding (1998) Journal of Experimental Marine Biology and Ecology 220(2): 191-211,Non-migratory,"do migrate offshore seasonally, but would likely not affect realized range (Boddeke (1976) Netherlands Journal of Sea Research 10(1):103-130)",10-100,"minimum PLD in water column is 30 days, benthic crustacean with planktonic larvae - Kelly, R. P., & Palumbi, S. R. (2010). Genetic structure among 50 species of the northeastern Pacific rocky intertidal community. PloS one, 5(1), e8594.",pelagic development and crawling adults,"pelagic larval development - Lehto, J., Sulkin, S., Strom, S., & Johnson, D. (1998). Protists and detrital particles as prey for the first larval stage of the brachyuran crab, Hemigrapsus oregonensis. Journal of experimental marine biology and ecology, 230(2), 213-224.",No,no info - based on taxa,,No,no info - based on taxa,,non-highland specialist,intertidal,benthic,,NA,Hemigrapsus_nudus,"max, min"
Jenn,Pachygrapsus,marmoratus,Grapsidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,2.9,Mehmet et al. (2014) Journal of the Marine Biological Association of the United Kingdom 94(7): 1441-1449,mean carapace width,omnivore,"Cannicci et al. (2002) Estuarine, Coastal and Shelf Science 54: 983–1001",Non-migratory,taxa,10-100,"PLD 1 month, benthic crustacean with planktonic larvae- Fratini, S., Ragionieri, L., Cutuli, G., Vannini, M., & Cannicci, S. (2013). Pattern of genetic isolation in the crab Pachygrapsus marmoratus within the Tuscan Archipelago (Mediterranean Sea). Marine Ecology Progress Series, 478, 173-183.",pelagic development,"pelagic larval development - Pires, R. F., Peliz, Á., Pan, M., & dos Santos, A. (2020). “There and back again”− How decapod megalopae find the way home: A modelling exercise for Pachygrapsus marmoratus. Progress in Oceanography, 102331.",No,no info - based on taxa,,No,no info - based on taxa,,non-highland specialist,intertidal,benthic,,NA,Pachygrapsus_marmoratus,max
Jenn,Petrolisthes,gracilis,Porcellanidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,omnivore,filter feeding - Gabaldon (1979) Crustaceana 36(1): 110-112,Non-migratory,taxa,10-100,"PLD in genus thought to be months, benthic crustacean with planktonic larvae - Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.",pelagic development and crawling adults,"pelagic planktotrophic development in genus - Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.",No,no info - based on taxa,,No,no info - based on taxa,,non-highland specialist,intertidal,benthic,,NA,Petrolisthes_gracilis,"max, min"
Jenn,Petrolisthes,hirtipes,Porcellanidae,Intertidal,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,omnivore,filter feeding - Gabaldon (1979) Crustaceana 36(1): 110-112,Non-migratory,taxa,10-100,"PLD in genus thought to be months, benthic crustacean with planktonic larvae- Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.",pelagic development and crawling adults,"pelagic planktotrophic development in genus - Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.",No,no info - based on taxa,,No,no info - based on taxa,,non-highland specialist,intertidal,demersal,,NA,Petrolisthes_hirtipes,"max, min"
Jenn,Gobius,cobitis,Gobiidae,Intertidal,Animalia,Chordata,Actinopterygii,Perciformes,14.1,fishbase,TL male/unsexed,omnivore,fishbase,Non-migratory,fishbase,10-100,"PLD 37-44 days, intertidal species with planktonic larvae - Gil, M. F., Gonçalves, E. J., Faria, C., Almada, V. C., Baptista, C., & Carreiro, H. (1997). Embryonic and larval development of the giant goby Gobius cobitis (Pisces: Gobiidae). Journal of Natural History, 31(5), 799-804.",pelagic development and swimming adults,pelagic larval stage - Gil et al. (1997) Journal of Natural History 31(5):799-804,No,unheard of for fish,,No,unheard of for fish,,non-highland specialist,intertidal,demersal,,NA,Gobius_cobitis,max
Jenn,Gobius,niger,Gobiidae,Intertidal,Animalia,Chordata,Actinopterygii,Perciformes,18,fishbase,TL male/unsexed,carnivore,fishbase,Non-migratory,Bouchereau and Guelorget (1997) Oceanologica Acta 21(3): 503-517,10-100,"PLD 1 month, intertidal species with planktonic larvae- Giovannotti, M., La Mesa, M., & Caputo, V. (2009). Life style and genetic variation in teleosts: the case of pelagic (Aphia minuta) and benthic (Gobius niger) gobies (Perciformes: Gobiidae). Marine biology, 156(3), 239-252.",pelagic development and swimming adults,"pelagic planktonic larval stage - Vaas, K. F., Vlasblom, A. G., & De Koeijer, P. (1975). Studies on the black goby (Gobius niger, Gobiidae, Pisces) in the Veerse Meer, SW Netherlands. Netherlands Journal of Sea Research, 9(1), 56-68.",No,unheard of for fish,,No,unheard of for fish,,non-highland specialist,intertidal,demersal,,NA,Gobius_niger,max
