"range","type","dormancy","realm","r_niche_upper","p_niche_upper","ctmax","r_niche_lower","p_niche_lower","ctmin","limit_type","warm_under","warm_over","f_warm_over","f_warm_under","cold_under","cold_over","f_cold_over","f_cold_under","species","source","range_area_km2","lat_mp"
"Hemachatus_haemachatus_IUCN","Te","none","Terrestrial",39.3317832946777,43.0945434570312,43.1,-3.34094762802124,3.72456645965576,3.7,"tmax, tmin",-3.7627601623535,0,0,3.7682167053223,0,7.065514087677,35.6317832946777,0,"Hemachatus haemachatus","IUCN",392531,-29.7209011155
"Hemidactylus_frenatus_IUCN","Te","none","Terrestrial",43.7152328491211,42.3236999511719,42.4,-11.1525630950928,11.9360046386719,11.9,"tmax, tmin",0,1.3915328979492,1.3152328491211,0,0,23.0885677337647,31.8152328491211,0,"Hemidactylus frenatus","IUCN",7536266,1.41776943200003
"Hemidactylus_turcicus_IUCN","Te","cold","Terrestrial",41.6756210327148,41.087345123291,41.1,-10.3093347549438,10.5100994110107,10.5,"tmax, tmin",0,0.5882759094238,0.5756210327148,0,0,20.8194341659545,31.1756210327148,0,"Hemidactylus turcicus","IUCN",1272674,29.275785593
"Hemiergis_decresiensis_IUCN","Te","cold","Terrestrial",37.0427665710449,39.296875,39.3,5.92642259597778,6.88803768157959,6.8,"tmax, tmin",-2.2541084289551,0,0,2.2572334289551,0,0.96161508560181,30.2427665710449,0,"Hemiergis decresiensis","IUCN",129271,-34.25137654
"Hemiergis_peroni_GBIF","Te","none","Terrestrial",35.4815216064453,38.5834121704102,38.6,1.27247822284698,9.60789394378662,9.6,"tmax, tmin",-3.1018905639649,0,0,3.1184783935547,0,8.33541572093964,25.8815216064453,0,"Hemiergis peroni","GBIF",583638,-34.5230391405754
"Heteronotia_binoei_IUCN","Te","none","Terrestrial",41.3856582641602,40.5247611999512,40.6,-11.6247453689575,9.6231632232666,9.6,"tmax, tmin",0,0.860897064208999,0.785658264160197,0,0,21.2479085922241,31.7856582641602,0,"Heteronotia binoei","IUCN",6908491,-22.6670889624999
"Heteronotia_binoei_GBIF","Te","none","Terrestrial",41.3856582641602,40.5247611999512,40.6,-11.6247453689575,9.6231632232666,9.6,"tmax, tmin",0,0.860897064208999,0.785658264160197,0,0,21.2479085922241,31.7856582641602,0,"Heteronotia binoei","GBIF",7259293,-23.1327539547944
"Lacerta_agilis_IUCN","Te","cold","Terrestrial",36.1282196044922,43.6346664428711,43.9,-16.1848983764648,5.91414451599121,5.9,"tmax, tmin",-7.5064468383789,0,0,7.7717803955078,0,22.099042892456,30.2282196044922,0,"Lacerta agilis","IUCN",10035379,50.589335593
"Lampropholis_delicata_GBIF","Te","cold","Terrestrial",40.5063171386719,40.7093391418457,40.8,-5.97745370864868,4.84362268447876,4.7,"tmax, tmin",-0.2030220031738,0,0,0.293682861328094,0,10.8210763931274,35.8063171386719,0,"Lampropholis delicata","GBIF",3950065,-24.9332591049673
"Lampropholis_delicata_IUCN","Te","cold","Terrestrial",35.5473518371582,40.7093391418457,40.8,-5.97745370864868,4.84362268447876,4.7,"tmax, tmin",-5.1619873046875,0,0,5.25264816284179,0,10.8210763931274,30.8473518371582,0,"Lampropholis delicata","IUCN",944506,-29.583265889
"Lampropholis_guichenoti_GBIF","Te","cold","Terrestrial",37.9691123962402,41.2391624450684,41.3,-5.97830772399902,2.53981685638428,2.5,"tmax, tmin",-3.2700500488282,0,0,3.3308876037598,0,8.5181245803833,35.4691123962402,0,"Lampropholis guichenoti","GBIF",1345448,-33.4735321814006
"Lampropholis_guichenoti_IUCN","Te","cold","Terrestrial",35.96044921875,41.2391624450684,41.3,-5.97830772399902,2.53981685638428,2.5,"tmax, tmin",-5.2787132263184,0,0,5.33955078125,0,8.5181245803833,33.46044921875,0,"Lampropholis guichenoti","IUCN",658209,-32.1557114269999
"Lepidodactylus_lugubris_GARD","Te","cold","Terrestrial",44.523998260498,40.1932411193848,40.2,-8.63693332672119,11.5056409835815,11.5,"tmax, tmin",0,4.3307571411132,4.32399826049799,0,0,20.1425743103027,33.023998260498,0,"Lepidodactylus lugubris","GARD",7538631,0.02807778496183
"Lepidophyma_flavimaculatum_IUCN","Te","none","Terrestrial",43.7649002075195,37.5146789550781,38,11.5790519714355,11.4667139053345,11.3,"tmax, tmin",0,6.25022125244141,5.7649002075195,0,-0.112338066101001,0,0,-0.2790519714355,"Lepidophyma flavimaculatum","IUCN",259316,14.437206218
"Linepithema_humile_GBIF","Te","none","Terrestrial",37.8039970397949,37.3910369873047,37.7,-6.35611200332642,-0.0517506115138531,-0.1,"tmax, tmin",0,0.412960052490199,0.103997039794898,0,0,6.30436139181257,37.9039970397949,0,"Linepithema humile","GBIF",4310254,-29.7497418597388
"Liolaemus_abaucan_IUCN","Te","cold","Terrestrial",35.2049331665039,38.5956687927246,47.3,14.5316505432129,15.44957447052,15.41,"tmax, tmin",-3.3907356262207,0,0,12.0950668334961,0,0.9179239273071,19.7949331665039,0,"Liolaemus abaucan","IUCN",1409,-27.5177749944999
"Liolaemus_albiceps_IUCN","Te","cold","Terrestrial",36.3467445373535,37.0948143005371,44.33,17.179594039917,7.24041318893433,7.05,"tmax, tmin",-0.748069763183601,0,0,7.9832554626465,-9.93918085098267,0,0,-10.129594039917,"Liolaemus albiceps","IUCN",686,-24.248600387
"Liolaemus_bibronii_IUCN","Te","cold","Terrestrial",31.3847064971924,38.5964431762695,44.53,-7.01653623580933,8.57329368591309,8.49,"tmax, tmin",-7.2117366790771,0,0,13.1452935028076,0,15.5898299217224,22.8947064971924,0,"Liolaemus bibronii","IUCN",295599,-44.6722253445
"Liolaemus_bibronii_GBIF","Te","cold","Terrestrial",35.4993858337402,38.5964431762695,44.53,-3.67291903495789,8.57329368591309,8.49,"tmax, tmin",-3.0970573425293,0,0,9.0306141662598,0,12.246212720871,27.0093858337402,0,"Liolaemus bibronii","GBIF",722673,-39.9166231665576
"Liolaemus_boulengeri_GBIF","Te","cold","Terrestrial",35.1712646484375,38.5975379943848,43.99,-7.02129745483398,9.42209339141846,9.4,"tmax, tmin",-3.4262733459473,0,0,8.8187353515625,0,16.4433908462524,25.7712646484375,0,"Liolaemus boulengeri","GBIF",813939,-41.396187524773
"Liolaemus_boulengeri_IUCN","Te","cold","Terrestrial",29.6829032897949,38.5975379943848,43.99,-0.410529106855392,9.42209339141846,9.4,"tmax, tmin",-8.9146347045899,0,0,14.3070967102051,0,9.83262249827385,20.2829032897949,0,"Liolaemus boulengeri","IUCN",84512,-43.5916641994999
"Liolaemus_canqueli_IUCN","Te","cold","Terrestrial",28.2419033050537,38.5998916625977,44.6,-0.423536390066147,7.04153680801392,6.99,"tmax, tmin",-10.357988357544,0,0,16.3580966949463,0,7.46507319808007,21.2519033050537,0,"Liolaemus canqueli","IUCN",14866,-43.9997479225
"Liolaemus_capillitas_IUCN","Te","cold","Terrestrial",36.2555198669434,37.0947380065918,43.7,15.0470085144043,7.69376087188721,7.47,"tmax, tmin",-0.839218139648395,0,0,7.4444801330566,-7.35324764251709,0,0,-7.5770085144043,"Liolaemus capillitas","IUCN",5851,-27.1254681725
"Liolaemus_chacoensis_IUCN","Te","cold","Terrestrial",36.3994674682617,38.5938491821289,44.1,10.3673000335693,14.9197015762329,14.9,"tmax, tmin",-2.1943817138672,0,0,7.7005325317383,0,4.5524015426636,21.4994674682617,0,"Liolaemus chacoensis","IUCN",375206,-27.0893977199999
"Liolaemus_cuyanus_IUCN","Te","cold","Terrestrial",36.348762512207,38.6000709533691,45.7,7.43474102020264,12.0717840194702,12,"tmax, tmin",-2.2513084411621,0,0,9.351237487793,0,4.63704299926756,24.348762512207,0,"Liolaemus cuyanus","IUCN",63024,-32.8253007105
"Liolaemus_darwinii_GBIF","Te","cold","Terrestrial",36.3465957641602,38.5962944030762,44.68,1.02480530738831,10.1474828720093,10.11,"tmax, tmin",-2.249698638916,0,0,8.3334042358398,0,9.12267756462099,26.2365957641602,0,"Liolaemus darwinii","GBIF",596832,-33.8661772285365
"Liolaemus_darwinii_IUCN","Te","cold","Terrestrial",35.7356414794922,38.5962944030762,44.68,-0.170869812369347,10.1474828720093,10.11,"tmax, tmin",-2.860652923584,0,0,8.9443585205078,0,10.3183526843786,25.6256414794922,0,"Liolaemus darwinii","IUCN",396964,-36.6733767835
"Liolaemus_dorbignyi_IUCN","Te","cold","Terrestrial",35.2070922851562,37.0951309204102,43.91,14.5173559188843,8.86145401000977,8.83,"tmax, tmin",-1.888038635254,0,0,8.7029077148438,-5.65590190887453,0,0,-5.6873559188843,"Liolaemus dorbignyi","IUCN",595,-27.4920304795
"Liolaemus_elongatus_IUCN","Te","cold","Terrestrial",33.6950416564941,38.5990257263184,45.1,-0.418749988079071,7.69442939758301,7.68,"tmax, tmin",-4.9039840698243,0,0,11.4049583435059,0,8.11317938566208,26.0150416564941,0,"Liolaemus elongatus","IUCN",150565,-41.6673427825
"Liolaemus_elongatus_GBIF","Te","cold","Terrestrial",36.3747673034668,38.5990257263184,45.1,-1.21688461303711,7.69442939758301,7.68,"tmax, tmin",-2.2242584228516,0,0,8.7252326965332,0,8.91131401062012,28.6947673034668,0,"Liolaemus elongatus","GBIF",836422,-38.8911185436146
"Liolaemus_fitzingerii_IUCN","Te","cold","Terrestrial",21.7861824035645,38.6005783081055,44.45,1.81020092964172,8.24850177764893,8.24,"tmax, tmin",-16.814395904541,0,0,22.6638175964355,0,6.43830084800721,13.5461824035645,0,"Liolaemus fitzingerii","IUCN",792,-44.9019719375
"Liolaemus_irregularis_IUCN","Te","cold","Terrestrial",36.5232391357422,37.0945014953613,44.98,17.1811828613281,7.2422571182251,6.96,"tmax, tmin",-0.571262359619098,0,0,8.4567608642578,-9.938925743103,0,0,-10.2211828613281,"Liolaemus irregularis","IUCN",1867,-23.8911176029999
"Liolaemus_kingii_IUCN","Te","cold","Terrestrial",28.2419033050537,38.5998916625977,44.5,-7.03144454956055,7.04153680801392,7.01,"tmax, tmin",-10.357988357544,0,0,16.2580966949463,0,14.0729813575745,21.2319033050537,0,"Liolaemus kingii","IUCN",210999,-46.3966257265
"Liolaemus_kingii_GBIF","Te","cold","Terrestrial",29.6806468963623,38.5998916625977,44.5,-7.03144454956055,7.04153680801392,7.01,"tmax, tmin",-8.9192447662354,0,0,14.8193531036377,0,14.0729813575745,22.6706468963623,0,"Liolaemus kingii","GBIF",432208,-46.4115282896415
"Liolaemus_koslowskyi_IUCN","Te","cold","Terrestrial",36.1223411560059,38.598030090332,46.1,12.833477973938,13.3130474090576,13.22,"tmax, tmin",-2.4756889343261,0,0,9.9776588439941,0,0.479569435119599,22.9023411560059,0,"Liolaemus koslowskyi","IUCN",15792,-28.132707021
"Liolaemus_kriegi_IUCN","Te","cold","Terrestrial",33.1732139587402,38.6011238098145,43.67,-0.166381254792213,7.686692237854,7.6,"tmax, tmin",-5.4279098510743,0,0,10.4967860412598,0,7.85307349264621,25.5732139587402,0,"Liolaemus kriegi","IUCN",56163,-40.4757320209999
