"Genus","Species","Class","Order","Family","genus_species"
"Eurycea","nana","Amphibia","Caudata","Plethodontidae","Eurycea nana"
"Floridichthys","carpio","Actinopterygii","Cyprinodontiformes","Cyprinodontidae","Floridichthys carpio"
"Formica","neogagates","Insecta","Hymenoptera","Formicidae","Formica neogagates"
"Formica","obscuripes","Insecta","Hymenoptera","Formicidae","Formica obscuripes"
"Fundulus","parvipinnis","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus parvipinnis"
"Gehyra","variegata","Reptilia","Squamata","Gekkonidae","Gehyra variegata"
"Gemma","gemma","Bivalvia","Veneroida","Veneridae","Gemma gemma"
"Glaphyromorphus","punctulatus","Reptilia","Squamata","Scincidae","Glaphyromorphus punctulatus"
"Gobius","cobitis","Actinopterygii","Perciformes","Gobiidae","Gobius cobitis"
"Gobius","niger","Actinopterygii","Perciformes","Gobiidae","Gobius niger"
"Gopherus","agassizii","Archelosauria","Testudines","Emydidae","Gopherus agassizii"
"Halichoeres","dispilus","Actinopterygii","Perciformes","Labridae","Halichoeres dispilus"
"Heloderma","suspectum","Lepidosauria","Squamata","Helodermatidae","Heloderma suspectum"
"Hemachatus","haemachatus","Reptilia","Squamata","Elapidae","Hemachatus haemachatus"
"Hemidactylus","frenatus","Reptilia","Squamata","Gekkonidae","Hemidactylus frenatus"
"Hemidactylus","turcicus","Reptilia","Squamata","Gekkonidae","Hemidactylus turcicus"
"Hemiergis","decresiensis","Reptilia","Squamata","Scincidae","Hemiergis decresiensis"
"Hemiergis","peroni","Reptilia","Squamata","Scincidae","Hemiergis peroni"
"Hemiergis","quadrilineatum","Reptilia","Squamata","Scincidae","Hemiergis quadrilineatum"
"Hemigrapsus","nudus","Malacostraca","Decapoda","Varunidae","Hemigrapsus nudus"
"Heteronotia","binoei","Reptilia","Squamata","Gekkonidae","Heteronotia binoei"
"Holbrookia","maculata","Reptilia","Squamata","Iguanidae","Holbrookia maculata"
"Hyla","aurea","Amphibia","Anura","Hylidae","Hyla aurea"
"Hyla","caerulea","Amphibia","Anura","Hylidae","Hyla caerulea"
"Hyla","chloris","Amphibia","Anura","Hylidae","Hyla chloris"
"Hyla","citropa","Amphibia","Anura","Hylidae","Hyla citropa"
"Hyla","lesueuri","Amphibia","Anura","Hylidae","Hyla lesueuri"
"Hyla","phyllochroa","Amphibia","Anura","Hylidae","Hyla phyllochroa"
"Hylarana","erythraea","Amphibia","Anura","Ranidae","Hylarana erythraea"
"Ischnochiton","australis","Polyplaclophora","Chitonida","Ischnochitonidae","Ischnochiton australis"
"Kaloula","kalingensis","Amphibia","Anura","Microhylidae","Kaloula kalingensis"
"Lacerta","agilis","Reptilia","Squamata","Lacertidae","Lacerta agilis"
"Lacerta","schreiberi","Reptilia","Squamata","Lacertidae","Lacerta schreiberi"
"Lampropeltis","zonata","Reptilia","Squamata","Colubridae","Lampropeltis zonata"
"Lampropholis","delicata","Reptilia","Squamata","Scincidae","Lampropholis delicata"
"Lampropholis","guichenoti","Reptilia","Squamata","Scincidae","Lampropholis guichenoti"
"Laternula","elliptica","Bivalvia","Pholadomyoida","Laternulidae","Laternula elliptica"
"Lepidodactylus","lugubris","Reptilia","Squamata","Gekkonidae","Lepidodactylus lugubris"
"Lepidophyma","flavimaculatum","Reptilia","Squamata","Xantusiidae","Lepidophyma flavimaculatum"
"Lerista","bougainvilli","Reptilia","Squamata","Scincidae","Lerista bougainvilli"
"Lerista","frosti","Reptilia","Squamata","Scincidae","Lerista frosti"
"Lerista","neander","Reptilia","Squamata","Scincidae","Lerista neander"
"Lerista","orientalis","Reptilia","Squamata","Scincidae","Lerista orientalis"
"Lerista","terdigitata","Reptilia","Squamata","Scincidae","Lerista terdigitata"
"Limatula","hodgsoni","Bivalvia","Limoida","Limidae","Limatula hodgsoni"
"Limnodynastes","dorsalis","Amphibia","Anura","Myobatrachidae","Limnodynastes dorsalis"
"Limnodynastes","fletcheri","Amphibia","Anura","Myobatrachidae","Limnodynastes fletcheri"
"Limnodynastes","tasmaniensis","Amphibia","Anura","Myobatrachidae","Limnodynastes tasmaniensis"
"Limnonectes","woodworthi","Amphibia","Anura","Dicroglossidae","Limnonectes woodworthi"
"Linepithema","humile","Insecta","Hymenoptera","Formicidae","Linepithema humile"
"Liocarcinus","marmoreus","Malacostraca","Decapoda","Portunidae","Liocarcinus marmoreus"
"Liolaemus","abaucan","Reptilia","Squamata","Iguanidae","Liolaemus abaucan"
"Liolaemus","albiceps","Reptilia","Squamata","Iguanidae","Liolaemus albiceps"
"Liolaemus","bibronii","Reptilia","Squamata","Iguanidae","Liolaemus bibronii"
"Liolaemus","boulengeri","Reptilia","Squamata","Iguanidae","Liolaemus boulengeri"
"Liolaemus","canqueli","Reptilia","Squamata","Iguanidae","Liolaemus canqueli"
"Liolaemus","capillitas","Reptilia","Squamata","Iguanidae","Liolaemus capillitas"
"Liolaemus","chacoensis","Reptilia","Squamata","Iguanidae","Liolaemus chacoensis"
"Liolaemus","cuyanus","Reptilia","Squamata","Iguanidae","Liolaemus cuyanus"
"Liolaemus","darwinii","Reptilia","Squamata","Iguanidae","Liolaemus darwinii"
