"data gatherer","Genus","Species","Family","Realm","Kingdom","Phylum","Class","Order","maximum body size (SVL, HBL, cm)","Source for maximum body size","Trophic position","Source/logic for trophic position","migratory?","source/logic for migration info","dispersal distance category","logic/source for dispersal distance","dispersal type (walking may need to be reworded to something that encaptures slithering)","logic/source for dispersal type","cold season dormancy?","source/logic for cold season dormancy","hot season dormancy?","source/logic for hot season dormancy","highland specialist","Pelagic habitat (for marine species)","source/logic for highland specialist","notes","origGenus","origSpecies","Terrestriality (available for mammals only; see panTHERIA metadata)","pantheria05Genus","pantheria05Species","pantheria93Genus","pantheria93Species","allPantheriaSynonyms05","pantheriaReferences","binaryName","TRY species number (for plants)","notes on body size (e.g. type of metric)","genus_species","limit_type"
"Micky","Acris","crepitans","Hylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","3.5","Stebbins, R. C. (1985). A Field Guide to Western Reptiles and Amphibians. Houghton Mifflin, Boston.","insectivore","Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard's cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.","Y","AmphibiaWeb","1--10","Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.","walking","Gray, R.H. 1983. Seasonal, annual and geographic variation in color morph frequencies of the cricket frog, Acris crepitans, in Illinois. Copeia 1983:300-311.","Y","Johnson, B.K. and J.L. Christiansen. 1976. The food and food habits of Blanchard ‰âÂ‰ã¢s cricket frog, Acris crepitans blanchardi (Amphibia, Anura, Hylidae) in Iowa. Journal of Herpetology 10:63-74.",NA,NA,"non-highland specialist",NA,"Dunlap, D.G. 1972. Latitudinal effects on metabolic rates in the cricket frog, Acris crepitans: acutely measured rates in summer frogs. The Biological Bulletin. 143:332-343","AmphibiaWeb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acris_crepitans","min"
"Micky","Hyla","aurea","Hylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","8.5","Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hyla_aurea","max"
"Micky","Hyla","caerulea","Hylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","10","Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hyla_caerulea","max"
"Micky","Hyla","chloris","Hylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","6.8","Mclean et al 2012, Assessing the information content of calls of Litoria chloris: quality signalling versus individual recognition. Australian Journal of Zoology, 60: 120-126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hyla_chloris","max"
"Micky","Hyla","citropa","Hylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","6","Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hyla_citropa","max"
"Micky","Hyla","lesueuri","Hylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","5.5","Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hyla_lesueuri","max"
"Micky","Litoria","gracilenta","Hylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","5","Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Litoria_gracilenta","max"
"Micky","Pseudacris","cadaverina","Hylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","3.6","Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudacris_cadaverina","max, min"
"Micky","Pseudacris","regilla","Hylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","3.78","Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudacris_regilla","max, min"
"Micky","Pseudacris","triseriata","Hylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","4","Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,NA,NA,"0-1","Kramer, D. C. 1973. Movements of western chorus frogs (Pseudacris triseriata triseriata ) tagged with Co60  - J. Herpetol. 7: 231  -235.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudacris_triseriata","max"
