"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","cold_acc_temp","cold_acc_temp_dormancy"
-106.5,30.5,3.64648092192199,13.0627254316317,3.64648092192199,12.2918182309673,12.8577802260805
-105.5,30.5,3.60830947543894,13.8165977085741,3.60830947543894,12.485749612858,13.6045323231914
-104.5,30.5,3.16528455841222,13.6354928265725,3.16528455841222,12.0963072995831,13.3771981921521
-103.5,30.5,2.98933959784252,13.3524391536202,2.98933959784252,12.0287338145553,13.0260718088065
-102.5,30.5,3.18413831485169,13.6826402680682,3.18413831485169,12.1911483391629,13.3116040457971
-101.5,30.5,3.20429630428553,13.7567683715905,3.20429630428553,12.0543745262164,13.3697160660289
-100.5,30.5,3.16142877217914,13.224632596943,3.16142877217914,11.6258700064303,13.0130950024684
-99.5,30.5,3.1002577573061,12.7217291668057,3.1002577573061,11.6028584806756,12.5314999968246
-98.5,30.5,2.84903399944305,12.354011125836,2.84903399944305,11.2327740700342,12.147257660775
-97.5,30.5,2.87928291559219,12.3601316367941,2.87928291559219,11.1737312449657,12.4663407652639
-96.5,30.5,3.06752167286468,12.6754132304873,3.06752167286468,10.917552320159,12.8983659080097
-95.5,30.5,2.96126106253692,12.579588498388,2.96126106253692,10.8354504885758,12.8112542771551
-94.5,30.5,2.75092853563172,12.2500310331583,2.75092853563172,10.6948773487001,12.3659747492788
-93.5,30.5,2.90483404227665,12.21313376597,2.90483404227665,10.8535333397121,12.3333936588706
-92.5,30.5,3.29445199527379,12.3460490511996,3.29445199527379,11.0253341937334,12.6469076593407
-91.5,30.5,3.62469231127096,12.3313594971384,3.62469231127096,11.5696691060002,12.6615657139769
-90.5,30.5,3.65188144152718,12.0051310385977,3.65188144152718,11.1761459041104,12.3511001154913
-89.5,30.5,3.37131541536323,11.6180399132626,3.37131541536323,10.7394700837837,11.9330401972202
-88.5,30.5,3.16274520595159,11.3177340944963,3.16274520595159,10.264315309111,11.5910582001321
-87.5,30.5,3.44948118946382,11.5378856622747,3.44948118946382,10.466713088403,11.7704939648501
-86.5,30.5,3.58350358887443,11.6480376694884,3.58350358887443,10.4905210766697,11.7696962096063
-85.5,30.5,3.4430178212268,11.9408162053911,3.4430178212268,11.4069575644044,12.0825055714623
-84.5,30.5,3.67683505320123,12.238994498338,3.67683505320123,11.6873339539137,12.1442833578879
-83.5,30.5,4.55024885412838,12.7609170986606,4.55024885412838,12.0648056384852,12.8184565627681
-82.5,30.5,5.00059761106968,13.1594874709845,5.00059761106968,12.4164617208291,13.2198357299436
-81.5,30.5,4.95604996127742,12.1417846442333,4.95604996127742,11.0329874285564,12.3059661834833
-9.5,30.5,7.1183914648369,11.4833255825298,7.1183914648369,10.3752188772961,11.397625658874
-8.5,30.5,5.05160794013313,11.8694773994652,5.05160794013313,10.5543250414101,12.0244649886586
-7.5,30.5,3.66160617316408,11.4458025236215,3.66160617316408,10.4644479143768,11.6911717445024
-6.5,30.5,4.58126263732889,12.924455857696,4.58126263732889,12.3531122741125,13.2356324070117
-5.5,30.5,5.01371981810246,13.8666591265372,5.01371981810246,13.4548067141325,13.7700253021637
-4.5,30.5,5.1053341985148,14.4068462016327,5.1053341985148,13.9631897920616,14.302793150745
-3.5,30.5,4.7730624633176,14.3700578259836,4.7730624633176,13.9043091454318,14.2561222637671
-2.5,30.5,5.08506249902504,14.8112034923264,5.08506249902504,13.9517929790639,14.6736762393466
-1.5,30.5,4.76639199836978,14.5967793080424,4.76639199836978,13.7534148470088,14.4337456034114
-0.5,30.5,4.39412699714303,14.3717878621604,4.39412699714303,13.5387568272926,14.305703788437
0.5,30.5,4.13041412420571,14.1792070286615,4.13041412420571,13.3708439755017,14.1188376834849
1.5,30.5,3.98122787986483,14.0897805507162,3.98122787986483,13.2687094558628,14.0137917138303
2.5,30.5,4.18335562885872,14.3369470157261,4.18335562885872,13.4899990000563,14.2356723145099
