"longitude","latitude","seasonal_low_temp","cold_dormancy_6mo","hot_dormancy_6mo","cold_acc_temp","cold_acc_temp_dormancy"
-178.5,-81.5,-46.6690294029457,-39.4000605787018,-46.6690294029457,-45.7920838599256,-39.6541438742441
-178.5,-80.5,-47.3578091832144,-39.8650065037555,-47.3578091832144,-46.4698071796999,-40.1605514828315
-178.5,-79.5,-46.3695259768453,-38.9866974679221,-46.3695259768453,-45.7561221766947,-39.3025072731527
-178.5,-78.5,-45.9631126180291,-38.291596002318,-45.9631126180291,-44.6332634073495,-38.6350341139095
-178.5,65.5,-24.5235479346343,-14.8305521016541,-24.5235479346343,-24.11440374895,-15.0668940665699
-178.5,66.5,-29.0862832386579,-17.8949747714613,-29.0862832386579,-28.4223966245588,-17.5304264610035
-178.5,67.5,-31.8055151430624,-19.6383751835142,-31.8055151430624,-20.2738716703369,-19.2523510567179
-178.5,68.5,-31.5393343279371,-18.2105296610722,-31.5393343279371,-30.9817157773602,-18.5970235725599
-178.5,71.5,-32.2159324827471,-19.7870563594225,-32.2159324827471,-31.5199920539432,-20.2258384782788
-177.5,-89.5,-67.4430145900164,-63.1764093104218,-67.4430145900164,-66.9257145420984,-63.2928962343772
-177.5,-88.5,-67.270520020436,-62.8912807835,-67.270520020436,-66.745483475239,-62.9923186301254
-177.5,-87.5,-64.4851892305538,-59.8976027683089,-64.4851892305538,-63.9344192654566,-59.9881256071352
-177.5,-86.5,-60.8642240723329,-55.9471946977079,-60.8642240723329,-60.2746078146479,-56.0303336945628
-177.5,-85.5,-53.09535996874,-47.7502215563187,-53.09535996874,-52.4681900787751,-47.837461285782
-177.5,-84.5,-43.1850510008633,-37.3371012500354,-43.1850510008633,-42.5286392575636,-37.4403779146195
-177.5,-83.5,-41.717121765869,-35.4246143620993,-41.717121765869,-41.0622104821049,-35.5689744710257
-177.5,-82.5,-44.887848859919,-38.0855784400765,-44.887848859919,-44.2427787277073,-38.2829637788336
-177.5,-81.5,-46.8300398920264,-39.5108607269824,-46.8300398920264,-45.9371048262903,-39.767763739781
-177.5,-80.5,-47.5161086527365,-39.9548140485372,-47.5161086527365,-46.5980833875795,-40.2537240582468
-177.5,-79.5,-46.5997861964362,-39.1216290824381,-46.5997861964362,-45.945318024313,-39.4417346040569
-177.5,-78.5,-46.3554544432022,-38.500599877962,-46.3554544432022,-44.9937441749438,-38.8516487551387
-177.5,51.5,-10.3297943566527,-6.30931260809302,-10.3297943566527,-9.95548705866915,-6.28938922584057
-177.5,65.5,-24.7276179068855,-14.6001252334299,-24.7276179068855,-23.6113583460105,-14.8429026746125
-177.5,66.5,-29.7124829384365,-18.3278123672519,-29.7124829384365,-29.1625269809576,-17.9571978623047
-177.5,67.5,-31.629849742965,-19.0987266804491,-31.629849742965,-20.0160607469306,-18.7099235369159
-177.5,68.5,-30.7043610819748,-19.1108863715615,-30.7043610819748,-30.1255980022185,-19.4514590493886
-177.5,71.5,-31.2913353066359,-20.1557865813375,-31.2913353066359,-30.4298356361095,-20.5517387765493
-176.5,-89.5,-67.3970028202449,-63.1390561486994,-67.3970028202449,-66.8782347225908,-63.2549414201872
-176.5,-88.5,-67.211111823363,-62.8485488606351,-67.211111823363,-66.6839809962724,-62.9484333809066
-176.5,-87.5,-64.285673159148,-59.7220680759721,-64.285673159148,-63.7323644724158,-59.8109716665806
-176.5,-86.5,-60.6238601456795,-55.734017633221,-60.6238601456795,-60.0311550967689,-55.8152450115553
-176.5,-85.5,-52.3898694343865,-47.0641532621213,-52.3898694343865,-51.7590443047315,-47.1497813180355
-176.5,-84.5,-40.8219924856509,-34.9675468163831,-40.8219924856509,-40.1620063581963,-35.0700902381247
-176.5,-83.5,-41.7573275489467,-35.4376272048269,-41.7573275489467,-41.1000978695243,-35.5833292187957
-176.5,-82.5,-45.1092356299449,-38.250548226067,-45.1092356299449,-44.4603443046956,-38.4513407780722
-176.5,-81.5,-47.0085357987987,-39.6223295654952,-47.0085357987987,-46.3472200521801,-39.8828961391896
-176.5,-80.5,-47.6762396947348,-40.0371779811169,-47.6762396947348,-47.0501940260451,-40.3396838677781
-176.5,-79.5,-46.8049366782819,-39.2325294050787,-46.8049366782819,-46.1100279443128,-39.5569250242918
-176.5,-78.5,-46.657900940241,-38.6495758676103,-46.657900940241,-45.2622104617483,-39.0068344179873
-176.5,-43.5,-2.06448409940515,2.42834566014686,-2.06448409940515,-1.41082495151985,2.60498370961951
-176.5,51.5,-10.2552555477646,-6.26363346033863,-10.2552555477646,-9.83026351552985,-6.24901568095333
-176.5,65.5,-25.244435131337,-14.2355931298009,-25.244435131337,-24.3884182675104,-13.9326145580571
-176.5,66.5,-29.8772471696138,-18.0335689348834,-29.8772471696138,-19.0885069791489,-17.653213851074
-176.5,67.5,-31.4375838754433,-18.4297426057713,-31.4375838754433,-20.1613806685265,-18.0394603855875
-175.5,-89.5,-67.3590404977756,-63.1065103079591,-67.3590404977756,-66.8394301536903,-63.2219995919083
-175.5,-88.5,-67.1641328886417,-62.8140592392534,-67.1641328886417,-66.6357368605956,-62.9130608524196
-175.5,-87.5,-64.0447227675202,-59.4988339102095,-64.0447227675202,-63.4901548864509,-59.5865330952586
-175.5,-86.5,-60.3903373170112,-55.5164011054805,-60.3903373170112,-59.7968913539757,-55.5964593317659
-175.5,-85.5,-53.2017137529595,-47.880206867201,-53.2017137529595,-52.5702898679627,-47.9652384954338
-175.5,-84.5,-41.6915127799447,-35.8119826725551,-41.6915127799447,-41.0311465934505,-35.9148447828101
-175.5,-83.5,-41.8519098852362,-35.4843452174749,-41.8519098852362,-41.1964605516179,-35.6327759053754
-175.5,-82.5,-45.3461381340665,-38.420659578698,-45.3461381340665,-44.6968286249503,-38.6256349099991
-175.5,-81.5,-47.2156629381701,-39.7442479420985,-47.2156629381701,-46.5421144303857,-40.0091527050128
-175.5,-80.5,-47.8230757855611,-40.098901393371,-47.8230757855611,-47.1206530870702,-40.4048123726222
-175.5,-79.5,-46.883820134561,-39.2514905055719,-46.883820134561,-46.1521875394361,-39.5775148923642
-175.5,-78.5,-46.6565957902265,-38.603846187996,-46.6565957902265,-45.2172608794686,-38.9614179621002
-175.5,64.5,-22.3631582246295,-13.8482025275805,-22.3631582246295,-21.8151754659107,-14.0624468506148
-175.5,65.5,-26.4442478839042,-15.4932351971311,-26.4442478839042,-24.3351283286842,-15.1480082157201
-175.5,66.5,-29.8323831600802,-17.3292268293245,-29.8323831600802,-29.3400847628743,-16.9540273609837
-175.5,67.5,-31.1530042627926,-17.5938661861633,-31.1530042627926,-30.7449911142052,-17.9851714642851
-174.5,-89.5,-67.332477117862,-63.0810571167086,-67.332477117862,-66.8128411741724,-63.196419975564
-174.5,-88.5,-67.1305477152445,-62.7875590140798,-67.1305477152445,-66.6019470354506,-62.8860190865318
-174.5,-87.5,-63.8106075560408,-59.2772046806025,-63.8106075560408,-63.2558714310925,-59.3640463356332
-174.5,-86.5,-60.0954557210207,-55.2275547238333,-60.0954557210207,-59.5032894680064,-55.3070944840928
-174.5,-85.5,-56.0547123126686,-50.7222614809871,-56.0547123126686,-55.4257977273773,-50.8077316321832
-174.5,-84.5,-42.6582078478166,-36.7330531100609,-42.6582078478166,-42.0014487691742,-36.8374773206855
-174.5,-83.5,-41.9908529383796,-35.5584794142417,-41.9908529383796,-41.3410441584632,-35.7109497436489
-174.5,-82.5,-45.5918840786176,-38.5873605395002,-45.5918840786176,-44.9445225145053,-38.7970113529691
-174.5,-81.5,-47.1942541516253,-39.7086940245969,-47.1942541516253,-46.5028122956118,-39.9733636968703
-174.5,-80.5,-47.6240443553776,-39.9267946864877,-47.6240443553776,-46.8879043752072,-40.2286418198874
-174.5,-79.5,-46.5509378664063,-38.9590965842562,-46.5509378664063,-45.7982932021575,-39.2794139141217
-174.5,-78.5,-46.4625485555402,-38.4341744614499,-46.4625485555402,-44.9749791991197,-38.7884986202881
-174.5,52.5,-9.97367948777308,-6.21517247908882,-9.97367948777308,-9.3843607310784,-6.22185347335347
-174.5,64.5,-22.9333898197327,-12.3309596442684,-22.9333898197327,-21.8975203548889,-12.5882795839271
-174.5,65.5,-27.6925975863423,-16.2102630766109,-27.6925975863423,-25.6189016429692,-15.8336558829261
-174.5,66.5,-29.7720699188965,-16.5173764052136,-29.7720699188965,-29.5220083923937,-16.1461399783347
-174.5,67.5,-30.9122484325298,-18.8543880376433,-30.9122484325298,-30.1362632817995,-19.2264897324486
-173.5,-89.5,-67.3162372310247,-63.0625634238656,-67.3162372310247,-66.7972287174394,-63.1780140964414
