"genus_species","Realm","data_gatherer","Genus","Species","Family","Kingdom","Phylum","Class","Order","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","limit_type","habitat_data_gatherer","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","upper_elevation_limit_meters","lower_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes"
"Barbatia_pistachia","Intertidal","Jenn","Barbatia","pistachia","Arcidae","Animalia","Mollusca","Bivalvia","Pteriomorpha",4.482,"Compton et al. (2008) Journal of Experimental Marine Biology and Ecology 361(2): 104-110","mean shell length","omnivore","filter feeding bivalve","Non-migratory","sessile","10-100","planktonic larval stage in genus thought to be ~1 month, benthic species with planktonic larvae (Zeinalinpour et al. (2014) Tropical Zoology 37(3): 73-87)","pelagic development and sessile adults","planktonic larval stage in genus - Zeinalinpour et al. (2014) Tropical Zoology 37(3): 73-87","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Anodontia_bullula","Intertidal","Jenn","Anodontia","bullula","Lucinidae","Animalia","Mollusca","Bivalvia","Veneroida",2.5,"Meyer (2008) The Raffles Bulletin of Zoology 18: 41-45",NA,"omnivore","filter feeding bivalve","Non-migratory","sessile","1-10","PLD unknown, benthic species with planktonic larvae","pelagic development","Labarbera (1974) Journal of Paleontology 48(2): 256-277; planktonic larvae based on species in the same genus","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Cerastoderma_edule","Intertidal","Jenn","Cerastoderma","edule","Cardiidae","Animalia","Mollusca","Bivalvia","Veneroida",1.82,"Lehane and Davenport (2002) Journal of the Marine Biological Association of the United Kingdom 82(4): 615-619","mean shell length","omnivore","filter feeding bivalve","Non-migratory","sessile","10-100","PLD 3-5 weeks - Malham et al. (2012)  Journal of the Marine Biological Association of the United Kingdom 92: 1563–1584; planktonic duration 3-5 weeks, benthic species, settle after 3 months https://hal.archives-ouvertes.fr/file/index/docid/581394/filename/Synthesis_on_biology_of_Europeen_cockle.pdf","pelagic development and sessile adults","Shelagh et al. (2012) Journal of the Marine Biological Association of the United Kingdom 92(7):1563-1577","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Divaricella_irpex","Intertidal","Jenn","Divaricella","irpex","Lucinidae","Animalia","Mollusca","Bivalvia","Veneroida",1.388,"Compton et al. (2008) Journal of Experimental Marine Biology and Ecology 361(2): 104-110","mean shell length","omnivore","filter feeding bivalve","Non-migratory","sessile",NA,"no info",NA,"no info","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Macoma_balthica","Intertidal","Jenn","Macoma","balthica","Tellinidae","Animalia","Mollusca","Bivalvia","Veneroida",3.8,"sealifebase","maximum SHL","omnivore","sealifebase","Non-migratory","sessile","10-100","PLD 2-5 weeks - Drent, J. (2002). Temperature responses in larvae of Macoma balthica from a northerly and southerly population of the European distribution range. Journal of Experimental Marine Biology and Ecology, 275(2), 117-129.","pelagic development","Drent, J. (2002). Temperature responses in larvae of Macoma balthica from a northerly and southerly population of the European distribution range. Journal of Experimental Marine Biology and Ecology, 275(2), 117-129.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","marine","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Spisula_subtruncata","Intertidal","Jenn","Spisula","subtruncata","Mactridae","Animalia","Mollusca","Bivalvia","Veneroida",NA,NA,NA,"omnivore","filter feeding bivalve","Non-migratory","sessile","10-100","PLD seems to be one month, benthic species with pelagic larvae - Cardoso et al. (2007)","pelagic development and sessile adults","Cardoso et al. (2007) Journal of Sea Research 57(4): 316-324; data suggest a larval settlement time of 1 month","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","max",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Tellina_tenuis","Intertidal","Jenn","Tellina","tenuis","Tellinidae","Animalia","Mollusca","Bivalvia","Veneroida",2.6,"Dekker & Beukema (1999) Journal of Sea Research, 42(3): 207-220",NA,"omnivore","filter feeding bivalve","Non-migratory","sessile","10-100","PLD seems less than a month, benthic species with pelagic larvae- Barnett, P. R. (1985). The effect of temperature on the growth of planktonic larvae of Tellina tenuis da Costa. Journal of experimental marine biology and ecology, 89(1), 1-10.","pelagic development and sessile adults","pelagic planktotrophic larval stage - Barnett, P. R. (1985). The effect of temperature on the growth of planktonic larvae of Tellina tenuis da Costa. Journal of experimental marine biology and ecology, 89(1), 1-10.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","max",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Nacella_concinna","Intertidal","Jenn","Nacella","concinna","Patellidae","Animalia","Mollusca","Gastropoda","Archaeogastropoda",6,"sealifebase",NA,"omnivore","Kim (2001) ""Seasonality of marine algae and grazers of an Antarctic rocky intertidal, with emphasis On the role of the limpet Nacella concinna Strebel (Gastropoda: Patellidae)""","Non-migratory","taxa","10-100","PLD 1 month, benthic species with planktonic larvae - Picken, G. B. (1980). The distribution, growth, and reproduction of the Antarctic limpet Nacella (Patinigera) concinna (Strebel, 1908). Journal of experimental marine biology and ecology, 42(1), 71-85.","pelagic development and crawling adults","pelagic larval stage - Picken, G. B. (1980). The distribution, growth, and reproduction of the Antarctic limpet Nacella (Patinigera) concinna (Strebel, 1908). Journal of experimental marine biology and ecology, 42(1), 71-85.","No","unheard of for marine gastropods",NA,"No","unheard of for marine gastropods",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Nucella_lapillus","Intertidal","Jenn","Nucella","lapillus","Muricidae","Animalia","Mollusca","Gastropoda","Archaeogastropoda",4.2,"sealifebase",NA,"carnivore","Vasileios and Andrews (2000) Malacologia 42(1-2): 103-112","Non-migratory","taxa","10-100","Colson and Hughes (2004) Molecular Ecology 13(8): 2223-2233","pelagic development","Colson and Hughes (2004) Molecular Ecology 13(8): 2223-2233","No","unheard of for marine gastropods",NA,"No","unheard of for marine gastropods",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Littorina_littorea","Intertidal","Jenn","Littorina","littorea","Littorinidae","Animalia","Mollusca","Gastropoda","Neotaenioglossa",4.2,"sealifebase",NA,"herbivore","Imrie et al. (1989) Journal of Molluscan Studies 55(2): 217–225","Non-migratory","taxa","10-100","Shanks et al. (2003) Ecological Applications 13(1): 159–169","pelagic development and crawling adults","Johannesson (1988) Marine Biology 99: 507-513","No","unheard of for marine gastropods",NA,"No","unheard of for marine gastropods",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
