"longitude","latitude","mean_temp"
-178.5,52.5,NA
-178.5,53.5,NA
-178.5,54.5,NA
-178.5,55.5,NA
-178.5,56.5,NA
-178.5,57.5,NA
-178.5,58.5,NA
-178.5,59.5,NA
-178.5,60.5,NA
-178.5,61.5,NA
-178.5,62.5,NA
-178.5,63.5,NA
-178.5,64.5,NA
-178.5,65.5,-4.52237275214947
-178.5,66.5,-7.89122743024279
-178.5,67.5,-9.124758115437
-178.5,68.5,-8.8829425187619
-178.5,69.5,NA
-178.5,70.5,NA
-178.5,71.5,-10.4233922733
-178.5,72.5,NA
-178.5,73.5,NA
-178.5,74.5,NA
-178.5,75.5,NA
-178.5,76.5,NA
-178.5,77.5,NA
-178.5,78.5,NA
-178.5,79.5,NA
-178.5,80.5,NA
-178.5,81.5,NA
-178.5,82.5,NA
-178.5,83.5,NA
-178.5,84.5,NA
-178.5,85.5,NA
-178.5,86.5,NA
-178.5,87.5,NA
-178.5,88.5,NA
-178.5,89.5,NA
-177.5,-89.5,-48.9524748328411
-177.5,-88.5,-49.676648995059
-177.5,-87.5,-47.3593545710502
-177.5,-86.5,-43.877459319098
-177.5,-85.5,-35.7927757294141
-177.5,-84.5,-26.0677405665673
-177.5,-83.5,-24.5408603171086
-177.5,-82.5,-26.4907644908731
-177.5,-81.5,-27.6989226106846
-177.5,-80.5,-28.2834679122011
-177.5,-79.5,-27.9276481134661
-177.5,-78.5,-26.2599177756407
-177.5,-77.5,NA
-177.5,-76.5,NA
-177.5,-75.5,NA
-177.5,-74.5,NA
-177.5,-73.5,NA
-177.5,-72.5,NA
-177.5,-71.5,NA
-177.5,-70.5,NA
-177.5,-69.5,NA
-177.5,-68.5,NA
-177.5,-67.5,NA
-177.5,-66.5,NA
-177.5,-65.5,NA
-177.5,-64.5,NA
-177.5,-63.5,NA
-177.5,-62.5,NA
-177.5,-61.5,NA
-177.5,-60.5,NA
-177.5,-59.5,NA
-177.5,-58.5,NA
-177.5,-57.5,NA
-177.5,-56.5,NA
-177.5,-55.5,NA
-177.5,-54.5,NA
-177.5,-53.5,NA
-177.5,-52.5,NA
-177.5,-51.5,NA
-177.5,-50.5,NA
-177.5,-49.5,NA
-177.5,-48.5,NA
-177.5,-47.5,NA
-177.5,-46.5,NA
-177.5,-45.5,NA
-177.5,-44.5,NA
-177.5,-43.5,NA
-177.5,-42.5,NA
-177.5,-41.5,NA
-177.5,-40.5,NA
-177.5,-39.5,NA
-177.5,-38.5,NA
-177.5,-37.5,NA
-177.5,-36.5,NA
-177.5,-35.5,NA
-177.5,-34.5,NA
-177.5,-33.5,NA
-177.5,-32.5,NA
-177.5,-31.5,NA
-177.5,-30.5,NA
-177.5,-29.5,NA
-177.5,-28.5,NA
-177.5,-27.5,NA
-177.5,-26.5,NA
-177.5,-25.5,NA
-177.5,-24.5,NA
-177.5,-23.5,NA
-177.5,-22.5,NA
-177.5,-21.5,NA
-177.5,-20.5,NA
-177.5,-19.5,NA
-177.5,-18.5,NA
-177.5,-17.5,NA
-177.5,-16.5,NA
-177.5,-15.5,NA
-177.5,-14.5,NA
-177.5,-13.5,NA
-177.5,-12.5,NA
-177.5,-11.5,NA
-177.5,-10.5,NA
-177.5,-9.5,NA
-177.5,-8.5,NA
-177.5,-7.5,NA
-177.5,-6.5,NA
-177.5,-5.5,NA
-177.5,-4.5,NA
-177.5,-3.5,NA
-177.5,-2.5,NA
-177.5,-1.5,NA
-177.5,-0.5,NA
-177.5,0.5,NA
-177.5,1.5,NA
-177.5,2.5,NA
-177.5,3.5,NA
-177.5,4.5,NA
-177.5,5.5,NA
-177.5,6.5,NA
-177.5,7.5,NA
-177.5,8.5,NA
-177.5,9.5,NA
-177.5,10.5,NA
-177.5,11.5,NA
-177.5,12.5,NA
-177.5,13.5,NA
-177.5,14.5,NA
-177.5,15.5,NA
-177.5,16.5,NA
-177.5,17.5,NA
-177.5,18.5,NA
-177.5,19.5,NA
-177.5,20.5,NA
-177.5,21.5,NA
-177.5,22.5,NA
-177.5,23.5,NA
-177.5,24.5,NA
-177.5,25.5,NA
-177.5,26.5,NA
-177.5,27.5,NA
-177.5,28.5,NA
-177.5,29.5,NA
-177.5,30.5,NA
-177.5,31.5,NA
-177.5,32.5,NA
-177.5,33.5,NA
-177.5,34.5,NA
-177.5,35.5,NA
-177.5,36.5,NA
-177.5,37.5,NA
-177.5,38.5,NA
-177.5,39.5,NA
-177.5,40.5,NA
-177.5,41.5,NA
-177.5,42.5,NA
-177.5,43.5,NA
-177.5,44.5,NA
-177.5,45.5,NA
-177.5,46.5,NA
-177.5,47.5,NA
-177.5,48.5,NA
-177.5,49.5,NA
-177.5,50.5,NA
-177.5,51.5,5.16754161508406
-177.5,52.5,NA
-177.5,53.5,NA
-177.5,54.5,NA
-177.5,55.5,NA
-177.5,56.5,NA
-177.5,57.5,NA
-177.5,58.5,NA
-177.5,59.5,NA
-177.5,60.5,NA
-177.5,61.5,NA
-177.5,62.5,NA
-177.5,63.5,NA
-177.5,64.5,NA
-177.5,65.5,-4.93803823432899
-177.5,66.5,-8.31256335065835
-177.5,67.5,-8.37221519986528
-177.5,68.5,-8.38129434361972
-177.5,69.5,NA
-177.5,70.5,NA
-177.5,71.5,-10.0041499188592
-177.5,72.5,NA
-177.5,73.5,NA
-177.5,74.5,NA
-177.5,75.5,NA
-177.5,76.5,NA
-177.5,77.5,NA
-177.5,78.5,NA
-177.5,79.5,NA
-177.5,80.5,NA
-177.5,81.5,NA
-177.5,82.5,NA
-177.5,83.5,NA
-177.5,84.5,NA
-177.5,85.5,NA
-177.5,86.5,NA
-177.5,87.5,NA
-177.5,88.5,NA
-177.5,89.5,NA
-176.5,-89.5,-48.9265363143913
-176.5,-88.5,-49.6538496202134
-176.5,-87.5,-47.1998354612016
-176.5,-86.5,-43.6879281443114
-176.5,-85.5,-35.1333036413311
-176.5,-84.5,-24.2162557608738
-176.5,-83.5,-24.5585952482133
-176.5,-82.5,-26.5957504132087
-176.5,-81.5,-27.7489885925344
-176.5,-80.5,-28.3223904036154
-176.5,-79.5,-27.9718945092698
-176.5,-78.5,-26.2289826025428
-176.5,-77.5,NA
-176.5,-76.5,NA
-176.5,-75.5,NA
-176.5,-74.5,NA
-176.5,-73.5,NA
-176.5,-72.5,NA
