"longitude","latitude","seasonal_high_temp","hot_dormancy_6mo","cold_dormancy_6mo","hot_acc_temp","hot_acc_temp_dormancy"
-177.5,-86.5,-21.9599417528581,-43.8060576558113,-21.9599417528581,-37.705163177257,-43.5932009810316
-177.5,-85.5,-15.3039980865305,-35.6270978268768,-15.3039980865305,-29.9156782598375,-35.4290587737491
-177.5,-84.5,-5.6983553820079,-25.2824144625238,-5.6983553820079,-19.7145960588961,-25.0812215662229
-177.5,-83.5,-2.48832701373668,-23.3558151422867,-2.48832701373668,-17.3179671071326,-23.1070181930288
-177.5,-82.5,-3.52625460459718,-25.977974598429,-3.52625460459718,-19.4069557031237,-25.6545894982376
-177.5,-81.5,-4.23798900633784,-27.2839045328487,-4.23798900633784,-20.5069704540418,-26.857391259939
-177.5,-80.5,-4.50317770456452,-27.3768913432424,-4.50317770456452,-20.6803767241388,-27.3306104588721
-177.5,-79.5,-4.13467910891133,-26.1274178758796,-4.13467910891133,-19.6896877276906,-26.110022614394
-177.5,-78.5,-2.93100972537483,-25.3520452045969,-2.93100972537483,-4.82339169419765,-25.3161872518249
-177.5,51.5,13.4640596175832,6.77939502682005,13.4640596175832,13.0540187886711,6.80757053370055
-177.5,65.5,13.3716948073091,-2.82848756632635,13.3716948073091,12.7953604622952,-2.83966961083934
-177.5,66.5,15.785648698679,-4.63867824141468,15.785648698679,14.8671252078754,-5.26480379788471
-177.5,67.5,16.0072940379514,-5.02043140392218,16.0072940379514,14.6139024369355,-5.67272079992773
-177.5,68.5,10.2383121109967,-5.79542477913201,10.2383121109967,9.74315564054309,-5.48827892231223
-177.5,71.5,5.7442453221551,-7.1652640794803,5.7442453221551,5.38174442856783,-7.09133351755861
-176.5,-89.5,-22.9104350175176,-51.170081404703,-22.9104350175176,-25.2799733576927,-50.853028803964
-176.5,-88.5,-24.9960958020318,-50.8149220700775,-24.9960958020318,-43.5798965700399,-50.5375564981318
-176.5,-87.5,-24.0138626534314,-47.6173082768917,-24.0138626534314,-41.0177739940668,-47.3767785359573
-176.5,-86.5,-21.8963449326299,-43.5666108252747,-21.8963449326299,-37.5167999499318,-43.3567174836461
-176.5,-85.5,-14.7987329042738,-34.9197914347053,-14.7987329042738,-29.2675039969832,-34.7254055394126
-176.5,-84.5,-3.5729664786231,-22.9189546308347,-3.5729664786231,-17.4191698973347,-22.7222067180023
-176.5,-83.5,-2.59615157175632,-23.3921493996999,-2.59615157175632,-17.373194585134,-23.1462444055992
-176.5,-82.5,-3.63422287399215,-26.1886893501239,-3.63422287399215,-19.582988961672,-25.8669405155549
-176.5,-81.5,-4.31654518953125,-27.4140745883009,-4.31654518953125,-20.6143342515554,-26.9897628160426
-176.5,-80.5,-4.585125063342,-27.4592973223887,-4.585125063342,-20.7354782493165,-27.4061106901516
-176.5,-79.5,-4.27642094336472,-26.2383428808834,-4.27642094336472,-19.7757225578719,-26.2165289652002
-176.5,-78.5,-3.01317845513778,-25.4929575542786,-3.01317845513778,-4.87530459837767,-25.4537738058949
-176.5,-43.5,20.1921061890466,15.4856188599552,20.1921061890466,16.4735263304282,15.3024621571747
-176.5,51.5,13.5556903533638,6.93450041397342,13.5556903533638,13.064383442962,6.95065568633644
-176.5,65.5,14.0097271225881,-3.23454689809254,14.0097271225881,12.8923160990747,-3.72596378288997
-176.5,66.5,15.6045378488622,-4.34234405910995,15.6045378488622,14.7556614330171,-4.96895345711049
-176.5,67.5,15.3106543876098,-5.15007229170629,15.3106543876098,13.9399086943231,-5.79383539019951
-175.5,-89.5,-22.9057090775243,-51.1300414801708,-22.9057090775243,-43.206142043802,-50.8133011478532
-175.5,-88.5,-25.0203972752605,-50.7682724360909,-25.0203972752605,-43.5532785575124,-50.4918784700467
-175.5,-87.5,-23.8743793747964,-47.3812921906156,-23.8743793747964,-40.8100555362872,-47.142466477797
-175.5,-86.5,-21.7742208319406,-43.3412042481559,-21.7742208319406,-37.3235060620325,-43.1335659655825
-175.5,-85.5,-15.7190762024018,-35.7388028354517,-15.7190762024018,-30.1194454192757,-35.5470854540755
-175.5,-84.5,-4.5918630665523,-23.7965280884079,-4.5918630665523,-18.3399418233986,-23.6033665716814
-175.5,-83.5,-2.63738299970116,-23.4929250273321,-2.63738299970116,-17.4599223740504,-23.2489613899595
-175.5,-82.5,-3.66936995795085,-26.4365618338692,-3.66936995795085,-19.7674468173348,-26.1158112263211
-175.5,-81.5,-4.35074720534363,-27.5698656010575,-4.35074720534363,-20.7308925272828,-27.1481237162171
-175.5,-80.5,-4.61953422200112,-27.5236584243764,-4.61953422200112,-20.7669164638189,-27.4631090719985
-175.5,-79.5,-4.44408137509156,-26.201077279994,-4.44408137509156,-19.7652815193176,-26.1765823577564
-175.5,-78.5,-3.19852247482964,-25.3467297405005,-3.19852247482964,-5.02850358566497,-25.3090162471086
-175.5,64.5,11.8103508511824,-0.0599805989435741,11.8103508511824,10.9290940077961,-0.0982812936293027
-175.5,65.5,15.2909847406471,-2.24384812940178,15.2909847406471,14.3562915213347,-2.77041881522496
-175.5,66.5,14.576877112068,-4.63962060443259,14.576877112068,13.7416167316629,-5.25442276287358
-175.5,67.5,12.7675910027698,-6.2091512883082,12.7675910027698,11.8820556217416,-5.90784942696669
-174.5,-89.5,-22.8885150492546,-51.1037396263863,-22.8885150492546,-43.1825811523814,-50.7870667957767
-174.5,-88.5,-25.028476102863,-50.738089816698,-25.028476102863,-43.5345850717682,-50.4623480171244
-174.5,-87.5,-23.7114988988354,-47.1554136484329,-23.7114988988354,-40.603705364858,-46.9179615920942
-174.5,-86.5,-21.5334345652944,-43.0604087991374,-21.5334345652944,-37.0582869488588,-42.8543939393413
-174.5,-85.5,-18.5877230707024,-38.6079806028732,-18.5877230707024,-32.9950683815027,-38.4179675580069
-174.5,-84.5,-5.59629218124208,-24.7842267865581,-5.59629218124208,-19.3385259615558,-24.5935262823153
-174.5,-83.5,-2.61563270127489,-23.6452430660171,-2.61563270127489,-17.5708839414276,-23.4030293389989
-174.5,-82.5,-3.6748900358166,-26.6783832289278,-3.6748900358166,-19.9441852551645,-26.3595715256009
-174.5,-81.5,-4.50843209361746,-27.4649658298918,-4.50843209361746,-20.6943022451718,-27.0530516224514
-174.5,-80.5,-4.882334618093,-27.1876090933062,-4.882334618093,-20.5750030825064,-27.1255491773338
-174.5,-79.5,-4.60644099343391,-25.7053360455802,-4.60644099343391,-19.4302407000006,-25.6812512848925
-174.5,-78.5,-3.40277917193515,-25.0296731530023,-3.40277917193515,-18.8418245765083,-24.9954377867681
-174.5,52.5,13.4984762642133,7.03419480034749,13.4984762642133,12.9137570763257,7.02642378593446
-174.5,64.5,13.3909178594393,-1.01382107000266,13.3909178594393,12.7493890419882,-0.989291607432201
-174.5,65.5,16.3305056476966,-1.34210846317666,16.3305056476966,15.5300518295453,-1.89400841458035
-174.5,66.5,13.6906112645354,-4.88237889510513,13.6906112645354,12.8582116914976,-5.48784081639273
-174.5,67.5,10.2840548248695,-4.60856294121061,10.2840548248695,9.28069210704429,-4.36686151788038
-173.5,-89.5,-22.8635849346717,-51.0896080128849,-22.8635849346717,-43.1659985791359,-50.7728141261098
-173.5,-88.5,-25.0235212355143,-50.721702775572,-25.0235212355143,-43.5226767291879,-50.4463651008788
-173.5,-87.5,-23.566131787144,-46.9833268406668,-23.566131787144,-40.4416634521892,-46.7468919708793
-173.5,-86.5,-21.2252003345106,-42.7334696931498,-21.2252003345106,-36.7413327642399,-42.5288579591151
