"range","high_or_low","temps","type","dormancy","realm"
"Gobius_cobitis_GBIF","high",2.67999982833862,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.05999994277954,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.989999949932098,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",0.889999985694885,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.13999998569489,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.16999995708466,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.32999992370605,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.79999995231628,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.82999992370605,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.51999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.51999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.86999988555908,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.87999987602234,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.99000000953674,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.53999996185303,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.5699999332428,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.1399998664856,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.8199999332428,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.16999983787537,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.75,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.62000000476837,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.76999998092651,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.8199999332428,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",1.92999994754791,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.44000005722046,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.75,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.08999991416931,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",3.04999995231628,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.27999997138977,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.5699999332428,"potential_reg","none","Intertidal"
"Gobius_cobitis_GBIF","high",2.76999998092651,"potential_reg","none","Intertidal"
