"Realm","Class","Order","Family","Genus","Species","Tmin","Tmax","Metric_Tmin","Metric_Tmax","RealizedRangeSource","AbsLatitude","RangeSize","LogBodySize","DispersalDistance","HotSeasonDormancy","ColdSeasonDormancy","NicheFilling_Warm","NicheFilling_Cool","LogRangeFilling","EquatorwardBiasInUnderfilling","NicheFilling_Warm_Behaviour","NicheFilling_Warm_Acclimation","NicheFilling_Cool_Acclimation","LogRangeFilling_Acclimation","EquatorwardBiasInUnderfilling_Acclimation"
"Marine","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus","parvipinnis",2.2,36.1,"lt","lt","GBIF",31.2639506656813,10,2.37954613413017,10,"No","No",-3.5900001525878,-7.43999934196472,-6.15591910207351,0.00629931328083277,NA,-4.43,-11.439999,-6.89517649677528,0.000349745855450001
"Marine","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus","parvipinnis",2.2,36.1,"lt","lt","GBIF",31.2639506656813,10,2.37954613413017,10,"No","No",-3.5900001525878,-7.43999934196472,-6.15591910207351,0.00629931328083277,NA,-4.43,-11.439999,-6.89517649677528,0.000349745855450001
"Marine","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida",-2,NA,"lt",NA,"GBIF",64.7132453188279,867,3.68887945411394,1000,NA,"No",NA,0,NA,NA,NA,NA,0,NA,NA
"Marine","Actinopterygii","Perciformes","Blenniidae","Lipophrys","trigloides",NA,33.8,NA,"ct","IUCN",39.0660092055,78,2.56494935746154,1000,"No",NA,-2.6100006103516,NA,NA,NA,NA,-5.73,NA,NA,NA
"Marine","Actinopterygii","Perciformes","Blenniidae","Parablennius","marmoreus",NA,36.6,NA,"ct","IUCN",6.30658753750006,100,2.14006616349627,100,"No",NA,-3.7700004577637,NA,NA,NA,NA,NA,NA,NA,NA
"Marine","Actinopterygii","Perciformes","Blenniidae","Plagiotremus","azaleus",13.4,35.3,"ct","ct","IUCN",10.6707428415001,46,2.30258509299405,10,"No","No",-0.6700019836426,2.710000038147,-4.38807970638696,0.00752203088366077,NA,-2.31,-1.9,-4.28658057607323,0.00904805352798044
"Marine","Actinopterygii","Perciformes","Blenniidae","Plagiotremus","azaleus",13.4,35.3,"ct","ct","IUCN",10.6707428415001,46,2.30258509299405,10,"No","No",-0.6700019836426,2.710000038147,-4.38807970638696,0.00752203088366077,NA,-2.31,-1.9,-4.28658057607323,0.00904805352798044
"Marine","Actinopterygii","Perciformes","Gobiidae","Gobius","niger",NA,34.1,NA,"ct","GBIF",40.9916471005686,171,2.89037175789616,100,"No",NA,-2.9300003051758,NA,NA,NA,NA,-5.73,NA,NA,NA
"Marine","Actinopterygii","Perciformes","Gobiidae","Periophthalmus","kalolo",12.8,40.7,"ct","ct","GBIF",1.7039031600172,322,2.64617479738412,1000,"No","No",-2.9399986267089,9.67999958992006,-2.19097110836438,-0.0554274455237315,NA,-2.94,4.45,-2.3165447105462,-0.0475175110432794
"Marine","Actinopterygii","Perciformes","Gobiidae","Periophthalmus","kalolo",12.8,40.7,"ct","ct","GBIF",1.7039031600172,322,2.64617479738412,1000,"No","No",-2.9399986267089,9.67999958992006,-2.19097110836438,-0.0554274455237315,NA,-2.94,4.45,-2.3165447105462,-0.0475175110432794
"Marine","Actinopterygii","Perciformes","Labridae","Halichoeres","dispilus",15.6,35.8,"ct","ct","IUCN",6.60263096650004,50,3.2188758248682,1000,"No","No",-1.2200012207031,4.0299997329712,-4.69240589678737,0.00925180626492683,NA,-2.31,0.130000000000001,-4.25531715787282,0.0114735061203001
"Marine","Actinopterygii","Perciformes","Labridae","Halichoeres","dispilus",15.6,35.8,"ct","ct","IUCN",6.60263096650004,50,3.2188758248682,1000,"No","No",-1.2200012207031,4.0299997329712,-4.69240589678737,0.00925180626492683,NA,-2.31,0.130000000000001,-4.25531715787282,0.0114735061203001
"Marine","Actinopterygii","Perciformes","Labridae","Tautogolabrus","adspersus",0.6,30,"lt","lt","IUCN",48.2400285635001,48,3.63758615972639,100,"No","No",0.629999160766602,2.4099999666214,NA,NA,NA,-3.12,1.92,NA,NA
