"log_prop_occupied","log_pol_equ_diff","abs_lat_mp","realm","dispersal_distance_continuous","log_maximum_body_size","rr_cells","metric","Class","Order","Family","Genus","Species","range","bias_in_uf"
-2.27504893518544,-1.15279751100053,0.318863822955635,"Terrestrial",-0.251287888771884,-0.130147483602667,104,"ct","Reptilia","Squamata","Lacertidae","Eremias","brenchleyi","Eremias_brenchleyi_IUCN",-0.138076907813802
-2.73274281369258,2.29421684332353,-0.601735743592661,"Terrestrial",-0.251287888771884,0.160699217061975,50,"ct","Reptilia","Squamata","Scincidae","Eremiascincus","fasciolatus","Eremiascincus_fasciolatus_IUCN",0.449579831932773
-0.158689952260678,0.18109531507071,-0.442023483210497,"Terrestrial",-0.251287888771884,0.375579677540241,595,"ct","Reptilia","Squamata","Scincidae","Eremiascincus","richardsoni","Eremiascincus_richardsoni_GBIF",0.165644171779141
-3.32276156937492,3.85085657019066,0.220621549195063,"Terrestrial",-0.251287888771884,0.177446279864594,33,"ct","Reptilia","Squamata","Scincidae","Eulamprus","heatwolei","Eulamprus_heatwolei_IUCN",0.369745649263722
-2.14006616349627,0.503103577672081,0.117979896570531,"Terrestrial",-0.251287888771884,0.0427259834143507,14,"ct","Reptilia","Squamata","Scincidae","Eulamprus","kosciuskoi","Eulamprus_kosciuskoi_IUCN",0.0608228980322004
-1.89174844108397,1.39199238223453,-0.319361177970282,"Terrestrial",-0.251287888771884,0.375579677540241,120,"ct","Reptilia","Squamata","Scincidae","Eulamprus","quoyii","Eulamprus_quoyii_IUCN",0.208185753640299
-2.78911802419099,3.65048956456229,0.345050432589452,"Terrestrial",-0.251287888771884,0.152197076743085,34,"ct","Reptilia","Squamata","Scincidae","Eulamprus","tympanum","Eulamprus_tympanum_IUCN",0.575558213716109
-2.13952635241704,0.888947884023485,0.972592029861071,"Terrestrial",-0.251287888771884,0.349050968346359,166,"ct","Amphibia","Caudata","Plethodontidae","Eurycea","bislineata","Eurycea_bislineata_IUCN",0.115786080743506
-6.15591910207351,1.96508668901752,-0.0027600891743919,"Marine",-0.207876027588701,0.241243243756847,10,"lt","Actinopterygii","Cyprinodontiformes","Fundulidae","Fundulus","parvipinnis","Fundulus_parvipinnis_GBIF",0.00629931328083277
-1.62470538456489,0.74984252423649,-0.322715439113452,"Terrestrial",-0.251287888771884,-0.106461546105155,176,"ct","Reptilia","Squamata","Gekkonidae","Gehyra","variegata","Gehyra_variegata_IUCN",0.211023622047244
-4.69240589678737,0.888085306029432,-1.83520412083085,"Marine",4.56742870256138,0.937006777919574,50,"ct","Actinopterygii","Perciformes","Labridae","Halichoeres","dispilus","Halichoeres_dispilus_IUCN",0.00925180626492683
-3.65242763131597,4.378448813326,-0.117415426896395,"Terrestrial",-0.251287888771884,2.23731316149572,63,"ct","Reptilia","Squamata","Elapidae","Hemachatus","haemachatus","Hemachatus_haemachatus_IUCN",0.987455197132617
-0.0932419267402658,-0.152421895138797,-2.22046203442803,"Terrestrial",-0.251287888771884,-0.154530165343128,695,"ct","Reptilia","Squamata","Gekkonidae","Hemidactylus","frenatus","Hemidactylus_frenatus_IUCN",-0.139513860988349
-3.33639738843524,2.65903257159274,-0.150489459127924,"Terrestrial",-0.251287888771884,-0.232301355164356,213,"ct","Reptilia","Squamata","Gekkonidae","Hemidactylus","turcicus","Hemidactylus_turcicus_IUCN",0.336718372205483
-3.14579296812972,2.49642649362086,0.219218733540157,"Terrestrial",-0.251287888771884,-0.017956081878968,22,"ct","Reptilia","Squamata","Scincidae","Hemiergis","decresiensis","Hemiergis_decresiensis_IUCN",0.269888572168956
-0.464033462259232,0.881311012978129,-0.6415445545286,"Terrestrial",-0.251287888771884,-0.318131547405193,637,"ct","Reptilia","Squamata","Gekkonidae","Heteronotia","binoei","Heteronotia_binoei_IUCN",0.576608009708738
-2.02133391087255,0.82057479024645,1.43320062588436,"Terrestrial",-0.251287888771884,0.286062343293634,1482,"ct","Reptilia","Squamata","Lacertidae","Lacerta","agilis","Lacerta_agilis_IUCN",0.164653361344538
-2.14085016980848,1.15689861854663,-0.12764232685236,"Terrestrial",-0.251287888771884,-0.380723639843688,110,"ct","Reptilia","Squamata","Scincidae","Lampropholis","delicata","Lampropholis_delicata_IUCN",0.16436925647452
-2.21405741548645,2.64427019980379,0.0635016399089036,"Terrestrial",-0.251287888771884,-0.364626990110337,86,"ct","Reptilia","Squamata","Scincidae","Lampropholis","guichenoti","Lampropholis_guichenoti_IUCN",0.543771399585747
-0.80988735450955,0.830811668146079,-2.32372220847875,"Terrestrial",-0.251287888771884,-0.397139055746802,705,"ct","Reptilia","Squamata","Gekkonidae","Lepidodactylus","lugubris","Lepidodactylus_lugubris_GARD",0.349286643979744
-1.12678316563481,-0.318346899218426,-1.25306087645893,"Terrestrial",-0.251287888771884,0.0169739283427836,43,"ct","Reptilia","Squamata","Xantusiidae","Lepidophyma","flavimaculatum","Lepidophyma_flavimaculatum_IUCN",-0.11053361053361
-1.20469717958398,1.51343137242272,-0.115272433322102,"Terrestrial",-0.251287888771884,-2.72931984828261,437,"ct","Insecta","Hymenoptera","Formicidae","Linepithema","humile","Linepithema_humile_GBIF",0.732583308164704
-5.07517381523383,0.972461003341209,-0.52403133114186,"Terrestrial",-0.251287888771884,0.126154576444942,1,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","albiceps","Liolaemus_albiceps_IUCN",0.0138188608776844
-3.72569342723665,1.31984926171174,-0.310267458498044,"Terrestrial",-0.251287888771884,0.117288701405755,4,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","capillitas","Liolaemus_capillitas_IUCN",0.0418756815703379
-3.82015135155626,3.90073733896665,-0.312947651050966,"Terrestrial",-0.251287888771884,-0.318131547405193,35,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","chacoensis","Liolaemus_chacoensis_IUCN",0.598750171679714
-4.74601849457547,3.18359401072356,0.113255055426712,"Terrestrial",-0.251287888771884,0.193861695767709,17,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","cuyanus","Liolaemus_cuyanus_IUCN",0.153370165745856
-4.35590722344025,3.23509576873496,0.399183956205001,"Terrestrial",-0.251287888771884,-0.130147483602667,69,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","darwinii","Liolaemus_darwinii_IUCN",0.181253502708762
-4.85203026391962,1.5132940518812,-0.283030274118383,"Terrestrial",-0.251287888771884,0.163232947249321,1,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","dorbignyi","Liolaemus_dorbignyi_IUCN",0.0324923547400613
-4.38202663467388,0.938269638592929,-0.550593867208519,"Terrestrial",-0.251287888771884,0.0901075314034971,2,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","irregularis","Liolaemus_irregularis_IUCN",0.0135265700483091
-4.46129981556839,3.19710202531864,-0.235425201923769,"Terrestrial",-0.251287888771884,0.0129400935494179,6,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","koslowskyi","Liolaemus_koslowskyi_IUCN",0.22133526850508
-4.70953020131233,2.89958841300109,-0.0662532070136982,"Terrestrial",-0.251287888771884,-0.0834336371512291,7,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","laurenti","Liolaemus_laurenti_IUCN",0.118119266055046
-6.49752885377226,6.08980044782884,0.838712908047917,"Terrestrial",-0.251287888771884,0.169115039745098,10,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","melanops","Liolaemus_melanops_IUCN",0.33257804632427
-3.28964489575641,0.856186807804449,-0.615855066635747,"Terrestrial",-0.251287888771884,-0.0500485315033076,6,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","multicolor","Liolaemus_multicolor_IUCN",0.0359513274336283
-4.61015772749913,3.50154535549644,-0.0412672168889778,"Terrestrial",-0.251287888771884,-0.154530165343128,8,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","olongasta","Liolaemus_olongasta_IUCN",0.242462311557789
-5.75995274612326,5.75995274612326,0.864389270406682,"Terrestrial",-0.251287888771884,0.177446279864594,20,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","petrophilus","Liolaemus_petrophilus_IUCN",0.996848739495798
-3.56246552925828,1.30833281965018,-0.369238743026878,"Terrestrial",-0.251287888771884,-0.118219919342418,4,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","poecilochromus","Liolaemus_poecilochromus_IUCN",0.0486486486486486
-3.59731226058845,2.56974552972503,-0.226120365730744,"Terrestrial",-0.251287888771884,-0.142249179029241,6,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","pseudoanomalus","Liolaemus_pseudoanomalus_IUCN",0.230861244019139
-4.42284862919414,2.07944154167984,-0.366824300566419,"Terrestrial",-0.251287888771884,0.0808454080707915,3,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","quilmes","Liolaemus_quilmes_IUCN",0.035
-5.12841832975264,3.90650782474004,-0.0119738724983435,"Terrestrial",-0.251287888771884,-0.214820791136212,7,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","riojanus","Liolaemus_riojanus_IUCN",0.146983408748115
-4.62301010411642,4.02137554235551,-0.272910827618843,"Terrestrial",-0.251287888771884,-0.205558667803507,5,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","robertmertensi","Liolaemus_robertmertensi_IUCN",0.327357237715803
-3.97343163355679,3.37907957640853,0.628002451790983,"Terrestrial",-0.251287888771884,0.177446279864594,17,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","rothi","Liolaemus_rothi_IUCN",0.362220447284345
-3.8969093676181,3.46051395881857,-0.255391556902535,"Terrestrial",-0.251287888771884,-0.0392124110008083,4,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","salinicola","Liolaemus_salinicola_IUCN",0.322862129144851
-4.39444915467244,0.901548450136951,-0.343496636302682,"Terrestrial",-0.251287888771884,-0.0392124110008083,3,"ct","Reptilia","Squamata","Iguanidae","Liolaemus","scapularis","Liolaemus_scapularis_IUCN",0.0144892538034291
-4.31069895007864,0.720910974272498,1.85608589814428,"Intertidal",0.226242584243125,-0.541669542600456,116,"lt","Gastropoda","Neotaenioglossa","Littorinidae","Littorina","littorea","Littorina_littorea_GBIF",0.0120425719774253
-3.35321769977402,-0.268561031005002,1.37944466078035,"Intertidal",0.226242584243125,-1.51379766133312,274,"lt","Gastropoda","Neotaenioglossa","Littorinidae","Littorina","obtusata","Littorina_obtusata_GBIF",-0.00981338481338478
-3.43154966519171,1.00173959545122,1.63603416008869,"Intertidal",0.226242584243125,-1.1992192027261,301,"lt","Gastropoda","Neotaenioglossa","Littorinidae","Littorina","saxatilis","Littorina_saxatilis_GBIF",0.0370913028394984
-1.72798693817007,-1.67237877244838,-0.99431504644777,"Terrestrial",-0.251287888771884,0.426218406200439,120,"ct","Reptilia","Squamata","Agamidae","Lophognathus","gilberti","Lophognathus_gilberti_IUCN",-0.425671188691775
