"range","species","type","o_cells","u_cells","rr_cells","pr_cells","pol_fill","equ_fill","realm","source","range_area_km2","lat_mp","ctmax","ctmin"
"Anolis_limifrons_GARD","Anolis_limifrons","Te",7,1003,22,1018,0.0740740740740741,0.0124352331606218,"Terrestrial","GARD",211406,11.5941038133903,36.8,12.3
"Anolis_limifrons_GBIF","Anolis_limifrons","Te",16,982,69,1035,0.560606060606061,0.0215605749486653,"Terrestrial","GBIF",742107,14.403709873593,36.8,12.3
"Anolis_lionotus_IUCN","Anolis_lionotus","Te",0,63,5,68,0.0655737704918033,0.285714285714286,"Terrestrial","IUCN",25674,8.36645942300004,36.7,14.7
"Anolis_tropidolepis_GARD","Anolis_tropidolepis","Te",2,32,4,34,0.0416666666666667,0.1,"Terrestrial","GARD",6104,10.1904175014915,33.1,9.5
"Anolis_tropidolepis_GBIF","Anolis_tropidolepis","Te",2,32,4,34,0.0416666666666667,0.1,"Terrestrial","GBIF",14299,10.109196849811,33.1,9.5
"Austrelaps_superbus_GBIF","Austrelaps_superbus","Te",8,601,62,655,0.454545454545455,0.0760869565217391,"Terrestrial","GBIF",557010,-38.2434856806662,41.2,3
"Austrelaps_superbus_IUCN","Austrelaps_superbus","Te",4,632,27,655,0.285714285714286,0.0323574730354391,"Terrestrial","IUCN",206108,-39.633471389,41.2,3
"Bassiana_duperreyi_GARD","Bassiana_duperreyi","Te",6,618,45,657,0.454545454545455,0.0569230769230769,"Terrestrial","GARD",337965,-38.709453526715,43.5,3
"Bassiana_duperreyi_GBIF","Bassiana_duperreyi","Te",13,569,101,657,0.838709677419355,0.113207547169811,"Terrestrial","GBIF",897544,-36.4667226187228,43.5,3
"Chamaeleo_dilepis_IUCN","Chamaeleo_dilepis","Te",12,945,941,1874,0.836601307189543,0.385159010600707,"Terrestrial","IUCN",11046310,-10.7012248919999,43.6,7.6
"Chamaeleo_jacksonii_GBIF","Chamaeleo_jacksonii","Te",1,484,18,501,0.031055900621118,0.0531914893617021,"Terrestrial","GBIF",279437,-1.40502075269033,41,5.3
"Clubiona_diversa_GBIF","Clubiona_diversa","Te",1,3014,216,3229,0.0592718035563082,0.07080078125,"Terrestrial","GBIF",1476519,54.1010577453007,41.4,-10.2
"Clubiona_trivialis_GBIF","Clubiona_trivialis","Te",1235,881,1447,1093,0.909090909090909,0.113936927772126,"Terrestrial","GBIF",10420135,54.5491274584246,42.1,-7.4
"Coleonyx_brevis_IUCN","Coleonyx_brevis","Te",60,36,69,45,0.357142857142857,0.129032258064516,"Terrestrial","IUCN",569266,29.1094483615001,41.6,8.5
"Coleonyx_variegatus_IUCN","Coleonyx_variegatus","Te",38,278,76,316,0.122905027932961,0.116788321167883,"Terrestrial","IUCN",580023,30.3067657375,43,7.6
"Cophosaurus_texanus_IUCN","Cophosaurus_texanus","Te",113,29,146,62,0.678571428571429,0.411764705882353,"Terrestrial","IUCN",1137047,29.1468355615,44.4,15.4
"Cordylus_cordylus_IUCN","Cordylus_cordylus","Te",31,1242,35,1246,1,0.00160771704180064,"Terrestrial","IUCN",234620,-32.207730151,41.6,7.5
"Cordylus_niger_IUCN","Cordylus_niger","Te",1,1200,1,1200,NA,NA,"Terrestrial","IUCN",503,-33.6500683035,41,7.4
"Cordylus_niger_GBIF","Cordylus_niger","Te",1,1200,1,1200,NA,NA,"Terrestrial","GBIF",615,-33.6658816861293,41,7.4
"Cordylus_oelofseni_IUCN","Cordylus_oelofseni","Te",3,1262,4,1263,1,0.000791765637371338,"Terrestrial","IUCN",3873,-33.251806207,40.8,6.3
"Crustulina_guttata_GBIF","Crustulina_guttata","Te",150,447,334,631,0.700934579439252,0.235401459854015,"Terrestrial","GBIF",2095099,56.0548917330794,41.8,-8
"Ctenophorus_decresii_GBIF","Ctenophorus_decresii","Te",0,589,28,617,0.216216216216216,0.0317460317460317,"Terrestrial","GBIF",185789,-32.9776430351784,43.8,7
"Ctenophorus_decresii_IUCN","Ctenophorus_decresii","Te",0,599,18,617,0.16,0.017636684303351,"Terrestrial","IUCN",112467,-33.0624224695,43.8,7
"Ctenotus_regius_IUCN","Ctenotus_regius","Te",192,134,192,134,NA,NA,"Terrestrial","IUCN",1712767,-29.2979374344999,45.1,8.7
"Ctenotus_regius_GBIF","Ctenotus_regius","Te",205,134,205,134,NA,NA,"Terrestrial","GBIF",1896835,-28.9478066393496,45.1,8.7
"Ctenotus_taeniolatus_IUCN","Ctenotus_taeniolatus","Te",120,57,125,62,1,0.0172413793103448,"Terrestrial","IUCN",1154602,-26.6773791914999,44.7,11.4
"Ctenotus_taeniolatus_GBIF","Ctenotus_taeniolatus","Te",164,58,168,62,1,0.0491803278688525,"Terrestrial","GBIF",1663936,-27.15907098229,44.7,11.4
"Ctenotus_uber_IUCN","Ctenotus_uber","Te",112,113,121,122,0.6,0.0666666666666667,"Terrestrial","IUCN",1060968,-26.1676794195,45.5,9.1
"Ctenotus_uber_GBIF","Ctenotus_uber","Te",422,109,435,122,0.6,0.1,"Terrestrial","GBIF",4315705,-28.4349359637454,45.5,9.1
"Dendrobates_auratus_IUCN","Dendrobates_auratus","Te",0,1141,17,1158,0.056,0.00968054211035818,"Terrestrial","IUCN",116892,13.5207421030001,34.8,9.5
"Desmognathus_fuscus_IUCN","Desmognathus_fuscus","Te",130,202,199,271,0.235294117647059,0.260330578512397,"Terrestrial","IUCN",1548642,38.5751565195,34.9,-2.3
"Dipsosaurus_dorsalis_IUCN","Dipsosaurus_dorsalis","Te",58,70,69,81,0.2,0.121212121212121,"Terrestrial","IUCN",474839,30.5609401835,47.5,14
"Egernia_cunninghami_GBIF","Egernia_cunninghami","Te",19,535,131,647,0.636363636363636,0.104529616724739,"Terrestrial","GBIF",1181913,-32.308779401323,41.9,4.7
"Egernia_cunninghami_IUCN","Egernia_cunninghami","Te",14,608,53,647,0.208955223880597,0.0214424951267057,"Terrestrial","IUCN",288991,-31.3164588369999,41.9,4.7
"Egernia_saxatilis_IUCN","Egernia_saxatilis","Te",6,618,37,649,0.648648648648649,0.011437908496732,"Terrestrial","IUCN",191753,-34.8817618195,41.8,4.5
"Egernia_saxatilis_GBIF","Egernia_saxatilis","Te",14,594,69,649,0.533333333333333,0.0352941176470588,"Terrestrial","GBIF",593613,-33.4596981412861,41.8,4.5
"Egernia_striolata_GBIF","Egernia_striolata","Te",44,400,276,632,0.592783505154639,0.267123287671233,"Terrestrial","GBIF",2727822,-27.9509371417412,44.2,6.1
"Egernia_striolata_IUCN","Egernia_striolata","Te",41,475,198,632,0.411255411255411,0.154613466334165,"Terrestrial","IUCN",1830012,-27.2808403529999,44.2,6.1
"Eleutherodactylus_coqui_IUCN","Eleutherodactylus_coqui","Te",0,389,3,392,0.00769230769230769,0.00757575757575758,"Terrestrial","IUCN",12364,21.954099141,37.2,7.5
"Elgaria_multicarinata_IUCN","Elgaria_multicarinata","Te",34,525,54,545,0.048951048951049,0.0347222222222222,"Terrestrial","IUCN",332751,38.615441149,41.4,2.2
"Eremias_argus_IUCN","Eremias_argus","Te",361,1267,532,1438,0.0743006993006993,0.292517006802721,"Terrestrial","IUCN",4172221,41.4884031755001,44.9,1
"Eremias_brenchleyi_IUCN","Eremias_brenchleyi","Te",23,707,104,788,0.063716814159292,0.201793721973094,"Terrestrial","IUCN",927318,35.5924158100001,43.6,3.4
"Eremias_multiocellata_GBIF","Eremias_multiocellata","Te",373,559,373,559,NA,NA,"Terrestrial","GBIF",3628178,42.2027268315594,41.1,9
"Eremias_multiocellata_IUCN","Eremias_multiocellata","Te",153,42,153,42,NA,NA,"Terrestrial","IUCN",907461,47.168057483,41.1,9
"Eremiascincus_fasciolatus_IUCN","Eremiascincus_fasciolatus","Te",42,115,50,123,0.5,0.0504201680672269,"Terrestrial","IUCN",434768,-23.202842195,41.2,9
"Eremiascincus_fasciolatus_GBIF","Eremiascincus_fasciolatus","Te",470,21,572,123,1,0.766666666666667,"Terrestrial","GBIF",6010004,-24.5922414491592,41.2,9
"Eremiascincus_richardsoni_GBIF","Eremiascincus_richardsoni","Te",438,27,595,184,1,0.834355828220859,"Terrestrial","GBIF",6214056,-25.3522748898709,42,7.3
"Eulamprus_heatwolei_IUCN","Eulamprus_heatwolei","Te",14,508,33,527,0.377777777777778,0.00803212851405622,"Terrestrial","IUCN",159610,-34.2702558534999,39.5,5.3
"Eulamprus_kosciuskoi_IUCN","Eulamprus_kosciuskoi","Te",6,60,14,68,0.153846153846154,0.0930232558139535,"Terrestrial","IUCN",30782,-32.888888365,40.2,2.5
"Eulamprus_kosciuskoi_GBIF","Eulamprus_kosciuskoi","Te",9,50,27,68,0.346153846153846,0.214285714285714,"Terrestrial","GBIF",381317,-32.943777927296,40.2,2.5
"Eulamprus_quoyii_IUCN","Eulamprus_quoyii","Te",36,473,120,557,0.277056277056277,0.068870523415978,"Terrestrial","IUCN",1004307,-27.003083467,39.8,6
"Eulamprus_quoyii_GBIF","Eulamprus_quoyii","Te",38,392,203,557,0.484536082474227,0.208020050125313,"Terrestrial","GBIF",1994465,-29.4089134883055,39.8,6
"Eulamprus_tympanum_IUCN","Eulamprus_tympanum","Te",4,458,34,488,0.590909090909091,0.0153508771929825,"Terrestrial","IUCN",243224,-35.9448393169999,39,2.5
"Eulamprus_tympanum_GBIF","Eulamprus_tympanum","Te",9,372,125,488,0.695121951219512,0.163934426229508,"Terrestrial","GBIF",1165330,-33.8886181650911,39,2.5
"Eurycea_bislineata_IUCN","Eurycea_bislineata","Te",57,817,166,926,0.196610169491525,0.080824088748019,"Terrestrial","IUCN",1198568,44.3903927350001,35,-2
"Gehyra_variegata_GBIF","Gehyra_variegata","Te",414,70,675,331,0.983333333333333,0.766891891891892,"Terrestrial","GBIF",7351200,-23.9886255046315,43.8,6
"Gehyra_variegata_IUCN","Gehyra_variegata","Te",124,212,176,264,0.4,0.188976377952756,"Terrestrial","IUCN",1712604,-26.9579412934999,43.8,6
"Hemachatus_haemachatus_IUCN","Hemachatus_haemachatus","Te",19,1653,63,1697,1,0.0125448028673835,"Terrestrial","IUCN",392531,-29.7209011155,43.1,3.7
"Hemidactylus_frenatus_IUCN","Hemidactylus_frenatus","Te",255,43,695,483,0.847328244274809,0.986842105263158,"Terrestrial","IUCN",7536266,1.41776943200003,42.4,11.9
"Hemidactylus_turcicus_IUCN","Hemidactylus_turcicus","Te",145,1844,213,1912,0.362068965517241,0.0253505933117584,"Terrestrial","IUCN",1272674,29.275785593,41.1,10.5
"Hemiergis_decresiensis_IUCN","Hemiergis_decresiensis","Te",1,467,22,488,0.294117647058824,0.0242290748898678,"Terrestrial","IUCN",129271,-34.25137654,39.3,6.8
"Hemiergis_peroni_GBIF","Hemiergis_peroni","Te",75,51,75,51,NA,NA,"Terrestrial","GBIF",583638,-34.5230391405754,38.6,9.6
"Heteronotia_binoei_IUCN","Heteronotia_binoei","Te",532,62,637,167,0.984375,0.407766990291262,"Terrestrial","IUCN",6908491,-22.6670889624999,40.6,9.6
"Heteronotia_binoei_GBIF","Heteronotia_binoei","Te",563,62,668,167,0.984375,0.407766990291262,"Terrestrial","GBIF",7259293,-23.1327539547944,40.6,9.6
"Lacerta_agilis_IUCN","Lacerta_agilis","Te",1451,203,1482,234,0.294117647058824,0.129464285714286,"Terrestrial","IUCN",10035379,50.589335593,43.9,5.9
"Lampropholis_delicata_GBIF","Lampropholis_delicata","Te",52,389,375,712,0.57703081232493,0.329577464788732,"Terrestrial","GBIF",3950065,-24.9332591049673,40.8,4.7
"Lampropholis_delicata_IUCN","Lampropholis_delicata","Te",35,563,110,638,0.239766081871345,0.0753968253968254,"Terrestrial","IUCN",944506,-29.583265889,40.8,4.7
"Lampropholis_guichenoti_GBIF","Lampropholis_guichenoti","Te",12,531,140,659,0.707317073170732,0.121317157712305,"Terrestrial","GBIF",1345448,-33.4735321814006,41.3,2.5
"Lampropholis_guichenoti_IUCN","Lampropholis_guichenoti","Te",14,587,86,659,0.585365853658537,0.0415944540727903,"Terrestrial","IUCN",658209,-32.1557114269999,41.3,2.5
"Lepidodactylus_lugubris_GARD","Lepidodactylus_lugubris","Te",172,665,705,1198,0.618968386023295,0.269681742043551,"Terrestrial","GARD",7538631,0.02807778496183,40.2,11.5
"Lepidophyma_flavimaculatum_IUCN","Lepidophyma_flavimaculatum","Te",8,73,43,108,0.294871794871795,0.405405405405405,"Terrestrial","IUCN",259316,14.437206218,38,11.3
"Linepithema_humile_GBIF","Linepithema_humile","Te",23,967,437,1381,0.93939393939394,0.206810631229236,"Terrestrial","GBIF",4310254,-29.7497418597388,37.7,-0.1
"Liolaemus_abaucan_IUCN","Liolaemus_abaucan","Te",1,323,1,323,NA,NA,"Terrestrial","IUCN",1409,-27.5177749944999,47.3,15.41
"Liolaemus_albiceps_IUCN","Liolaemus_albiceps","Te",0,159,1,160,0.0222222222222222,0.00840336134453781,"Terrestrial","IUCN",686,-24.248600387,44.33,7.05
"Liolaemus_bibronii_IUCN","Liolaemus_bibronii","Te",50,1286,50,1286,NA,NA,"Terrestrial","IUCN",295599,-44.6722253445,44.53,8.49
"Liolaemus_bibronii_GBIF","Liolaemus_bibronii","Te",81,1271,96,1286,0.260869565217391,0.00557768924302789,"Terrestrial","GBIF",722673,-39.9166231665576,44.53,8.49
"Liolaemus_boulengeri_GBIF","Liolaemus_boulengeri","Te",81,865,87,871,0.666666666666667,0.0046029919447641,"Terrestrial","GBIF",813939,-41.396187524773,43.99,9.4
"Liolaemus_boulengeri_IUCN","Liolaemus_boulengeri","Te",18,871,18,871,NA,NA,"Terrestrial","IUCN",84512,-43.5916641994999,43.99,9.4
"Liolaemus_canqueli_IUCN","Liolaemus_canqueli","Te",6,782,6,782,NA,NA,"Terrestrial","IUCN",14866,-43.9997479225,44.6,6.99
"Liolaemus_capillitas_IUCN","Liolaemus_capillitas","Te",0,162,4,166,0.0571428571428571,0.0152671755725191,"Terrestrial","IUCN",5851,-27.1254681725,43.7,7.47
"Liolaemus_chacoensis_IUCN","Liolaemus_chacoensis","Te",17,803,35,821,0.611111111111111,0.0123609394313968,"Terrestrial","IUCN",375206,-27.0893977199999,44.1,14.9
"Liolaemus_cuyanus_IUCN","Liolaemus_cuyanus","Te",9,913,17,921,0.16,0.00662983425414365,"Terrestrial","IUCN",63024,-32.8253007105,45.7,12
"Liolaemus_darwinii_GBIF","Liolaemus_darwinii","Te",45,1214,78,1247,0.26027397260274,0.0119250425894378,"Terrestrial","GBIF",596832,-33.8661772285365,44.68,10.11
"Liolaemus_darwinii_IUCN","Liolaemus_darwinii","Te",53,1231,69,1247,0.188679245283019,0.00742574257425743,"Terrestrial","IUCN",396964,-36.6733767835,44.68,10.11
"Liolaemus_dorbignyi_IUCN","Liolaemus_dorbignyi","Te",0,127,1,128,0.0416666666666667,0.0091743119266055,"Terrestrial","IUCN",595,-27.4920304795,43.91,8.83
"Liolaemus_elongatus_IUCN","Liolaemus_elongatus","Te",28,944,28,944,NA,NA,"Terrestrial","IUCN",150565,-41.6673427825,45.1,7.68
"Liolaemus_elongatus_GBIF","Liolaemus_elongatus","Te",66,907,103,944,0.842105263157895,0.0279269602577873,"Terrestrial","GBIF",836422,-38.8911185436146,45.1,7.68
"Liolaemus_fitzingerii_IUCN","Liolaemus_fitzingerii","Te",2,1263,2,1263,NA,NA,"Terrestrial","IUCN",792,-44.9019719375,44.45,8.24
"Liolaemus_irregularis_IUCN","Liolaemus_irregularis","Te",0,158,2,160,0.0222222222222222,0.00869565217391304,"Terrestrial","IUCN",1867,-23.8911176029999,44.98,6.96
"Liolaemus_kingii_IUCN","Liolaemus_kingii","Te",34,1310,34,1310,NA,NA,"Terrestrial","IUCN",210999,-46.3966257265,44.5,7.01
"Liolaemus_kingii_GBIF","Liolaemus_kingii","Te",58,1310,58,1310,NA,NA,"Terrestrial","GBIF",432208,-46.4115282896415,44.5,7.01
"Liolaemus_koslowskyi_IUCN","Liolaemus_koslowskyi","Te",1,428,6,433,0.230769230769231,0.00943396226415094,"Terrestrial","IUCN",15792,-28.132707021,46.1,13.22
"Liolaemus_kriegi_IUCN","Liolaemus_kriegi","Te",13,435,13,435,NA,NA,"Terrestrial","IUCN",56163,-40.4757320209999,43.67,7.6
"Liolaemus_laurenti_IUCN","Liolaemus_laurenti","Te",3,440,7,444,0.125,0.00688073394495413,"Terrestrial","IUCN",8118,-30.4094503094999,46.18,12.2
"Liolaemus_laurenti_GBIF","Liolaemus_laurenti","Te",12,427,29,444,0.733333333333333,0.013986013986014,"Terrestrial","GBIF",229823,-30.7610738686825,46.18,12.2
"Liolaemus_melanops_IUCN","Liolaemus_melanops","Te",8,1325,10,1327,0.333333333333333,0.000755287009063444,"Terrestrial","IUCN",38331,-42.588626478,44.94,5.65
"Liolaemus_multicolor_IUCN","Liolaemus_multicolor","Te",0,155,6,161,0.0625,0.0265486725663717,"Terrestrial","IUCN",28576,-23.012822127,44.7,8.06
"Liolaemus_multimaculatus_IUCN","Liolaemus_multimaculatus","Te",6,374,6,374,NA,NA,"Terrestrial","IUCN",3649,-38.728022549,43.83,8.93
"Liolaemus_olongasta_IUCN","Liolaemus_olongasta","Te",4,398,8,402,0.25,0.00753768844221105,"Terrestrial","IUCN",24810,-30.7457156905,44.58,11.85
"Liolaemus_petrophilus_IUCN","Liolaemus_petrophilus","Te",17,949,20,952,1,0.00315126050420168,"Terrestrial","IUCN",96396,-42.934182997,45.23,7.31
"Liolaemus_poecilochromus_GBIF","Liolaemus_poecilochromus","Te",26,109,58,141,0.210526315789474,0.238095238095238,"Terrestrial","GBIF",539905,-19.3358345281776,44.16,9.35
"Liolaemus_poecilochromus_IUCN","Liolaemus_poecilochromus","Te",0,137,4,141,0.0666666666666667,0.018018018018018,"Terrestrial","IUCN",10167,-26.3318233595,44.16,9.35
"Liolaemus_pseudoanomalus_IUCN","Liolaemus_pseudoanomalus","Te",0,213,6,219,0.25,0.0191387559808612,"Terrestrial","IUCN",27880,-28.2579329684999,45.93,12.19
"Liolaemus_quilmes_IUCN","Liolaemus_quilmes","Te",0,247,3,250,0.04,0.005,"Terrestrial","IUCN",7935,-26.3643173055,44.69,8.46
"Liolaemus_quilmes_GBIF","Liolaemus_quilmes","Te",0,246,4,250,0.0425531914893617,0.00985221674876847,"Terrestrial","GBIF",12069,-26.6851712712983,44.69,8.46
"Liolaemus_riojanus_IUCN","Liolaemus_riojanus","Te",3,671,7,675,0.15,0.00301659125188537,"Terrestrial","IUCN",14046,-31.139950122,45.2,10.7
"Liolaemus_robertmertensi_IUCN","Liolaemus_robertmertensi","Te",0,504,5,509,0.333333333333333,0.00597609561752988,"Terrestrial","IUCN",19952,-27.6282195804999,43,14.07
"Liolaemus_rothi_IUCN","Liolaemus_rothi","Te",5,626,17,638,0.375,0.012779552715655,"Terrestrial","IUCN",77654,-39.75285205,43.8,5.5
"Liolaemus_rothi_GBIF","Liolaemus_rothi","Te",13,613,38,638,0.666666666666667,0.0271565495207668,"Terrestrial","GBIF",253021,-39.9016243781565,43.8,5.5
"Liolaemus_salinicola_IUCN","Liolaemus_salinicola","Te",0,193,4,197,0.333333333333333,0.0104712041884817,"Terrestrial","IUCN",6749,-27.8639966784999,48.21,14.2
"Liolaemus_scapularis_IUCN","Liolaemus_scapularis","Te",0,240,3,243,0.024390243902439,0.0099009900990099,"Terrestrial","IUCN",6550,-26.6782646765,45.57,9.39
"Liolaemus_telsen_IUCN","Liolaemus_telsen","Te",7,441,7,441,NA,NA,"Terrestrial","IUCN",21208,-41.733879623,44.6,8.98
"Liolaemus_xanthoviridis_IUCN","Liolaemus_xanthoviridis","Te",5,1078,5,1078,NA,NA,"Terrestrial","IUCN",5726,-44.331013589,44.48,7.86
"Lophognathus_gilberti_IUCN","Lophognathus_gilberti","Te",4,537,120,653,0.0984251968503937,0.524096385542169,"Terrestrial","IUCN",1134068,-17.9194482535,41.8,2.7
"Moloch_horridus_GBIF","Moloch_horridus","Te",39,195,374,530,0.704035874439462,0.579804560260586,"Terrestrial","GBIF",3892142,-26.3102415920092,42.5,3.5
"Moloch_horridus_IUCN","Moloch_horridus","Te",36,274,292,530,0.533596837944664,0.452768729641694,"Terrestrial","IUCN",2821699,-25.8645287455,42.5,3.5
"Nannoscincus_maccoyi_GBIF","Nannoscincus_maccoyi","Te",5,255,50,300,0.821428571428571,0.0808823529411765,"Terrestrial","GBIF",439857,-36.1757268846015,37,4
"Niveoscincus_metallicus_GBIF","Niveoscincus_metallicus","Te",8,521,52,565,0.545454545454545,0.0734767025089606,"Terrestrial","GBIF",449076,-38.5273347957212,39.6,2.7
"Niveoscincus_metallicus_GARD","Niveoscincus_metallicus","Te",4,557,12,565,0.5,0.00894454382826476,"Terrestrial","GARD",92426,-40.4485801420487,39.6,2.7
"Niveoscincus_ocellatus_GBIF","Niveoscincus_ocellatus","Te",4,609,6,611,0.2,0.00165016501650165,"Terrestrial","GBIF",45571,-41.4976387024141,40.1,3
"Niveoscincus_ocellatus_GARD","Niveoscincus_ocellatus","Te",4,608,7,611,0.4,0.00329489291598023,"Terrestrial","GARD",56356,-41.9001072418441,40.1,3
"Notechis_scutatus_IUCN","Notechis_scutatus","Te",16,299,98,381,0.765625,0.10410094637224,"Terrestrial","IUCN",644873,-34.1724236785,38,2.2
"Oedothorax_apicatus_GBIF","Oedothorax_apicatus","Te",1,2618,230,2847,0.133136094674556,0.0640257945647167,"Terrestrial","GBIF",1500931,56.9490760621602,40.8,-7.5
"Pardosa_nigriceps_GBIF","Pardosa_nigriceps","Te",8,2547,234,2773,0.232905982905983,0.0507592190889371,"Terrestrial","GBIF",1413322,58.7839663596746,39.7,-7.2
"Philodromus_aureolus_GBIF","Philodromus_aureolus","Te",1,2957,346,3302,0.107400722021661,0.101480836236934,"Terrestrial","GBIF",2432361,55.7352148693996,42.1,-10.8
"Phrynosoma_cornutum_IUCN","Phrynosoma_cornutum","Te",86,109,186,209,0.46875,0.493827160493827,"Terrestrial","IUCN",1801830,31.469849648,47.9,9.5
"Phymaturus_antofagastensis_IUCN","Phymaturus_antofagastensis","Te",1,114,4,117,0.125,0.0099009900990099,"Terrestrial","IUCN",671,-26.9898155065,41.4,11.8
"Phymaturus_dorsimaculatus_IUCN","Phymaturus_dorsimaculatus","Te",2,205,2,205,NA,NA,"Terrestrial","IUCN",1275,-37.8226289335,41.9,10.5
"Phymaturus_indistinctus_IUCN","Phymaturus_indistinctus","Te",1,738,1,738,NA,NA,"Terrestrial","IUCN",493,-45.438529748,44.7,7
"Phymaturus_palluma_IUCN","Phymaturus_palluma","Te",5,269,5,269,NA,NA,"Terrestrial","IUCN",14611,-34.711029082,44.6,11.5
"Phymaturus_patagonicus_GARD","Phymaturus_patagonicus","Te",8,686,8,686,NA,NA,"Terrestrial","GARD",59315,-43.4863621095636,39.9,9.8
"Phymaturus_somuncurensis_IUCN","Phymaturus_somuncurensis","Te",2,416,2,416,NA,NA,"Terrestrial","IUCN",6299,-41.4671321835,42.8,5.7
"Phymaturus_tenebrosus_GBIF","Phymaturus_tenebrosus","Te",4,427,4,427,NA,NA,"Terrestrial","GBIF",1758,-40.9479412419269,39.9,9.8
"Phymaturus_tenebrosus_IUCN","Phymaturus_tenebrosus","Te",2,427,2,427,NA,NA,"Terrestrial","IUCN",2046,-40.890719821,39.9,9.8
"Phymaturus_zapalensis_GBIF","Phymaturus_zapalensis","Te",4,348,4,348,NA,NA,"Terrestrial","GBIF",9646,-39.7065451908183,42.4,8.9
"Phymaturus_zapalensis_IUCN","Phymaturus_zapalensis","Te",5,348,5,348,NA,NA,"Terrestrial","IUCN",6475,-39.4286127115,42.4,8.9
"Platysaurus_intermedius_IUCN","Platysaurus_intermedius","Te",16,1438,52,1474,0.472222222222222,0.0132127955493741,"Terrestrial","IUCN",391376,-21.9959567625,44.8,8.8
"Plestiodon_chinensis_IUCN","Plestiodon_chinensis","Te",7,592,229,814,0.519230769230769,0.179054054054054,"Terrestrial","IUCN",2247769,28.0595633365,42.3,6.3
"Plestiodon_elegans_IUCN","Plestiodon_elegans","Te",92,545,316,769,0.583756345177665,0.190559440559441,"Terrestrial","IUCN",3092054,30.7924871925001,41.9,9.3
"Plestiodon_gilberti_IUCN","Plestiodon_gilberti","Te",30,296,41,307,0.0888888888888889,0.0163265306122449,"Terrestrial","IUCN",216396,35.2476718035001,42.3,7.7
