Record,Order,Family1,Genus1,Species1,Family2,Genus2,Species2,Family3,Genus3,Species3,Stage,N numb,N cat,N comment,Raw CTM1,Raw CTM2,Acclim,Acclim time,Acclim time (Life=120),log Acclim time,Acclim temp,Safety,Heating rate,Photoperiod,EP1,EP1 descrip,EP2,Elevation,Log Elevation,Locality,Geog cat,Abs lat,Log Abs Lat,Latitude,Longitude,Source,Comments,Year,Citation,Reference,Range,Log Range,Introduced,Elev min,Elev max,SVL,log SVL,Habitat,tmxslope,BIOCLIM5,IUCN 2014,IUCN 2104risk
64,Caudata,Plethodontidae,Eurycea,bislineata,Plethodontidae,Eurycea,bislineata,Plethodontidae,Eurycea,bislineata,Adult,7,A,Given,35.2,NA,Y,2,2,0.48,25,5.9,0.8,12:12,L,Loss of righting response,NA,336,2.53,"Preble County, Ohio",Temperate,39.778,1.600,39.778,-84.690,Field,NA,1982,Layne and Claussen 1982,"Layne Jr, J. R., and D. L. Claussen. 1982. Seasonal variation in the thermal acclimation of critical thermal maxima (CTMax) and minima (CTMin) in the salamander Eurycea bislineata. Journal of Thermal Biology 7:29-33.",1195927,6.08,Not introduced,NA,NA,78,1.89,Terrestrial,0.003431373,29.2,Not threatened,0
1023,Anura,Ranidae,Rana,catesbeiana,Ranidae,Rana,catesbeiana,Ranidae,Lithobates,catesbeiana,Adult,3,A,Given,33.9,NA,Y,2,2,0.48,23,7.8,NA,12:12,L,Loss of righting response,NA,422,2.63,"Long Island, New York",Temperate,42.000,1.623,42.000,-73.135,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6914656,6.84,Introduced,NA,NA,146,2.16,Aquatic & terrestrial,0.026780712,25.7,Not threatened,0
1010,Anura,Ranidae,Rana,palustris,Ranidae,Rana,palustris,Ranidae,Lithobates,palustris,Adult,3,A,Given,30.7,NA,Y,2,2,0.48,23,4.7,NA,12:12,L,Loss of righting response,NA,422,2.63,"Long Island, New York",Temperate,42.000,1.623,42.000,-73.135,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",2477116,6.39,Not introduced,NA,NA,55,1.74,Aquatic & terrestrial,0.026780712,25.7,Not threatened,0
992,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,31.3,NA,Y,2,2,0.48,5,6.0,NA,0:24,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
996,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,33.5,NA,Y,2,2,0.48,12,7.2,NA,0:24,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
999,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,34.5,NA,Y,2,2,0.48,23,6.4,NA,0:24,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
1019,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,34.5,NA,Y,2,2,0.48,23,6.4,NA,12:12,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
1002,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,35.3,NA,Y,2,2,0.48,29,6.3,NA,0:24,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
832,Anura,Bufonidae,Melanophryniscus,rubriventris ,Bufonidae,Melanophryniscus,rubriventris ,Bufonidae,Melanophryniscus,rubriventris ,Adult,14,B,Given,33.0,NA,Y,2,2,0.48,25,4.9,1.0,NA,S,Onset of spasms,NA,1494,3.17,"Abra Colorada, Argentina",Subtropical,23.681,1.374,-23.681,-64.912,Field,Low melanism,2014,Sanabria et al. 2014,"Sanabria, E. A., M. Vaira, L. B. Quiroga, M. S. Akmentins, and L. C. Pereyra. 2014. Variation of thermal parameters in two different color morphs of a diurnal poison toad, Melanophryniscus rubriventris (Anura: Bufonidae). Journal of Thermal Biology 41:1-5.",34363,4.54,Not introduced,700,1800,33,1.52,Terrestrial,0.004845938,27.8,Not threatened,0
831,Anura,Bufonidae,Melanophryniscus,rubriventris ,Bufonidae,Melanophryniscus,rubriventris ,Bufonidae,Melanophryniscus,rubriventris ,Adult,12,B,Given,35.5,NA,Y,2,2,0.48,25,8.8,1.0,NA,S,Onset of spasms,NA,1894,3.28,"Angosto de Jaire, Argentina",Subtropical,24.010,1.380,-24.010,-65.382,Field,High melanism,2014,Sanabria et al. 2014,"Sanabria, E. A., M. Vaira, L. B. Quiroga, M. S. Akmentins, and L. C. Pereyra. 2014. Variation of thermal parameters in two different color morphs of a diurnal poison toad, Melanophryniscus rubriventris (Anura: Bufonidae). Journal of Thermal Biology 41:1-5.",34363,4.54,Not introduced,700,1800,33,1.52,Terrestrial,0.007482193,26.1,Not threatened,0
