Record,Order,Family1,Genus1,Species1,Family2,Genus2,Species2,Family3,Genus3,Species3,Stage,N numb,N cat,N comment,Raw CTM1,Raw CTM2,Acclim,Acclim time,Acclim time (Life=120),log Acclim time,Acclim temp,Safety,Heating rate,Photoperiod,EP1,EP1 descrip,EP2,Elevation,Log Elevation,Locality,Geog cat,Abs lat,Log Abs Lat,Latitude,Longitude,Source,Comments,Year,Citation,Reference,Range,Log Range,Introduced,Elev min,Elev max,SVL,log SVL,Habitat,tmxslope,BIOCLIM5,IUCN 2014,IUCN 2104risk
62,Caudata,Plethodontidae,Eurycea,bislineata,Plethodontidae,Eurycea,bislineata,Plethodontidae,Eurycea,bislineata,Adult,7,A,Given,35.4,NA,Y,7,7,0.90,25,6.1,0.8,12:12,L,Loss of righting response,NA,336,2.53,"Preble County, Ohio",Temperate,39.778,1.600,39.778,-84.690,Field,NA,1982,Layne and Claussen 1982,"Layne Jr, J. R., and D. L. Claussen. 1982. Seasonal variation in the thermal acclimation of critical thermal maxima (CTMax) and minima (CTMin) in the salamander Eurycea bislineata. Journal of Thermal Biology 7:29-33.",1195927,6.08,Not introduced,NA,NA,78,1.89,Terrestrial,0.003431373,29.2,Not threatened,0
561,Anura,Dicroglossidae,Fejervarya,cancrivora,Ranidae,Fejervarya,cancrivora,Dicroglossidae,Fejervarya,cancrivora,Adult,5,A,Given,42.1,NA,Y,7,7,0.90,25,10.2,0.3,12:12,S,Onset of spasms,NA,1,0.00,"Hoga Island, Indonesia",Tropical,5.467,0.738,-5.467,123.759,Field,NA,2012,Dabruzzi et al. 2012,"Dabruzzi, T. F., M. L. Wygoda, and W. A. Bennett. 2012. Some like it hot: heat tolerance of the crab-eating frog, Fejervarya cancrivora. Micronesica 43:101-106.",1352649,6.13,Introduced,NA,50,113,2.05,Aquatic & terrestrial,,32.2,Not threatened,0
644,Anura,Hylidae,Hyla,andersonii,Hylidae,Hyla,andersonii,Hylidae,Hyla,andersonii,Adult,6,A,Given,40.2,NA,Y,7,7,0.90,22,11.3,1.0,NA,L,Loss of righting response,NA,24,1.38,"Ocean County, New Jersey",Temperate,39.965,1.602,39.965,-74.312,Field,NA,1988,John-Alder et al. 1988,"John-Alder, H. B., P. J. Morin, and S. Lawler. 1988. Thermal physiology, phenology, and distribution of tree frogs. American Naturalist 132:506-520.",67734,4.83,Not introduced,NA,NA,33,1.52,Arboreal,0.022801921,29.3,Threatened,1
648,Anura,Hylidae,Hyla,cinerea,Hylidae,Hyla,cinerea,Hylidae,Hyla,cinerea,Adult,4,A,Given,36.6,NA,Y,7,7,0.90,22,4.7,1.0,NA,L,Loss of righting response,NA,35,1.54,Central Florida,Subtropical,28.538,1.455,28.538,-81.379,Field,NA,1988,John-Alder et al. 1988,"John-Alder, H. B., P. J. Morin, and S. Lawler. 1988. Thermal physiology, phenology, and distribution of tree frogs. American Naturalist 132:506-520.",1291729,6.11,Introduced,NA,NA,55,1.74,Aquatic & terrestrial,0.017347739,32.9,Not threatened,0
649,Anura,Hylidae,Hyla,squirella,Hylidae,Hyla,squirella,Hylidae,Hyla,squirella,Adult,5,A,Given,36.5,NA,Y,7,7,0.90,22,4.6,1.0,NA,L,Loss of righting response,NA,35,1.54,Central Florida,Subtropical,28.538,1.455,28.538,-81.379,Field,NA,1988,John-Alder et al. 1988,"John-Alder, H. B., P. J. Morin, and S. Lawler. 1988. Thermal physiology, phenology, and distribution of tree frogs. American Naturalist 132:506-520.",773496,5.89,Introduced,NA,NA,33,1.52,Aquatic & terrestrial,0.017347739,32.9,Not threatened,0
646,Anura,Hylidae,Hyla,versicolor,Hylidae,Hyla,versicolor,Hylidae,Hyla,versicolor,Adult,2,A,Given,38.7,NA,Y,7,7,0.90,22,9.8,1.0,NA,L,Loss of righting response,NA,24,1.38,"Ocean County, New Jersey",Temperate,39.965,1.602,39.965,-74.312,Field,NA,1988,John-Alder et al. 1988,"John-Alder, H. B., P. J. Morin, and S. Lawler. 1988. Thermal physiology, phenology, and distribution of tree frogs. American Naturalist 132:506-520.",2238329,6.35,Not introduced,NA,NA,33,1.52,Arboreal,0.022801921,29.3,Not threatened,0
944,Anura,Myobatrachidae,Limnodynastes,dorsalis,Myobatrachidae,Limnodynastes,dorsalis,Limnodynastidae,Limnodynastes,dorsalis,Adult,3,A,Given,35.3,NA,Y,7,7,0.90,15,7.3,0.3,12:12,L,Onset of spasms,NA,117,2.07,"Samford, Queensland",Subtropical,27.372,1.437,-27.372,152.867,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",324894,5.51,Not introduced,NA,600,75,1.88,Aquatic & terrestrial,0.008514606,29.5,Not threatened,0
943,Anura,Myobatrachidae,Limnodynastes,dorsalis,Myobatrachidae,Limnodynastes,dorsalis,Limnodynastidae,Limnodynastes,dorsalis,Adult,17,B,Given,35.3,NA,Y,7,7,0.90,15,8.4,0.3,12:12,L,Onset of spasms,NA,319,2.50,"Castlemaine, Victoria",Subtropical,37.064,1.569,-37.064,144.217,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",324894,5.51,Not introduced,NA,600,75,1.88,Aquatic & terrestrial,0.015527011,28.2,Not threatened,0
940,Anura,Myobatrachidae,Limnodynastes,peronii,Myobatrachidae,Limnodynastes,peronii,Limnodynastidae,Limnodynastes,peronii,Adult,44,B,Given,34.3,NA,Y,7,7,0.90,15,6.3,0.3,12:12,L,Onset of spasms,NA,64,1.81,"Brisbane, Queensland",Subtropical,27.553,1.440,-27.553,153.056,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",663231,5.82,Not introduced,NA,NA,55,1.74,Aquatic & terrestrial,0.000716287,29.5,Not threatened,0
941,Anura,Myobatrachidae,Limnodynastes,salmini,Myobatrachidae,Limnodynastes,salmini,Limnodynastidae,Limnodynastes,salmini,Adult,44,B,Given,34.2,NA,Y,7,7,0.90,15,6.2,0.3,12:12,L,Onset of spasms,NA,64,1.81,"Brisbane, Queensland",Subtropical,27.553,1.440,-27.553,153.056,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",604289,5.78,Not introduced,NA,NA,75,1.88,Aquatic & terrestrial,0.000716287,29.5,Not threatened,0
942,Anura,Myobatrachidae,Limnodynastes,tasmaniensis,Myobatrachidae,Limnodynastes,tasmaniensis,Limnodynastidae,Limnodynastes,tasmaniensis,Adult,36,B,Given,34.9,NA,Y,7,7,0.90,15,7.6,0.3,12:12,L,Onset of spasms,NA,50,1.70,"Adelaide, South Australia",Subtropical,34.929,1.543,-34.929,138.600,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",2431022,6.39,Not introduced,NA,NA,33,1.52,Aquatic & terrestrial,0.015214086,28.6,Not threatened,0
717,Anura,Ranidae,Rana,berlandieri,Ranidae,Rana,berlandieri,Ranidae,Lithobates,berlandieri,Adult,129,C,Given,39.3,NA,Y,7,7,0.90,15,8.2,1.0,12:12,S,Onset of spasms,NA,79,1.90,Supplier,Tropical,22.796,1.358,22.7963195,-95.51239,Supplier,Location estimated,1980,Maness and Hutchison 1980,"Maness, J. D., and V. H. Hutchison. 1980. Acute adjustment of thermal tolerance in vertebrate ectotherms following exposure to critical thermal maxima. Journal of Thermal Biology 5:225-233.",1489357,6.17,Introduced,NA,1650,113,2.05,Aquatic & terrestrial,,33.2,Not threatened,0
116,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,113,C,Given,38.0,NA,Y,7,7,0.90,15,11.2,1.0,8:16,S,Onset of spasms,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1969,Mahoney and Hutchison 1969,"Mahoney, J. J., and V. H. Hutchison. 1969. Photoperiod acclimation and 24-hour variations in the critical thermal maxima of a tropical and a temperate frog. Oecologia 2:143-161.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
117,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,121,C,Given,38.0,NA,Y,7,7,0.90,15,11.2,1.0,12:12,S,Onset of spasms,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1969,Mahoney and Hutchison 1969,"Mahoney, J. J., and V. H. Hutchison. 1969. Photoperiod acclimation and 24-hour variations in the critical thermal maxima of a tropical and a temperate frog. Oecologia 2:143-161.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
118,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,115,C,Given,38.2,NA,Y,7,7,0.90,15,11.4,1.0,16:8,S,Onset of spasms,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1969,Mahoney and Hutchison 1969,"Mahoney, J. J., and V. H. Hutchison. 1969. Photoperiod acclimation and 24-hour variations in the critical thermal maxima of a tropical and a temperate frog. Oecologia 2:143-161.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
120,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,120,C,Given,39.1,NA,Y,7,7,0.90,25,10.7,1.0,12:12,S,Onset of spasms,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1969,Mahoney and Hutchison 1969,"Mahoney, J. J., and V. H. Hutchison. 1969. Photoperiod acclimation and 24-hour variations in the critical thermal maxima of a tropical and a temperate frog. Oecologia 2:143-161.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
119,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,110,C,Given,39.2,NA,Y,7,7,0.90,25,10.8,1.0,8:16,S,Onset of spasms,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1969,Mahoney and Hutchison 1969,"Mahoney, J. J., and V. H. Hutchison. 1969. Photoperiod acclimation and 24-hour variations in the critical thermal maxima of a tropical and a temperate frog. Oecologia 2:143-161.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
121,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,111,C,Given,39.4,NA,Y,7,7,0.90,25,11.0,1.0,16:8,S,Onset of spasms,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1969,Mahoney and Hutchison 1969,"Mahoney, J. J., and V. H. Hutchison. 1969. Photoperiod acclimation and 24-hour variations in the critical thermal maxima of a tropical and a temperate frog. Oecologia 2:143-161.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
439,Anura,Ranidae,Rana,sylvatica,Ranidae,Rana,sylvatica,Ranidae,Lithobates,sylvaticus,Adult,10,B,Given,34.9,NA,Y,7,7,0.90,10,11.0,0.7,12:12,S,Onset of spasms,NA,1181,3.07,"Highlands, North Carolina",Subtropical,35.053,1.545,35.053,-83.197,Field,NA,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",9096515,6.96,Not introduced,NA,NA,55,1.74,Aquatic & terrestrial,0.003295318,25.5,Not threatened,0
449,Anura,Ranidae,Rana,sylvatica,Ranidae,Rana,sylvatica,Ranidae,Lithobates,sylvaticus,Adult,7,A,Given,36.1,NA,Y,7,7,0.90,20,10.7,0.7,12:12,S,Onset of spasms,NA,1181,3.07,"Highlands, North Carolina",Subtropical,35.053,1.545,35.053,-83.197,Field,NA,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",9096515,6.96,Not introduced,NA,NA,55,1.74,Aquatic & terrestrial,0.003295318,25.5,Not threatened,0
936,Anura,Hylidae,Cyclorana,alboguttatus,Hylidae,Cyclorana,alboguttata,Hylidae,Litoria,alboguttata,Adult,15,B,Given,40.6,NA,Y,7,7,0.90,25,8.5,0.3,12:12,L,Onset of spasms,NA,309,2.49,"Chinchilla, Queensland",Subtropical,26.739,1.427,-26.739,150.625,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",1250564,6.10,Not introduced,NA,600,75,1.88,Terrestrial,0.018118047,32.5,Not threatened,0
921,Anura,Hylidae,Hyla,aurea,Hylidae,Litoria,aurea,Hylidae,Litoria,aurea,Adult,25,B,Given,36.7,NA,Y,7,7,0.90,25,7.9,0.3,12:12,L,Onset of spasms,NA,50,1.70,"Adelaide, South Australia",Subtropical,34.929,1.543,-34.929,138.600,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",178247,5.25,Introduced,NA,670,113,2.05,Aquatic & terrestrial,0.015214086,28.6,Threatened,1
935,Anura,Hylidae,Cyclorana,australis,Hylidae,Cyclorana,australis,Hylidae,Litoria,australis,Adult,1,A,Given,40.6,NA,Y,7,7,0.90,25,8.5,0.3,12:12,L,Onset of spasms,NA,309,2.49,"Chinchilla, Queensland",Subtropical,26.739,1.427,-26.739,150.625,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",1148522,6.06,Not introduced,NA,500,75,1.88,Terrestrial,0.018118047,32.5,Not threatened,0
912,Anura,Hylidae,Hyla,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,22,B,Given,39.6,NA,Y,7,7,0.90,25,8.1,0.3,0:24,L,Loss of righting response,NA,14,1.15,"Proserpine, Queensland",Tropical,20.401,1.310,-20.401,148.580,Field,NA,1970,Johnson 1970,"Johnson, C. R. 1970. Observations on body temperatures, critical thermal maxima and tolerance to water loss in the Australian hylid, Hyla caerulea (White). Proceedings of the Royal Society of Queensland 82: 47-50.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,0.007494598,31.8,Not threatened,0
654,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,11,B,Given,37.8,NA,Y,7,7,0.90,22,8.5,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,0500 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
653,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,13,B,Given,37.8,NA,Y,7,7,0.90,22,8.5,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,0300 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
660,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,10,B,Given,38.1,NA,Y,7,7,0.90,22,8.8,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,1700 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
662,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,9,A,Given,38.1,NA,Y,7,7,0.90,22,8.8,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,2100 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
661,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,11,B,Given,38.3,NA,Y,7,7,0.90,22,9.0,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,1900 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
652,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,12,B,Given,38.6,NA,Y,7,7,0.90,22,9.3,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,0100 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
659,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,10,B,Given,38.8,NA,Y,7,7,0.90,22,9.5,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,1500 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
655,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,10,B,Given,38.8,NA,Y,7,7,0.90,22,9.5,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,0700 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
656,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,9,A,Given,38.8,NA,Y,7,7,0.90,22,9.5,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,0900 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
663,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,10,B,Given,38.8,NA,Y,7,7,0.90,22,9.5,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,2300 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
658,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,12,B,Given,39.2,NA,Y,7,7,0.90,22,9.9,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,1300 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
657,Anura,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,9,A,Given,39.3,NA,Y,7,7,0.90,22,10.0,0.3,12:12,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,1100 hr,1971,Johnson 1971,"Johnson, C. R. 1971. Daily variation in thermal tolerance of Litoria caerulea (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 40:1109-1111.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
913,Anura,Hylidae,Hyla,caerulea,Hylidae,Litoria,caerulea,Hylidae,Litoria,caerulea,Adult,22,B,Given,39.3,NA,Y,7,7,0.90,25,9.7,0.3,0:24,L,Loss of righting response,NA,117,2.07,"Samford, Queensland",Subtropical,27.372,1.437,-27.372,152.867,Field,NA,1970,Johnson 1970,"Johnson, C. R. 1970. Observations on body temperatures, critical thermal maxima and tolerance to water loss in the Australian hylid, Hyla caerulea (White). Proceedings of the Royal Society of Queensland 82: 47-50.",4108503,6.61,Not introduced,NA,200,146,2.16,Aquatic & terrestrial,0.008514606,29.5,Not threatened,0
914,Anura,Hylidae,Hyla,eucnemis,Hylidae,Litoria,eucnemis,Hylidae,Litoria,eucnemis,Adult,6,A,Given,35.2,NA,Y,7,7,0.90,25,6.0,0.3,12:12,L,Onset of spasms,NA,790,2.90,"Atherton, Queensland",Tropical,17.267,1.237,-17.267,145.476,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",415060,5.62,Not introduced,NA,1500,75,1.88,Aquatic & terrestrial,0.002578631,29.1,Not threatened,0
915,Anura,Hylidae,Hyla,eucnemis,Hylidae,Litoria,eucnemis,Hylidae,Litoria,eucnemis,Juvenile,1,A,Given,32.9,NA,Y,7,7,0.90,25,3.7,0.3,12:12,L,Onset of spasms,NA,790,2.90,"Atherton, Queensland",Tropical,17.267,1.237,-17.267,145.476,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",415060,5.62,Not introduced,NA,1500,75,1.88,Aquatic & terrestrial,0.002578631,29.1,Not threatened,0
928,Anura,Hylidae,Hyla,glauerti,Hylidae,Litoria,fallax,Hylidae,Litoria,fallax,Adult,75,B,Given,35.0,NA,Y,7,7,0.90,15,7.0,0.3,12:12,L,Onset of spasms,NA,64,1.81,"Brisbane, Queensland",Subtropical,27.553,1.440,-27.553,153.056,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",576165,5.76,Not introduced,NA,NA,33,1.52,Aquatic & terrestrial,0.000716287,29.5,Not threatened,0
927,Anura,Hylidae,Hyla,glauerti,Hylidae,Litoria,fallax,Hylidae,Litoria,fallax,Adult,8,A,Given,35.3,NA,Y,7,7,0.90,25,5.7,0.3,12:12,L,Onset of spasms,NA,64,1.81,"Brisbane, Queensland",Subtropical,27.553,1.440,-27.553,153.056,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",576165,5.76,Not introduced,NA,NA,33,1.52,Aquatic & terrestrial,0.000716287,29.5,Not threatened,0
920,Anura,Hylidae,Hyla,freycineti,Hylidae,Litoria,freycineti,Hylidae,Litoria,freycineti,Adult,9,A,Given,38.2,NA,Y,7,7,0.90,25,9.1,0.3,12:12,L,Onset of spasms,NA,45,1.65,"Beerwah, Queensland",Subtropical,26.858,1.429,-26.858,152.958,Field,NA,1971,Johnson 1971,"Johnson, C. R. 1971. Thermal relations in some southern and eastern Australian anurans. Proceedings of the Royal Society of Queensland 82: 87-94.",58574,4.77,Not introduced,NA,NA,33,1.52,Aquatic & terrestrial,0.008389756,28.9,Threatened,1
676,Anura,Hylidae,Litoria,gracilenta,Hylidae,Litoria,gracilenta,Hylidae,Litoria,gracilenta,Adult,7,A,Given,36.0,NA,Y,7,7,0.90,15,7.9,0.3,0:24,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,2300 hr,1972,Johnson 1972,"Johnson, C. R. 1972. Diel variation in thermal tolerance of Litoria gracilenta (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 41:727-730.",318857,5.50,Not introduced,NA,NA,33,1.52,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
674,Anura,Hylidae,Litoria,gracilenta,Hylidae,Litoria,gracilenta,Hylidae,Litoria,gracilenta,Adult,9,A,Given,36.4,NA,Y,7,7,0.90,15,8.2,0.3,0:24,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,1900 hr,1972,Johnson 1972,"Johnson, C. R. 1972. Diel variation in thermal tolerance of Litoria gracilenta (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 41:727-730.",318857,5.50,Not introduced,NA,NA,33,1.52,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
667,Anura,Hylidae,Litoria,gracilenta,Hylidae,Litoria,gracilenta,Hylidae,Litoria,gracilenta,Adult,5,A,Given,37.2,NA,Y,7,7,0.90,15,9.0,0.3,0:24,S,Onset of spasms,NA,19,1.28,"Brisbane, Queensland",Subtropical,27.471,1.439,-27.471,153.023,Field,0500 hr,1972,Johnson 1972,"Johnson, C. R. 1972. Diel variation in thermal tolerance of Litoria gracilenta (Anura: Hylidae). Comparative Biochemistry and Physiology Part A 41:727-730.",318857,5.50,Not introduced,NA,NA,33,1.52,Aquatic & terrestrial,-0.001976391,29.7,Not threatened,0
