Family,Species,Location,Latitude,Longitude,Sampling Habitat,Acclimation,Temperature of acclimation (°C),Length acclimation period (days),Rate acclimation (°C/day),Methodology,Endpoint,Heating rate (°C/min),Length experiment (min),Body length (mm),Weight (g),Life stage,Thermal limit (°C),SD Thermal limit,Nindividuals,Phylogeny,Realm affinity,Source,Reference
Cheimarrichthyidae,Cheimarrichthys fosteri,Northern New Zealand,-35.15,173.68,Freshwater,experimental,15.00,1,NA,static,death,NA,5760.00,NA,NA,adults,30.00,NA,15,yes,Freshwater,Richardson et al. 1994,166
Cichlidae,Alcolapia grahami,Lake Magadi Keynia,-1.94,36.25,Freshwater,collection,19.22,NA,NA,static,death,NA,1440.00,NA,NA,NA,40.00,NA,NA,no,Freshwater,Reite et al. 1974,163
Cichlidae,Bujurquina vittata,Agua Caliente Jujuy Argentina,-24.58,-64.92,Freshwater,collection,25.00,NA,NA,dynamic,LOE,0.3000,NA,35.40,NA,NA,38.60,NA,1,yes,Freshwater,Menni et al. 1998,134
Cichlidae,Bujurquina vittata,Agua Caliente Jujuy Argentina,-24.58,-64.92,Freshwater,collection,25.00,NA,NA,dynamic,death,0.3000,NA,35.40,NA,NA,40.30,NA,1,yes,Freshwater,Menni et al. 1998,134
Cichlidae,Bujurquina vittata,Agua Caliente Jujuy Argentina,-24.58,-64.92,Freshwater,collection,29.25,NA,NA,dynamic,LOE,0.3000,NA,36.50,NA,NA,40.55,NA,4,yes,Freshwater,Menni et al. 1998,134
Cichlidae,Bujurquina vittata,Agua Caliente Jujuy Argentina,-24.58,-64.92,Freshwater,collection,29.25,NA,NA,dynamic,death,0.3000,NA,36.50,NA,NA,41.59,NA,4,yes,Freshwater,Menni et al. 1998,134
Cichlidae,Bujurquina vittata,Agua Caliente Jujuy Argentina,-24.58,-64.92,Freshwater,collection,34.15,NA,NA,dynamic,LOE,0.3000,NA,39.60,NA,NA,42.52,NA,6,yes,Freshwater,Menni et al. 1998,134
Cichlidae,Bujurquina vittata,Agua Caliente Jujuy Argentina,-24.58,-64.92,Freshwater,collection,34.15,NA,NA,dynamic,death,0.3000,NA,39.60,NA,NA,42.93,NA,6,yes,Freshwater,Menni et al. 1998,134
Cichlidae,Cichlasoma urophthalmum,Tampa Florida US,27.95,-82.46,Freshwater,experimental,25.00,5,1,static,death,NA,10000.00,NA,NA,NA,38.50,NA,NA,yes,Freshwater,Stauffer & Boltz 1994,187
Cichlidae,Etroplus suratensis,Vellar Brackish India,11.49,79.76,Brackish,experimental,20.00,7,NA,static,death,NA,1440.00,NA,NA,NA,37.53,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Cichlidae,Etroplus suratensis,Vellar Brackish India,11.49,79.76,Brackish,experimental,25.00,7,NA,static,death,NA,1440.00,NA,NA,NA,38.60,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Cichlidae,Etroplus suratensis,Vellar Brackish India,11.49,79.76,Brackish,experimental,28.00,7,NA,static,death,NA,1440.00,NA,NA,NA,39.56,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Cichlidae,Etroplus suratensis,Vellar Brackish India,11.49,79.76,Brackish,experimental,30.00,7,NA,static,death,NA,1440.00,NA,NA,NA,40.47,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Cichlidae,Etroplus suratensis,Vellar Brackish India,11.49,79.76,Brackish,experimental,35.00,7,NA,static,death,NA,1440.00,NA,NA,NA,41.55,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28.00,NA,NA,dynamic,OS,1.0000,NA,NA,NA,NA,42.25,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28.00,NA,NA,dynamic,LOE,1.0000,NA,NA,NA,NA,40.75,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28.00,NA,NA,static,death,1.0000,NA,NA,NA,NA,39.56,0.18,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,20.00,NA,NA,dynamic,OS,1.0000,NA,NA,NA,NA,39.75,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,25.00,NA,NA,dynamic,OS,1.0000,NA,NA,NA,NA,40.50,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28.00,NA,NA,dynamic,OS,1.0000,NA,NA,NA,NA,42.00,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,30.00,NA,NA,dynamic,OS,1.0000,NA,NA,NA,NA,43.00,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,35.00,NA,NA,dynamic,OS,1.0000,NA,NA,NA,NA,43.50,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,20.00,NA,NA,dynamic,LOE,1.0000,NA,NA,NA,NA,38.50,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,25.00,NA,NA,dynamic,LOE,1.0000,NA,NA,NA,NA,39.50,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28.00,NA,NA,dynamic,LOE,1.0000,NA,NA,NA,NA,41.00,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,30.00,NA,NA,dynamic,LOE,1.0000,NA,NA,NA,NA,42.00,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,35.00,NA,NA,dynamic,LOE,1.0000,NA,NA,NA,NA,42.75,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,20.00,NA,NA,static,death,NA,1440.00,NA,NA,NA,37.53,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,25.00,NA,NA,static,death,NA,1440.00,NA,NA,NA,38.60,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28.00,NA,NA,static,death,NA,1440.00,NA,NA,NA,39.56,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,30.00,NA,NA,static,death,NA,1440.00,NA,NA,NA,40.47,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Etroplus suratensis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,35.00,NA,NA,static,death,NA,1440.00,NA,NA,NA,41.55,NA,10,yes,Freshwater,Rajaguru 2002,160
Cichlidae,Geophagus brasiliensis,Monjolinho Reservoir state of Sao Paulo Brazil,-23.53,-47.17,Freshwater,experimental,12.50,NA,NA,static,death,NA,840.00,100.00,NA,NA,32.85,NA,10,yes,Freshwater,Rantin & Petersen 1985,161
Cichlidae,Geophagus brasiliensis,Monjolinho Reservoir state of Sao Paulo Brazil,-23.53,-47.17,Freshwater,experimental,15.00,NA,NA,static,death,NA,840.00,100.00,NA,NA,32.85,NA,10,yes,Freshwater,Rantin & Petersen 1985,161
Cichlidae,Geophagus brasiliensis,Monjolinho Reservoir state of Sao Paulo Brazil,-23.53,-47.17,Freshwater,experimental,20.00,NA,NA,static,death,NA,840.00,100.00,NA,NA,34.99,NA,10,yes,Freshwater,Rantin & Petersen 1985,161
Cichlidae,Geophagus brasiliensis,Monjolinho Reservoir state of Sao Paulo Brazil,-23.53,-47.17,Freshwater,experimental,25.00,NA,NA,static,death,NA,840.00,100.00,NA,NA,36.38,NA,10,yes,Freshwater,Rantin & Petersen 1985,161
Cichlidae,Geophagus brasiliensis,Monjolinho Reservoir state of Sao Paulo Brazil,-23.53,-47.17,Freshwater,experimental,30.00,NA,NA,static,death,NA,840.00,100.00,NA,NA,38.44,NA,10,yes,Freshwater,Rantin & Petersen 1985,161
Cichlidae,Geophagus brasiliensis,Monjolinho Reservoir state of Sao Paulo Brazil,-23.53,-47.17,Freshwater,experimental,32.50,NA,NA,static,death,NA,840.00,100.00,NA,NA,38.52,NA,10,yes,Freshwater,Rantin & Petersen 1985,161
Cichlidae,Hemichromis guttatus,Poza ChurinceCuatro Ci negas in Coahuila Mexico,26.99,-102.06,Freshwater,experimental,26.00,14,NA,dynamic,LOE,0.2740,NA,57.30,NA,NA,40.70,0.50,29,yes,Freshwater,Dugan 2014,62
Cichlidae,Hemichromis guttatus,Poza ChurinceCuatro Ci negas in Coahuila Mexico,26.99,-102.06,Freshwater,experimental,26.00,14,NA,dynamic,LOE,0.2790,NA,57.90,NA,NA,40.60,0.60,26,yes,Freshwater,Dugan 2014,62
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.30,Freshwater,experimental,22.00,4,NA,static,death,NA,5000.00,100.00,NA,juveniles,36.94,0.13,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.30,Freshwater,experimental,26.00,4,NA,static,death,NA,5000.00,100.00,NA,juveniles,37.72,0.16,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.30,Freshwater,experimental,28.00,4,NA,static,death,NA,5000.00,100.00,NA,juveniles,37.91,0.13,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.30,Freshwater,experimental,29.00,4,NA,static,death,NA,5000.00,100.00,NA,juveniles,37.91,0.13,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.30,Freshwater,experimental,30.00,4,NA,static,death,NA,5000.00,100.00,NA,juveniles,37.59,0.49,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.30,Freshwater,experimental,32.00,4,NA,static,death,NA,5000.00,100.00,NA,juveniles,38.07,0.08,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.30,Freshwater,experimental,34.00,4,NA,static,death,NA,5000.00,100.00,NA,juveniles,38.26,0.17,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Marble Hall Transvaal South Africa,-24.96,29.30,Freshwater,experimental,36.00,4,NA,static,death,NA,5000.00,100.00,NA,juveniles,38.22,0.19,10,yes,Freshwater,Alanson & Noble 1964,4
Cichlidae,Oreochromis mossambicus,Florida,27.89,-81.41,Freshwater,experimental,25.00,10,1,static,death,NA,10000.00,NA,NA,juveniles,37.70,NA,170,yes,Freshwater,Stauffer 1986,188
Cichlidae,Oreochromis niloticus,Central Oklahoma US,35.66,-97.47,Freshwater,experimental,10.00,14,NA,dynamic,OS,1.0000,NA,NA,NA,NA,33.56,1.40,25,yes,Freshwater,Lutterschmidt & Hutchinson 1997,118
Cichlidae,Oreochromis niloticus,Central Oklahoma US,35.66,-97.47,Freshwater,experimental,10.00,14,NA,dynamic,LOE,1.0000,NA,NA,NA,NA,27.25,2.81,25,yes,Freshwater,Lutterschmidt & Hutchinson 1997,118
Cichlidae,Pseudocrenilabrus multicolor,Lake Kayanja Uganda,-0.16,31.52,Freshwater,experimental,26.00,3,24,dynamic,LOE,0.3000,NA,NA,NA,NA,38.51,0.31,7,yes,Freshwater,McDonnell 2014,132
Cichlidae,Pseudocrenilabrus multicolor,Lake Kayanja Uganda,-0.16,31.52,Freshwater,experimental,29.00,3,24,dynamic,LOE,0.3000,NA,NA,NA,NA,39.33,0.34,7,yes,Freshwater,McDonnell 2014,132
Cichlidae,Pseudocrenilabrus multicolor,Lake Kayanja Uganda,-0.16,31.52,Freshwater,experimental,32.00,3,24,dynamic,LOE,0.3000,NA,NA,NA,NA,41.09,0.26,7,yes,Freshwater,McDonnell 2014,132
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,20.00,30,NA,dynamic,LOE,0.1000,NA,NA,NA,juveniles,34.00,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,24.00,30,NA,dynamic,LOE,0.1000,NA,NA,NA,juveniles,35.90,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,28.00,30,NA,dynamic,LOE,0.1000,NA,NA,NA,juveniles,38.60,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,32.00,30,NA,dynamic,LOE,0.1000,NA,NA,NA,juveniles,38.80,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,20.00,30,NA,dynamic,OS,0.1000,NA,NA,NA,juveniles,36.90,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,24.00,30,NA,dynamic,OS,0.1000,NA,NA,NA,juveniles,37.60,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,28.00,30,NA,dynamic,OS,0.1000,NA,NA,NA,juveniles,40.60,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,32.00,30,NA,dynamic,OS,0.1000,NA,NA,NA,juveniles,40.80,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,20.00,30,NA,dynamic,LOE,0.1000,NA,NA,NA,adults,36.20,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,24.00,30,NA,dynamic,LOE,0.1000,NA,NA,NA,adults,36.50,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,28.00,30,NA,dynamic,LOE,0.1000,NA,NA,NA,adults,38.10,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,32.00,30,NA,dynamic,LOE,0.1000,NA,NA,NA,adults,41.20,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,20.00,30,NA,dynamic,OS,0.1000,NA,NA,NA,adults,38.40,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,24.00,30,NA,dynamic,OS,0.1000,NA,NA,NA,adults,38.60,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,28.00,30,NA,dynamic,OS,0.1000,NA,NA,NA,adults,41.00,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Pterophyllum scalare,Laboratory-Aquarium of the Facultad de Ciencias Mexico,19.32,-99.18,Freshwater,experimental,32.00,30,NA,dynamic,OS,0.1000,NA,NA,NA,adults,42.10,NA,30,yes,Freshwater,Pérez et al. 2003,155
Cichlidae,Sarotherodon melanotheron,Florida,27.89,-81.41,Freshwater,experimental,25.00,5,NA,static,death,NA,10000.00,NA,NA,NA,38.00,NA,80,yes,Freshwater,Stauffer et al. 1984,189
Cichlidae,Tilapia mariae,Northern Australia,-12.83,132.86,Freshwater,experimental,28.00,14,NA,dynamic,LOE,0.1400,NA,75.00,NA,NA,40.40,0.40,22,yes,Freshwater,Burrows & Butler 2012,30
Cirrhitidae,Cirrhitichthys oxycephalus,Gorgona Island national park Columbia,2.97,7.18,Marine,experimental,26.50,1,NA,dynamic,LOE,0.0200,NA,50.00,NA,NA,37.57,0.20,38,no,Marine,Mora & Ospína 2001,137
Cirrhitidae,Cirrhitichthys oxycephalus,Gorgona Island reefs Columbia,2.99,-78.20,Marine,experimental,26.50,1,NA,dynamic,death,0.0200,NA,50.68,NA,NA,35.78,0.19,29,no,Marine,Ospína & Mora 2004,146
Cirrhitidae,Paracirrhites hemistictus,Hoga Island Indonesia,-5.47,123.76,Marine,collection,27.76,NA,NA,dynamic,LOE,NA,NA,NA,NA,NA,40.20,0.62,15,no,Marine,Clifton et al. 2010,43
Clariidae,Clarias gariepinus,Dolna Odra Poland,53.40,14.57,Freshwater,experimental,15.00,0.5,NA,dynamic,death,NA,NA,NA,NA,NA,35.02,NA,6,yes,Freshwater,Klyszejko et al. 1993,105
Clariidae,Clarias gariepinus,Dolna Odra Poland,53.40,14.57,Freshwater,experimental,20.00,0.5,NA,dynamic,death,NA,NA,NA,NA,NA,36.99,NA,6,yes,Freshwater,Klyszejko et al. 1993,105
Clariidae,Clarias gariepinus,Dolna Odra Poland,53.40,14.57,Freshwater,experimental,25.00,0.5,NA,dynamic,death,NA,NA,NA,NA,NA,38.96,NA,6,yes,Freshwater,Klyszejko et al. 1993,105
Clariidae,Clarias gariepinus,Dolna Odra Poland,53.40,14.57,Freshwater,experimental,30.00,0.5,NA,dynamic,death,NA,NA,NA,NA,NA,39.88,NA,6,yes,Freshwater,Klyszejko et al. 1993,105
Clariidae,Clarias gariepinus,Dolna Odra Poland,53.40,14.57,Freshwater,experimental,15.00,0.5,NA,dynamic,LOE,NA,NA,NA,NA,NA,28.93,NA,6,yes,Freshwater,Klyszejko et al. 1993,105
Clariidae,Clarias gariepinus,Dolna Odra Poland,53.40,14.57,Freshwater,experimental,20.00,0.5,NA,dynamic,LOE,NA,NA,NA,NA,NA,34.96,NA,6,yes,Freshwater,Klyszejko et al. 1993,105
Clariidae,Clarias gariepinus,Dolna Odra Poland,53.40,14.57,Freshwater,experimental,25.00,0.5,NA,dynamic,LOE,NA,NA,NA,NA,NA,36.93,NA,6,yes,Freshwater,Klyszejko et al. 1993,105
Clariidae,Clarias gariepinus,Dolna Odra Poland,53.40,14.57,Freshwater,experimental,30.00,0.5,NA,dynamic,LOE,NA,NA,NA,NA,NA,38.90,NA,6,yes,Freshwater,Klyszejko et al. 1993,105
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,5.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,24.68,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,26.80,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,28.94,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,29.51,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,29.88,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,15.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,29.73,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,15.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,29.99,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,31.15,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,31.36,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,33.37,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,25.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,adults,32.86,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,5.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,24.44,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,5.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,24.98,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,23.76,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,27.52,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,10.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,28.24,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,15.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,29.74,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,31.01,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,31.77,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,32.28,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,32.75,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,32.97,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,25.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,34.31,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,30.00,3,1,dynamic,LOE,0.3000,NA,NA,NA,juveniles,36.84,NA,10,yes,Freshwater,Otto et al. 1976,151
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,12.00,NA,NA,static,death,NA,5760.00,NA,NA,juveniles,28.30,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,20.00,NA,NA,static,death,NA,5760.00,NA,NA,juveniles,32.70,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Clupeidae,Alosa pseudoharengus,Lake Michigan,43.49,-87.24,Freshwater,experimental,26.00,NA,NA,static,death,NA,5760.00,NA,NA,juveniles,34.40,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Clupeidae,Alosa pseudoharengus,Lake Erie,42.08,-81.34,Freshwater,collection,18.20,NA,NA,dynamic,LOE,NA,NA,NA,NA,adults,30.20,NA,NA,yes,Freshwater,Yoder et al. 2012,213
Clupeidae,Alosa sapidissima,Northampton Massachusett US,42.32,-72.67,Freshwater,collection,19.00,NA,NA,dynamic,LOE,13.2000,NA,NA,NA,juveniles,31.80,NA,15,yes,Freshwater,Marcy et al. 1972,124
Clupeidae,Alosa sapidissima,Northampton Massachusett US,42.32,-72.67,Freshwater,collection,19.00,NA,NA,dynamic,death,13.2000,NA,NA,NA,juveniles,32.20,NA,15,yes,Freshwater,Marcy et al. 1972,124
Clupeidae,Clupea harengus,NA,56.00,3.00,Marine,NA,15.00,NA,NA,static,death,NA,NA,NA,NA,NA,20.10,NA,NA,yes,Marine,Pörtner & Peck 2010,157
Clupeidae,Clupea pallasii pallasii,Coastal waters of Japan,34.49,138.16,Marine,experimental,10.00,14,NA,dynamic,LOE,0.5000,NA,70.00,NA,NA,25.70,0.40,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Clupea pallasii pallasii,Coastal waters of Japan,34.49,138.16,Marine,experimental,14.00,14,NA,dynamic,LOE,0.5000,NA,70.00,NA,NA,26.60,0.30,5,yes,Marine,Tsuchida 1995,201
Clupeidae,Clupea pallasii pallasii,Coastal waters of Japan,34.49,138.16,Marine,experimental,17.00,14,NA,dynamic,LOE,0.5000,NA,70.00,NA,NA,27.70,0.20,5,yes,Marine,Tsuchida 1995,201
