"Data for CTMax analyses (Fig. 6 & 7, S10, Table S16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Family,Genus3,Species3,Average of Safety,Average of Elevation,Log Average of Elevation,Average of Abs lat,Log Range,log SVL,Average of tmxslope,IUCN 2014risk,Average of Abs lat/10,log SVLx10,Average of tmxslope/100,Average of Safety/10,Average of ARR,LogARR,Log(ARR+1),Exclude Negative ARRs,,,,,,,,,,,,,,,,,,
Anura,Myobatrachidae,Crinia,parinsignifera,3.67597195,304.7851265,2.48399377,34.1273755,5.836595623,1.51851394,0.021591837,0,3.41273755,15.1851394,2.159183673,0.367597195,0.7,-0.15490196,0.230448921,,,,,,,,,,,,,,,,,,,
Anura,Myobatrachidae,Crinia,signifera,9.833980706,549.8360066,2.740233177,36.21470031,5.943522215,1.51851394,0.019319328,0,3.621470031,15.1851394,1.931932773,0.983398071,0.138333333,-0.859073158,0.056269453,,,,,,,,,,,,,,,,,,,
Anura,Hylodidae,Crossodactylus,schmidti,,312,2.494154594,27.087367,4.532423119,1.51851394,0.00282473,1,2.7087367,15.1851394,0.282472989,,,,,,,,,,,,,,,,,,,,,,,
Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,3.455026067,315,2.498310554,36.672006,5.709983585,2.523746467,0.010818327,1,3.6672006,25.23746467,1.081832733,0.345502607,0.1935,-0.713319031,0.076822423,,,,,,,,,,,,,,,,,,,
Anura,Dendrobatidae,Dendrobates,auratus,3.0405971,305,2.484299839,9.983333,5.049000821,1.51851394,0.017646259,0,0.9983333,15.1851394,1.76462585,0.30405971,,,,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Dendropsophus,labialis,18.93980033,2620,3.418301291,4.598056,4.507720977,1.51851394,0.004468988,0,0.4598056,15.1851394,0.44689876,1.893980033,0.06,-1.22184875,0.025305865,,,,,,,,,,,,,,,,,,,
Anura,Hylidae,Dendropsophus,minutus,,312,2.494154594,27.087367,7.044862422,1.51851394,0.00282473,0,2.7087367,15.1851394,0.282472989,,,,,,,,,,,,,,,,,,,,,,,
Anura,Microhylidae,Dermatonotus,muelleri,,102,2.008600172,25.316761,6.614226388,1.875061263,0.012514206,0,2.5316761,18.75061263,1.251420568,,,,,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Desmognathus,fuscus,6.729347058,646.9166667,2.81084834,38.16429542,6.183118028,1.892094603,0.008877484,0,3.816429542,18.92094603,0.887748433,0.672934706,0.12,-0.920818754,0.049218023,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Desmognathus,monticola,7.7503306,836.5,2.922465945,35.8565685,5.510425697,1.892094603,0.010969988,0,3.58565685,18.92094603,1.0969988,0.77503306,,,,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Desmognathus,ochrophaeus,4.939745933,570.6666667,2.756382506,35.85599433,5.489222789,1.892094603,0.014915833,0,3.585599433,18.92094603,1.4915833,0.493974593,,,,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Desmognathus,quadramaculatus,7.234178433,1050.833333,3.021533841,36.86894683,4.926347592,1.892094603,0.015558223,0,3.686894683,18.92094603,1.555822329,0.723417843,0.13,-0.886056648,0.053078443,,,,,,,,,,,,,,,,,,,
Caudata,Dicamptodontidae,Dicamptodon,tenebrosus,,790,2.897627091,43.158911,5.229387436,2.423245874,0.005152461,0,4.3158911,24.23245874,0.515246098,,,,,,,,,,,,,,,,,,,,,,,
Anura,Alytidae,Discoglossus,galganoi,,1756,3.244524512,37.378831,5.481069807,1.875061263,0.030292917,0,3.7378831,18.75061263,3.029291717,,,,,,,,,,,,,,,,,,,,,,,
